75970, BEBEX ADE , BEBEX ADE, NOT FOUND, POM. 45 G x 1, GOB
73167, BEBEX N , BEBEX N, NOT FOUND, POM. 60 G x 1, GOB
73168, BEBEX PREVINE , BEBEX PREVINE, NOT FOUND, POM. 200 MG 45 G x 1, GOB
74319, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 10 MG x 30, GOB
150174, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 30, GOB
78633, BESILAPIN , BESILAPIN, NOT FOUND, CPR 10 MG x 20, GOB
106104, BESILAPIN , BESILAPIN, NOT FOUND, CPR 10 MG x 30, GOB
71924, BESILAPIN , BESILAPIN, NOT FOUND, CPR 10 MG x 500, GOB
78632, BESILAPIN , BESILAPIN, NOT FOUND, CPR 5 MG x 20, GOB
106103, BESILAPIN , BESILAPIN, NOT FOUND, CPR 5 MG x 30, GOB
71925, BESILAPIN , BESILAPIN, NOT FOUND, CPR 5 MG x 500, GOB
78991, BETOGENTA , BETOGENTA, NOT FOUND, CREME. 30 G x 1, GOB
78992, BETOGENTA , BETOGENTA, NOT FOUND, POM. 30 G x 1, GOB
73212, BETRICORT , BETRICORT, NOT FOUND, CREME 30 G x 1, GOB
73213, BETRICORT , BETRICORT, NOT FOUND, POM. 30 G x 1, GOB
78096, BEXETON , BEXETON, NOT FOUND, ELIXIR 0.10 MG 120 ML x 1 (/ML), GOB
92368, BROMEXPEC , BROMEXPEC, NOT FOUND, XAR AD. 8 MG 120 ML x 1 (/5ML), GOB
92369, BROMEXPEC , BROMEXPEC, NOT FOUND, XAR. PED. 4 MG 120 ML x 1 (/5ML), GOB
74624, BRONTEK , BRONTEK, NOT FOUND, XAROPE 10 MG 120 ML x 1 (/ML), GOB
74625, BRONTEK , BRONTEK, NOT FOUND, XAROPE INF 5 MG 120 ML x 1 (/ML), GOB
