74881, DALSY , DALSY, NOT FOUND, CPR REVEST 200 MG x 12, ABT
62250, DALSY , DALSY, NOT FOUND, CPR REVEST 400 MG x 10, ABT
76213, DALSY , DALSY, NOT FOUND, CPR REVEST 400 MG x 100, ABT
73548, DALSY , DALSY, NOT FOUND, CPR REVEST 600 MG x 10, ABT
76215, DALSY , DALSY, NOT FOUND, CPR REVEST 600 MG x 100, ABT
64258, DALSY , DALSY, NOT FOUND, GOTAS 200 MG 15 ML x 1 (/ML), ABT
58700, DALSY , DALSY, NOT FOUND, SUSP 100 MG 100 ML x 1 (/5ML), ABT
55428, DALSY , DALSY, NOT FOUND, SUSP 100 MG 200 ML x 1 (/5ML), ABT
43874, DELTACID , DELTACID, NOT FOUND, LOC. 0.02 % 100 ML x 1, ABT
43875, DELTACID , DELTACID, NOT FOUND, XAMP 0.02 % 100 ML x 1, ABT
79961, DEPACON , DEPACON, NOT FOUND, F.AMP 100 MG 5 ML x 10, ABT
30759, DEPAKENE , DEPAKENE, NOT FOUND, CAPS 250 MG x 25, ABT
92414, DEPAKENE , DEPAKENE, NOT FOUND, CAPS 250 MG x 50, ABT
48675, DEPAKENE , DEPAKENE, NOT FOUND, CPR REVEST 300 MG x 25, ABT
42321, DEPAKENE , DEPAKENE, NOT FOUND, CPR REVEST 500 MG x 50, ABT
30760, DEPAKENE , DEPAKENE, NOT FOUND, XAR. 250 MG 100 ML x 1 (/5ML), ABT
80429, DEPAKOTE , DEPAKOTE, NOT FOUND, CAPS GEL 125 MG x 10, ABT
58389, DEPAKOTE , DEPAKOTE, NOT FOUND, CAPS SPRINKL 125 MG x 30, ABT
92424, DEPAKOTE , DEPAKOTE, NOT FOUND, CAPS SPRINKL 125 MG x 60, ABT
56139, DEPAKOTE , DEPAKOTE, NOT FOUND, CPR REVES.AP 250 MG x 20, ABT
73220, DEPAKOTE , DEPAKOTE, NOT FOUND, CPR REVES.AP 250 MG x 30, ABT
56140, DEPAKOTE , DEPAKOTE, NOT FOUND, CPR REVES.AP 500 MG x 20, ABT
73221, DEPAKOTE , DEPAKOTE, NOT FOUND, CPR REVES.AP 500 MG x 30, ABT
90465, DEPAKOTE ER , DEPAKOTE ER, NOT FOUND, CPR REVES.AP 250 MG x 30, ABT
95804, DEPAKOTE ER , DEPAKOTE ER, NOT FOUND, CPR REVES.AP 250 MG x 6, ABT
59882, DEPAKOTE ER , DEPAKOTE ER, NOT FOUND, CPR REVES.AP 500 MG x 20, ABT
73219, DEPAKOTE ER , DEPAKOTE ER, NOT FOUND, CPR REVES.AP 500 MG x 30, ABT
80430, DEPAKOTE ER , DEPAKOTE ER, NOT FOUND, CPR REVES.AP 500 MG x 6, ABT
161602, DIALYCARE HP , DIALYCARE HP, NOT FOUND, LIQ RBP BAU 200 ML x 1, ABT
54995, DICETEL , DICETEL, NOT FOUND, CPR REVEST 100 MG x 20, ABT
48619, DICETEL , DICETEL, NOT FOUND, CPR REVEST 50 MG x 20, ABT
55436, DILACORON , DILACORON, NOT FOUND, CPR RET.REVE 120 MG x 20, ABT
54752, DILACORON , DILACORON, NOT FOUND, CPR RET.REVE 240 MG x 30, ABT
54750, DILACORON , DILACORON, NOT FOUND, CPR REVEST 80 MG x 30, ABT
72185, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, GOTAS 500 MG 10 ML x 1 (/ML), ABT
74546, DUPHALAC , DUPHALAC, NOT FOUND, SACHETS 667 MG 15 ML x 10 (/ML), ABT
72422, DUPHALAC , DUPHALAC, NOT FOUND, XAROPE 667 MG 200 ML x 1 (/ML), ABT
61809, DUPHASTON , DUPHASTON, NOT FOUND, CPR REVEST 10 MG x 14, ABT
61810, DUPHASTON , DUPHASTON, NOT FOUND, CPR REVEST 10 MG x 28, ABT
58393, DUSPATALIN , DUSPATALIN, NOT FOUND, CAPS L.P. 200 MG x 30, ABT
