31123; DAFLON ; DAFLON; NOT FOUND; DRAG 375 MG x 16 (/150); SVR
31124; DAFLON ; DAFLON; NOT FOUND; DRAG 375 MG x 30 (/150); SVR
131347; DAFLON 1000 ; DAFLON 1000; NOT FOUND; CPR REV 1000 MG x 30; SVR
58542; DAFLON 500 ; DAFLON 500; NOT FOUND; CPR REVEST 500 MG x 15; SVR
48546; DAFLON 500 ; DAFLON 500; NOT FOUND; CPR REVEST 500 MG x 30; SVR
48763; DAFLON 500 ; DAFLON 500; NOT FOUND; CPR REVEST 500 MG x 60; SVR
47583; DIAMICRON ; DIAMICRON; NOT FOUND; CPR 80 MG x 60; SVR
58543; DIAMICRON MR ; DIAMICRON MR; NOT FOUND; CPR AP. 30 MG x 15; SVR
57715; DIAMICRON MR ; DIAMICRON MR; NOT FOUND; CPR AP. 30 MG x 30; SVR
63174; DIAMICRON MR ; DIAMICRON MR; NOT FOUND; CPR AP. 30 MG x 60; SVR
83750; DIAMICRON MR ; DIAMICRON MR; NOT FOUND; CPR AP. 60 MG x 15; SVR
83751; DIAMICRON MR ; DIAMICRON MR; NOT FOUND; CPR AP. 60 MG x 30; SVR
87316; DIAMICRON MR ; DIAMICRON MR; NOT FOUND; CPR AP. 60 MG x 60; SVR
