540400801133418, MUCOBRONQ, MUCOBRONQ, NOT FOUND, 50 MG/ML XPE CT FR PET INC X 100 ML + CP MED, NAU
540413050006503, MUCOBRONQ, MUCOBRONQ, NOT FOUND, 50 MG/ML XPE CX 50 FR PET INC X 100 ML + CP MED (EMB HOSP), NAU
540400303133416, MAXALGINA, MAXALGINA, NOT FOUND, 50 MG/ML SOL OR CT FR VD AMB X 100 ML, NAU
540400304131417, MAXALGINA, MAXALGINA, NOT FOUND, 50 MG/ML SOL OR CT FR VD AMB X 100 ML + SER DOS, NAU
540400302137418, MAXALGINA, MAXALGINA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, NAU
540412100005303, MAXALGINA, MAXALGINA, NOT FOUND, 500 MG/ML SOL OR CT 200 FR PLAS OPC GOT X 10 ML (EMB HOSP), NAU
540400301130411, MAXALGINA, MAXALGINA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, NAU
540412100005403, MAXALGINA, MAXALGINA, NOT FOUND, 500 MG/ML SOL OR CT 200 FR PLAS OPC GOT X 20 ML (EMB HOSP), NAU
540413050007303, MASFEROL, MASFEROL, NOT FOUND, 125 MG/ML SOL OR CX 100 FR PLAS OPC GOT X 30 ML, NAU
540400202132414, MASFEROL, MASFEROL, NOT FOUND, 25 MG/ML XPE CT FR VD AMB X 100 ML, NAU
540413050007403, MASFEROL, MASFEROL, NOT FOUND, 25 MG/ML XPE CX 50 FR PLAS AMB X 100 ML (EMB HOSP), NAU
540400201136416, MASFEROL, MASFEROL, NOT FOUND, 25 MG/ML XPE FR PLAS TRANS X 400 ML, NAU
540412110005704, MASFEROL, MASFEROL, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 40, NAU
540413050007503, MASFEROL, MASFEROL, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP), NAU
540413050007203, MASFEROL, MASFEROL, NOT FOUND, 68 MG/ML SOL OR CX 50 FR PLAS OPC GOT X 30 ML, NAU
