541512030000416; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 100 MG PO P/ SOL INJ IV CX 50 FA VD INC X 10 ML (EMB HOSP); AA0
541512030001014; AXEPEN; AXEPEN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP); AA0
541512070002816; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 1 G + 0.2 G PO P/ SOL INJ IV CT FA VD INC X 20 ML
; AA0
541512070002916; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 1 G + 0.2 G PO P/ SOL INJ IV CX 10 FA VD INC X 20 ML
; AA0
541512070003016; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 1 G + 0.2 G PO P/ SOL INJ IV CX 20 FA VD INC X 20 ML (EMB HOSP); AA0
541512070003116; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 1 G + 0.2 G PO P/ SOL INJ IV CX 50 FA VD INC X 20 ML (EMB HOSP); AA0
541512070003216; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 100 MG PO P/ SOL INJ IV CT FA VD INC X 10 ML; AA0
541512070003316; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 100 MG PO P/ SOL INJ IV CX 10 FA VD INC X 10 ML; AA0
541512070003416; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 100 MG PO P/ SOL INJ IV CX 20 FA VD INC X 10 ML (EMB HOSP); AA0
541512030000916; AMPICILINA; AMPICILINA; AMPICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB HOSP); AA0
541512030000816; AMPICILINA SÓDICA; AMPICILINA SODICA; AMPICILINA SODICA; 1 G PO P/ SOL INJ CT 50 FA VD INC X 10 ML (EMB HOSP); AA0
541512030002216; AMPICILINA SÓDICA + SULBACTAM SÓDICA; AMPICILINA SODICA SULBACTAM SODICA; NOT FOUND; 1G + 0.5G PO P/ SOL INJ CT 30 FA VD INC X 20 ML (EMB HOSP); AA0
541512030002316; AMPICILINA SÓDICA + SULBACTAM SÓDICA; AMPICILINA SODICA SULBACTAM SODICA; NOT FOUND; 2G + 1G PO P/ SOL INJ CT 30 FA VD INC X 20 ML (EMB HOSP); AA0
