1039200300018; RESFRIOL; RESFRIOL; NOT FOUND; CX C/ 02 BLS C/ 10 DRG; VAP
1039201600014; RESFRIOL; RESFRIOL; NOT FOUND; 400 MG + 10 MG + 10 MG + 2 MG COM CT 1 BL AL PLAS INC X 20; VAP
1039201600022; RESFRIOL; RESFRIOL; NOT FOUND; 400MG + 10MG + 10MG + 2MG COM CT 25 BL AL PLAS INC X 4; VAP
1039200840021; RENAPRIL; RENAPRIL; NOT FOUND; 10 MG COM CT 3 BL AL PLAS INC X 10; VAP
1039200840046; RENAPRIL; RENAPRIL; NOT FOUND; 20 MG COM CT 3 BL AL PLAS INC X 10; VAP
1039200840011; RENAPRIL; RENAPRIL; NOT FOUND; 5 MG COM CT 3 BL AL PLAS INC X 10; VAP
1039200840100; RENAPRIL; RENAPRIL; NOT FOUND; 10 MG COM REV CT ENV AL X 500 (EMB HOSP); VAP
1039200840119; RENAPRIL; RENAPRIL; NOT FOUND; 20 MG COM REV CT ENV AL X 500 (EMB HOSP); VAP
1039200840097; RENAPRIL; RENAPRIL; NOT FOUND; 5 MG COM REV CT ENV AL X 500 (EMB HOSP); VAP
1039200840127; RENAPRIL; RENAPRIL; NOT FOUND; 5 MG COM CT ENV AL X 30 ; VAP
1039200840135; RENAPRIL; RENAPRIL; NOT FOUND; 5 MG COM CT ENV AL X 500 (EMB HOSP); VAP
1039200840143; RENAPRIL; RENAPRIL; NOT FOUND; 10 MG COM CT ENV AL X 30 ; VAP
1039200840151; RENAPRIL; RENAPRIL; NOT FOUND; 10 MG COM CT ENV AL X 500 (EMB HOSP); VAP
1039200840178; RENAPRIL; RENAPRIL; NOT FOUND; 20 MG COM CT ENV AL X 30; VAP
1039200840186; RENAPRIL; RENAPRIL; NOT FOUND; 20 MG COM CT ENV AL X 500 (EMB HOSP); VAP
