1039200560027; CECOFLAN; CECOFLAN; NOT FOUND; CX C/ 01 ENV C/ 12 COMP; VAP
1039200560043; CECLOFLAN; CECLOFLAN; NOT FOUND; 100 MG COM REV CT ENV AL X 12 ; VAP
1039200440021; CAPTOZEN; CAPTOZEN; NOT FOUND; 12.5 MG COM CT 2 BL AL PLAS INC X 15; VAP
1039200440056; CAPTOZEN; CAPTOZEN; NOT FOUND; 12.5MG CX C/ 34 BLS C/ 15 COMP; VAP
1039200440072; CAPTOZEN; CAPTOZEN; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; VAP
1039200440110; CAPTOZEN; CAPTOZEN; NOT FOUND; 25MG CX C/ 20 BLS C/ 15 COMP; VAP
1039200440102; CAPTOZEN; CAPTOZEN; NOT FOUND; 25MG CX C/ 34 BLS C/ 15 COMP; VAP
1039200440129; CAPTOZEN; CAPTOZEN; NOT FOUND; 50MG CX C/ 02 BLS C/ 15 COMP; VAP
1039200440153; CAPTOZEN; CAPTOZEN; NOT FOUND; 50MG CX C/ 34 BLS C/ 15 COMP; VAP
1039201610036; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 30; VAP
1039201610044; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 510 (EMB HOSP) ; VAP
1039201610095; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 30; VAP
1039201610125; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 510 (EMB HOSP); VAP
1039201610168; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 30; VAP
1039201610184; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 510 (EMB HOSP); VAP
1039201510015; CAPTENIL; CAPTENIL; NOT FOUND; (50+25) MG COM C/ 16; VAP
1039201510023; CAPTENIL; CAPTENIL; NOT FOUND; (50+25) MG COM C/ 30; VAP
1039200460030; CELOXIN; CELOXIN; NOT FOUND; CX C/ 01 VD 100ML; VAP
1039200740017; CINAZIN; CINAZIN; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; VAP
1039200740051; CINAZIN; CINAZIN; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 500; VAP
1039200740025; CINAZIN; CINAZIN; NOT FOUND; 75 MG COM CT BL AL PLAS INC X 30; VAP
1039200740068; CINAZIN; CINAZIN; NOT FOUND; 75 MG COM CT BL AL PLAS INC X 500; VAP
1039201180015; CIFLOXAN; CIFLOXAN; NOT FOUND; CX C/ 01 BL C/ 14 COMP REVES; VAP
1039200880013; CLARIVIT COLIRIO; CLARIVIT COLIRIO; NOT FOUND; CX C/ 01 FR 24ML; VAP
1039200470011; CLORDILON; CLORDILON; NOT FOUND; 25 MG COM CT FR VD AMB X 42; VAP
1039200470052; CLORDILON; CLORDILON; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 28; VAP
1039200470044; CLORDILON; CLORDILON; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 42; VAP
1039200530020; CLOTIGEN; CLOTIGEN; NOT FOUND; 500 MG CREM DERM CT BG AL X 50 G; VAP
1039201710014; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CT BG AL X 50 G ; VAP
1039201710022; CLOTRIMAZOL; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CX 50 BG AL X 50 G (EMB HOSP); VAP
