1039201060109; DERMITRAT; DERMITRAT; NOT FOUND; 20 MG/ML SHAMP CT FR PLAS OPC X 100 ML ; VAP
1039201060095; DERMITRAT; DERMITRAT; NOT FOUND; 20 MG/G CREM DERM CT 5O BG AL X 30 G (EMB HOSP); VAP
1039201060087; DERMITRAT; DERMITRAT; NOT FOUND; 20 MG/G CREM DERM CT BG AL X 30 G; VAP
1039201060036; DERMITRAT; DERMITRAT; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 10; VAP
1039201060079; DERMITRAT; DERMITRAT; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); VAP
1039200870034; DOXILINA; DOXILINA; NOT FOUND; CX C/01 BL C/15 COMP REVES; VAP
1039200920031; DIMENIDRIN; DIMENIDRIN; NOT FOUND; 25 MG/ML + 5 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; VAP
1039200920058; DIMENIDRIN; DIMENIDRIN; NOT FOUND; 25 MG/ML + 5 MG/ML SOL OR CX 50 FR PLAS OPC GOT X 20 ML (EMB HOSP); VAP
1039200920104; DIMENIDRIN; DIMENIDRIN; NOT FOUND; 25 MG/ML + 5 MG/ML SOL OR CT FR PET AMB GOT X 20 ML ; VAP
1039200920112; DIMENIDRIN; DIMENIDRIN; NOT FOUND; 25 MG/ML + 5 MG/ML SOL OR CX 50 FR PET AMB GOT X 20 ML (EMB HOSP); VAP
1039200920015; DIMENIDRIN; DIMENIDRIN; NOT FOUND; CX C/ 01 BL C/ 20 COMP; VAP
1039200920074; DIMENIDRIN; DIMENIDRIN; NOT FOUND; 50 MG + 10 MG COM CX BL AL PLAS INC X 100 (EMB HOSP); VAP
1039200670191; DEXAMEX; DEXAMEX; NOT FOUND; 0.10 MG/ML ELIXIR CT FR VD AMB X 100 ML; VAP
1039200670205; DEXAMEX; DEXAMEX; NOT FOUND; 0.10 MG/ML ELIXIR CT 50 FR VD AMB X 100 ML; VAP
1039200670213; DEXAMEX; DEXAMEX; NOT FOUND; 1.0 MG/G CREM DERM CT BG AL X 10 G; VAP
1039200670221; DEXAMEX; DEXAMEX; NOT FOUND; 1.0 MG/G CREM DERM CT 50 BG AL X 10 G; VAP
1039200670019; DEXAMEX; DEXAMEX; NOT FOUND; CX C/ 01 BL C/ 20 COMP; VAP
1039200710010; DIGOXAN; DIGOXAN; NOT FOUND; CX C/ 01 BL C/ 24 COMP; VAP
1039200710037; DIGOXAN; DIGOXAN; NOT FOUND; CX C/ 21 BL C/ 24 COMP; VAP
1039201660033; DIGOXINA; DIGOXINA; DIGOXINA; 0.25 MG COM CT BL AL PLAS INC X 480 (EMB HOSP); VAP
1039201660017; DIGOXINA; DIGOXINA; DIGOXINA; 0.25 MG COM CT BL AL PLAS INC X 24; VAP
1039201010012; DORALEX; DORALEX; NOT FOUND; CX C/ 01 FR C/ 10ML GTS; VAP
1039201010063; DORALEX; DORALEX; NOT FOUND; CX C/ 25 ENV C/ 04 COMP; VAP
1039201010063; DORALEX; DORALEX; NOT FOUND; 500 MG COM CT ENV AL X 200; VAP
1039201010101; DORALEX; DORALEX; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 200 ; VAP
1039201560059; DESCOLIC; DESCOLIC; NOT FOUND; CX C/ 01 FR 15ML GTS; VAP
1039201560012; DESCOLIC; DESCOLIC; NOT FOUND; CX C/ 02 BLS C/ 10 DRG; VAP
1039200500016; DIBETAM; DIBETAM; NOT FOUND; 5 MG + 2MG/ML SUS INJ CX AMP VD INC X 1 ML; VAP
1039201520010; DIURECLOR; DIURECLOR; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 20; VAP
1039201430054; DESCOFLAN; DESCOFLAN; NOT FOUND; CX C/ 01 VD XPE 100 ML 2MG/5ML; VAP
1039201430011; DESCOFLAN; DESCOFLAN; NOT FOUND; 2.0 MG DRG CT BL AL PLAS INC X 20; VAP
1039200830091; DORFENOL; DORFENOL; NOT FOUND; 200 MG/ML SOL OR CT 50 FR PLAS OPC GOT X 15 ML (EMB HOSP); VAP
1039200830040; DORFENOL; DORFENOL; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; VAP
1039200830075; DORFENOL; DORFENOL; NOT FOUND; 750 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); VAP
1039200830121; DORFENOL; DORFENOL; NOT FOUND; 750MG COM CT BL AL PLAS LAR X 200 (EMB HOSP); VAP
