1039200630017; PULMOTRAT; PULMOTRAT; NOT FOUND; CX C/ 01 VD 100ML ADULTO; VAP
1039200630025; PULMOTRAT; PULMOTRAT; NOT FOUND; CX C/ 01 VD 100ML INFANTIL; VAP
1039200050029; PANVERMIN; PANVERMIN; NOT FOUND; 20 MG/ML SUS OR CT FR VD AMB X 30 ML; VAP
1039200050010; PANVERMIN; PANVERMIN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 6; VAP
1039200720040; PRESSOMET; PRESSOMET; NOT FOUND; 250 MG CX C/ 03 BL C/ 10 COMP VER; VAP
1039200720024; PRESSOMET; PRESSOMET; NOT FOUND; 500 MG CX C/ 03 BLS C/ 10 COMP; VAP
1039201190029; PEPTOVIT; PEPTOVIT; NOT FOUND; 40 MG COM REV CT ENV AL X 14; VAP
1039201190037; PEPTOVIT; PEPTOVIT; NOT FOUND; 40 MG COM REV CT ENV AL X 28; VAP
1039201190045; PEPTOVIT; PEPTOVIT; NOT FOUND; 40 MG COM REV CT ENV AL X 490 (EMB HOSP); VAP
1039200750012; PERMITRAT; PERMITRAT; NOT FOUND; 10 MG/ML LOC CT FR PLAS OPC X 60 ML + PENTE FINO; VAP
1039200800028; PREDCORT; PREDCORT; NOT FOUND; 20 MG CX C/ 01 BL C/ 10 COMP; VAP
1039200800036; PREDCORT; PREDCORT; NOT FOUND; 20 MG COM CT 50 BL AL PLAS INC X 10; VAP
1039200800052; PREDCORT; PREDCORT; NOT FOUND; 5.0 MG COM CT BL AL PLAS INC X 20; VAP
1039200800079; PREDCORT; PREDCORT; NOT FOUND; 5.0 MG COM CT 25 BL AL PLAS INC X 20; VAP
1039200800087; PREDCORT; PREDCORT; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 20; VAP
1039201760011; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 10 ; VAP
1039201760021; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 20; VAP
1039201760038; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); VAP
1039201760046; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 10; VAP
1039201760054; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 20; VAP
1039201760062; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); VAP
