1039200540034; FUNGITRIN; FUNGITRIN; NOT FOUND; CRE 50 BG X 45 G; VAP
1039200540026; FUNGITRIN; FUNGITRIN; NOT FOUND; 100 MG/4G + 50 MG/4G CREM VAG CT BG AL X 45 G + APLIC; VAP
1039200510011; FLAMALGEN; FLAMALGEN; NOT FOUND; 75 MG SOL INJ CT 05 FR VD AMB X 3 ML; VAP
1039201270014; FLAMATRAT; FLAMATRAT; NOT FOUND; CX C/ 01 FR 10ML GTS; VAP
1039201270081; FLAMATRAT; FLAMATRAT; NOT FOUND; 15 MG/ML SUS OR CT 50 FR PLAS OPC GOT X 20 ML (EMB HOSP); VAP
1039201270073; FLAMATRAT; FLAMATRAT; NOT FOUND; 15 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; VAP
1039200510021; FLAMALGEN; FLAMALGEN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; VAP
1039201530016; FLAMATRAT P; FLAMATRAT P; NOT FOUND; 50 MG DRG CT BL AL PLAS INC X 10; VAP
1039201530032; FLAMATRAT P; FLAMATRAT P; NOT FOUND; 50 MG DRG CT BL AL PLAS INC X 20; VAP
1039201570034; FLUCONID; FLUCONID; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS AMB X 1; VAP
1039201570050; FLUCONID; FLUCONID; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS AMB X 500 (EMB HOSP); VAP
1039201570085; FLUCONID; FLUCONID; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 2; VAP
1039201570069; FLUCONID; FLUCONID; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 1 ; VAP
1039201570077; FLUCONID; FLUCONID; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 500 (EMB HOSP); VAP
1039201120039; FELDRAN; FELDRAN; NOT FOUND; 10 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; VAP
1039201120012; FELDRAN; FELDRAN; NOT FOUND; 10 MG CAP CT BL AL PLAS INC X 15; VAP
1039201120020; FELDRAN; FELDRAN; NOT FOUND; 20 MG CAP CT BL AL PLAS INC X 15; VAP
