1039201320038; ZICLOVIR; ZICLOVIR; NOT FOUND; 5 % CREM CT 1 BG AL X 10 G; VAP
1039201320046; ZICLOVIR; ZICLOVIR; NOT FOUND; 5 % CREM CT 50 BG AL X 10 G; VAP
1039200550013; ZOLDAN; ZOLDAN; NOT FOUND; 40 MG/ML SUS OR CT FR VD AMB X 10 ML ; VAP
1039200550031; ZOLDAN; ZOLDAN; NOT FOUND; 40 MG/ML SUS OR CT 100 FR VD AMB X 10 ML (EMB. HOSP.); VAP
1039200550021; ZOLDAN; ZOLDAN; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 2; VAP
1039200550048; ZOLDAN; ZOLDAN; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 500 (EMB. HOSP.); VAP
1039200550056; ZOLDAN; ZOLDAN; NOT FOUND; 400 MG COM CT BL AL PLAS INC X 1 ; VAP
1039200550064; ZOLDAN; ZOLDAN; NOT FOUND; 400 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); VAP
1039201410053; ZITRAC; ZITRAC; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 2; VAP
1039201410061; ZITRAC; ZITRAC; NOT FOUND; 500 MG COM REV CT 250 BL AL PLAS INC X 2 (EMB HOSP); VAP
1039201410118; ZITRAC; ZITRAC; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 3; VAP
