1039201720011; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG COM REV CT ENV AL X 12; VAP
1039201720028; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG COM REV CT ENV AL X 16; VAP
1039201720036; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG COM REV CT ENV AL X 24; VAP
1039201720044; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG COM REV CT ENV AL X 480 (EMB HOSP); VAP
1039201170028; ALENDRIN; ALENDRIN; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 30; VAP
1039201540011; ASMOFILIN; ASMOFILIN; NOT FOUND; 100 MG C/ 20; VAP
1039201540038; ASMOFILIN; ASMOFILIN; NOT FOUND; 200 MG C/ 20; VAP
1039201540021; ASMOFILIN; ASMOFILIN; NOT FOUND; 100 MG COM CT 25 BL AL PLAS INC X 20 (EMB HOSP); VAP
1039201650046; AMINOFILINA; AMINOFILINA; AMINOFILINA; 200 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); VAP
1039201650038; AMINOFILINA; AMINOFILINA; AMINOFILINA; 200 MG COM CT BL AL PLAS INC X 20; VAP
1039201650011; AMINOFILINA; AMINOFILINA; AMINOFILINA; 100 MG COM CT BL AL PLAS INC X 20; VAP
1039201650021; AMINOFILINA; AMINOFILINA; AMINOFILINA; 100 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); VAP
1039201490030; AMPITRAT; AMPITRAT; NOT FOUND; CX C/ 01 VD 60ML; VAP
1039201490022; AMPITRAT; AMPITRAT; NOT FOUND; CX C/ 01 BL C/ 10 CAPS; VAP
1039201680093; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30; VAP
1039201680141; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 30; VAP
1039201680042; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 30; VAP
1039200910028; ATENOCLOR; ATENOCLOR; NOT FOUND; 100 MG / 25 MG COM CT BL AL PLAS INC X 28; VAP
1039200910011; ATENOCLOR; ATENOCLOR; NOT FOUND; 50 MG / 12.5 MG COM CT BL AL PLAS INC X 28; VAP
1039201500036; AMLODIL; AMLODIL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; VAP
1039201500011; AMLODIL; AMLODIL; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20; VAP
1039201500044; AMLODIL; AMLODIL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); VAP
1039201500028; AMLODIL; AMLODIL; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); VAP
1039201500052; AMLODIL; AMLODIL; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 20; VAP
1039201500060; AMLODIL; AMLODIL; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 500 (EMB HOSP); VAP
1039201500079; AMLODIL; AMLODIL; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 20; VAP
1039201500087; AMLODIL; AMLODIL; NOT FOUND; 10 MG COM CT BL AL PLAS AMB  X 500 (EMB HOSP); VAP
1039201350018; ANCLORIC; ANCLORIC; NOT FOUND; 5 MG + 50 MG COM CT BL AL PLAS INC X 30; VAP
1039201470031; AMPRAX; AMPRAX; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 40; VAP
1039201470056; AMPRAX; AMPRAX; NOT FOUND; 80 MG COM CT BL AL PLAS INC X 30; VAP
1039201470048; AMPRAX; AMPRAX; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); VAP
1039201470080; AMPRAX; AMPRAX; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 30; VAP
1039200650081; ALGY-FLANDERIL; ALGY FLANDERIL; NOT FOUND; 50 MG/ML SUS OR 50 FR PLAS OPC GOT X 30 ML (EMB HOSP); VAP
1039200650073; ALGY-FLANDERIL; ALGY FLANDERIL; NOT FOUND; 50 MG/ML SUS OR FR PLAS OPC GOT X 30 ML; VAP
1039200650018; ALGY-FLANDERIL; ALGY FLANDERIL; NOT FOUND; 300 MG COM CT BL AL PLAS INC X 20; VAP
1039200650026; ALGY-FLANDERIL; ALGY FLANDERIL; NOT FOUND; 600 MG COM CT BL AL PLAS INC X 20; VAP
1039200650042; ALGY-FLANDERIL; ALGY FLANDERIL; NOT FOUND; 300 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); VAP
1039200650069; ALGY-FLANDERIL; ALGY FLANDERIL; NOT FOUND; 600 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); VAP
