160483; DEMELAN ; DEMELAN; NOT FOUND; CREM AIRLES 15 G x 1; GMK
160484; DEMELAN ; DEMELAN; NOT FOUND; CREM AIRLES 30 G x 1; GMK
76182; DEMELAN ; DEMELAN; NOT FOUND; CREME 15 G x 1; GMK
80177; DEMELAN KIT ; DEMELAN KIT; NOT FOUND; K CR15G+SU30 60 G x 1; GMK
80176; DEMELAN KIT ; DEMELAN KIT; NOT FOUND; K CR15G+SU60 60 G x 1; GMK
128837; DERIVA C MICRO ; DERIVA C MICRO; NOT FOUND; GEL DERM L/P 30 G x 1; GMK
78952; DERIVA MICRO ; DERIVA MICRO; NOT FOUND; GEL L/P 1 MG 30 G x 1 (/G); GMK
75023; DERMOTIL ; DERMOTIL; NOT FOUND; CREME. 1 MG 20 G x 1 (/G); GMK
69180; DERMOTIL ; DERMOTIL; NOT FOUND; POM.DERMAT 1 MG 20 G x 1 (/G); GMK
120463; DERMOTIL FUSID ; DERMOTIL FUSID; NOT FOUND; CRE DERM 10 G x 1; GMK
71461; DOCETAXEL MG ; DOCETAXEL; DOCETAXEL; F.AMP IV 20 MG 1.50 ML x 1; GMK
71462; DOCETAXEL MG ; DOCETAXEL; DOCETAXEL; F.AMP IV 80 MG 6 ML x 1; GMK
52741; DORNAL ; DORNAL; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); GMK
52742; DORNAL ; DORNAL; NOT FOUND; SOLN ORAL 50 MG 100 ML x 1 (/ML); GMK
