53218; CAMOXIN ; CAMOXIN; NOT FOUND; CAPS 500 MG x 21; GMK
53219; CAMOXIN ; CAMOXIN; NOT FOUND; PO P/SUSP 250 MG 150 ML x 1 (/5ML); GMK
53220; CAMOXIN ; CAMOXIN; NOT FOUND; PO P/SUSP 500 MG 150 ML x 1 (/5ML); GMK
71310; CARBOPLATINA MG ; CARBOPLATINA; CARBOPLATINA; F.AMP 150 MG 20 ML x 1; GMK
71311; CARBOPLATINA MG ; CARBOPLATINA; CARBOPLATINA; F.AMP 450 MG 100 ML x 1; GMK
32693; CEDUR ; CEDUR; NOT FOUND; DRAG 200 MG x 20; GMK
47025; CEDUR ; CEDUR; NOT FOUND; DRAG RETARD 400 MG x 20; GMK
47026; CEDUR ; CEDUR; NOT FOUND; DRAG RETARD 400 MG x 30; GMK
52852; CEGLEN ; CEGLEN; NOT FOUND; CPR EFER 1 G x 10; GMK
57853; CEGLEN ; CEGLEN; NOT FOUND; CPR EFE LARA 1 G x 15; GMK
52853; CEGLEN EFERVESCENT ; CEGLEN EFERVESCENT; NOT FOUND; CPR EFER 2 G x 10; GMK
71766; CEGLEN ZINCO ; CEGLEN ZINCO; NOT FOUND; CPR EFER 1 G x 10; GMK
73382; CELAMINA ; CELAMINA; NOT FOUND; CREME 10 MG 20 G x 1 (/G); GMK
73381; CELAMINA ; CELAMINA; NOT FOUND; SOLN TOP. 10 MG 15 ML x 1 (/ML); GMK
77878; CELAMINA SHAMPOO ; CELAMINA SHAMPOO; NOT FOUND; SHAMP ULTRA 150 ML x 1; GMK
77879; CELAMINA SHAMPOO ; CELAMINA SHAMPOO; NOT FOUND; SHAMP ZINCO 150 ML x 1; GMK
57600; CLIBIUM ; CLIBIUM; NOT FOUND; CPR REVEST 120 MG x 30; GMK
57598; CLIBIUM ; CLIBIUM; NOT FOUND; CPR REVEST 40 MG x 30; GMK
57599; CLIBIUM ; CLIBIUM; NOT FOUND; CPR REVEST 80 MG x 30; GMK
53463; CLISTIN ; CLISTIN; NOT FOUND; CPR 10 MG x 12; GMK
53464; CLISTIN ; CLISTIN; NOT FOUND; XAR. PED. 5 MG 100 ML x 1 (/5ML); GMK
73132; CLO IRINOTECANO MG ; CLO IRINOTECANO; CLORIDRATO IRINOTECANO; F.AMP 100 MG 5 ML x 1; GMK
73133; CLO IRINOTECANO MG ; CLO IRINOTECANO; CLORIDRATO IRINOTECANO; F.AMP 40 MG 2 ML x 1; GMK
70299; CLOR.DOXORRUBIC.MG ; CLOR DOXORRUBIC; CLORIDRATO DOXORRUBICINA; F.AMP LIOF 10 MG x 1; GMK
70300; CLOR.DOXORRUBIC.MG ; CLOR DOXORRUBIC; CLORIDRATO DOXORRUBICINA; F.AMP LIOF 50 MG x 1; GMK
75632; CLOTRIGEL ; CLOTRIGEL; NOT FOUND; CR.VAG.3 APL 20 MG 20 G x 1 (/G); GMK
