63813, AMOXI CLAVU POT, NOT FOUND, CPR REVEST 500 MG x 18,504600202113114, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 50MG/ML + 12
63813, AMOXI CLAVU POT, NOT FOUND, CPR REVEST 500 MG x 18,504600201117116, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG+125MG COM REV CT 1 STR AL/AL X 6
63813, AMOXI CLAVU POT, NOT FOUND, CPR REVEST 500 MG x 18,504600203111115, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG C/ 18 CPR.
63813, AMOXI CLAVU POT, NOT FOUND, CPR REVEST 500 MG x 18,504600203111115, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125 MG COM REV CT STR AL/AL X 18
73430, ACETILCISTEINA, ACETILCISTEINA, XPE 20 MG 100 ML x 1 (/ML),504611701132111, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED
73800, ACICLOVIR, ACICLOVIR, CPR 200 MG x 25,504612002114110, ACICLOVIR, ACICLOVIR, 200MG COM CT BL AL PLAS INC X 25
73800, ACICLOVIR, ACICLOVIR, CPR 200 MG x 25,504612001118112, ACICLOVIR, ACICLOVIR, 200 MG COM CT BL AL PLAS INC X 10
73800, ACICLOVIR, ACICLOVIR, CPR 200 MG x 25,504612002114110, ACICLOVIR, ACICLOVIR, 200 MG COM CT BL AL PLAS INC X 25
73800, ACICLOVIR, ACICLOVIR, CPR 200 MG x 25,504612001118112, ACICLOVIR, ACICLOVIR, 200MG COM CT BL AL PLAS INC X 10
63867, AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21,504600202113114, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 50MG/ML + 12
63867, AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21,504600201117116, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG+125MG COM REV CT 1 STR AL/AL X 6
63867, AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21,504600102119110, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21
63867, AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21,504600203111115, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG C/ 18 CPR.
63867, AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21,504600101139118, AMOXICILINA, AMOXICILINA, 50 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML
63867, AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21,504600203111115, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125 MG COM REV CT STR AL/AL X 18
63812, AMOXI CLAVU POT, NOT FOUND, CPR REVEST 500 MG x 6,504600202113114, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 50MG/ML + 12
63812, AMOXI CLAVU POT, NOT FOUND, CPR REVEST 500 MG x 6,504600201117116, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG+125MG COM REV CT 1 STR AL/AL X 6
63812, AMOXI CLAVU POT, NOT FOUND, CPR REVEST 500 MG x 6,504600203111115, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG C/ 18 CPR.
