85622; MEDCALL ; MEDCALL; NOT FOUND; CPR x 60; MDQ
102291; MEDCALL ; MEDCALL; NOT FOUND; SUS ORAL CHO 240 ML x 1; MDQ
96521; MEDCALL ; MEDCALL; NOT FOUND; SUSP ORAL CE 240 ML x 1; MDQ
62974; MEDGERON ; MEDGERON; NOT FOUND; CPR 25 MG x 30; MDQ
62975; MEDGERON ; MEDGERON; NOT FOUND; CPR 75 MG x 30; MDQ
62982; MEDPRAZOL ; MEDPRAZOL; NOT FOUND; CAPS 20 MG x 14; MDQ
63587; MEDPRAZOL ; MEDPRAZOL; NOT FOUND; CAPS 20 MG x 28; MDQ
76150; MEDPRAZOL ; MEDPRAZOL; NOT FOUND; CAPS 20 MG x 60; MDQ
63017; MEDPRESS ; MEDPRESS; NOT FOUND; CPR 250 MG x 30; MDQ
64218; MEDTONICO ; MEDTONICO; NOT FOUND; LIQD 400 ML x 1; MDQ
62976; MEDTRIM ; MEDTRIM; NOT FOUND; CPR 400 MG x 20 (/80); MDQ
62977; MEDTRIM ; MEDTRIM; NOT FOUND; CPR 800 MG x 16 (/160); MDQ
62978; MEDTRIM ; MEDTRIM; NOT FOUND; SUSP 200 MG 100 ML x 1 (/40); MDQ
62979; MEDTRIM ; MEDTRIM; NOT FOUND; SUSP 400 MG 100 ML x 1 (/80); MDQ
64217; MEDXIL ; MEDXIL; NOT FOUND; PO P/SUSP 250 MG 150 ML x 1 (/5ML); MDQ
98139; MEGAVITAL ; MEGAVITAL; NOT FOUND; CPR x 30; MDQ
98141; MEGAVITAL ; MEGAVITAL; NOT FOUND; CPR x 90; MDQ
50766; MENTABON ; MENTABON; NOT FOUND; CPR 100 MG x 6; MDQ
50767; MENTABON ; MENTABON; NOT FOUND; SUSP 100 MG 30 ML x 1 (/5ML); MDQ
78101; MOTIVOL ; MOTIVOL; NOT FOUND; CPR REVEST 100 MG x 30; MDQ
78102; MOTIVOL ; MOTIVOL; NOT FOUND; CPR REVEST 100 MG x 60; MDQ
62984; MUCOPLUS ; MUCOPLUS; NOT FOUND; XAR. AD 250 MG 100 ML x 1 (/5ML); MDQ
62983; MUCOPLUS ; MUCOPLUS; NOT FOUND; XAR. PED. 100 MG 100 ML x 1 (/5ML); MDQ
