526510001111417, MERICOMB, MERICOMB, NOT FOUND, 1 MG COM REV + 1 MG + 1 MG COM REV CT BL AL PLAS OPC X 16 + 12, NVR
526510101114418, MERIGEST, MERIGEST, NOT FOUND, 2.0 MG + 0.7 MG COM REV CT BL AL PLAS OPC X 28, NVR
526510201119411, MERIMONO, MERIMONO, NOT FOUND, 1.0 MG COM REV CT BL AL PVC OPC X 28, NVR
526527005113419, METFORMIX, METFORMIX, NOT FOUND, 500 MG COM REV CT BL AL PVC X 12, NVR
526527003110412, METFORMIX, METFORMIX, NOT FOUND, 500 MG COM REV CT BL AL PVC X 24, NVR
526527001118416, METFORMIX, METFORMIX, NOT FOUND, 500 MG COM REV CT BL AL PVC X 48, NVR
526527006111411, METFORMIX, METFORMIX, NOT FOUND, 850 MG COM REV CT BL AL PVC X 12, NVR
526527004117410, METFORMIX, METFORMIX, NOT FOUND, 850 MG COM REV CT BL AL PVC X 24, NVR
526527002114414, METFORMIX, METFORMIX, NOT FOUND, 850 MG COM REV CT BL AL PVC X 48 , NVR
526510301113415, METHERGIN, METHERGIN, NOT FOUND, 0.125 MG DRG CT BL AL PLAS INC X 12, NVR
526510302152414, METHERGIN, METHERGIN, NOT FOUND, 0.2 MG/ML SOL INJ CT 50 AMP VD INC X 1 ML, NVR
526510404151311, MIACALCIC, MIACALCIC, NOT FOUND, 100 UI SOL INJ CT 5 AMP VD INC X 1 ML , NVR
526510401150411, MIACALCIC, MIACALCIC, NOT FOUND, 100 UI SOL INJ CT 5 SER VD INC X 1 ML, NVR
526510402173413, MIACALCIC, MIACALCIC, NOT FOUND, 200 UI/DOSE SOL NAS CT FR VD INC NEB X 2 ML, NVR
526510501171419, MIFLASONA, MIFLASONA, NOT FOUND, 200 MCG PO ENCAP P/ INAL CT 6 BL AL PLAS INC X 10 + INAL, NVR
526510502178417, MIFLASONA, MIFLASONA, NOT FOUND, 400 MCG PO ENCAP P/ INAL CT 6 BL AL PLAS INC X 10 + INAL, NVR
526510603179419, MIFLONIDE, MIFLONIDE, NOT FOUND, 200 MCG CAP GEL DURA P/ INAL CT BL AL PLAS INC X 30 + INAL, NVR
526510605171318, MIFLONIDE, MIFLONIDE, NOT FOUND, 200 MCG CAP GEL DURA P/ INAL CT BL AL PLAS INC X 60, NVR
526510601117416, MIFLONIDE, MIFLONIDE, NOT FOUND, 200 MCG CAP GEL DURA P/ INAL CT BL AL PLAS INC X 60 + INAL, NVR
526510604175417, MIFLONIDE, MIFLONIDE, NOT FOUND, 400 MCG CAP GEL DURA P/ INAL CT BL AL PLAS INC X 30 + INAL, NVR
526510606178316, MIFLONIDE, MIFLONIDE, NOT FOUND, 400 MCG CAP GEL DURA P/ INAL CT BL AL PLAS INC X 60, NVR
526510602113414, MIFLONIDE, MIFLONIDE, NOT FOUND, 400 MCG CAP GEL DURA P/ INAL CT BL AL PLAS INC X 60 + INAL, NVR
526510902133410, MURICALM, MURICALM, NOT FOUND, 0.1 MG/ML XPE CT FR VD AMB X 120 ML, NVR
526510901137412, MURICALM, MURICALM, NOT FOUND, 1 MG/ML SOL OR CT FR VD CGT X 10 ML, NVR
