80393, CALNATE , CALNATE, NOT FOUND, ENV.PO ORAL 900 MG 30 G x 60, EUF
62876, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 12.5 MG x 30, EUF
62877, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 25 MG x 30, EUF
62878, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 50 MG x 30, EUF
57958, CARBAMAZEPINA MG , CARBAMAZEPINA, CARBAMAZEPINA, CPR 200 MG x 20, EUF
77736, CARBOLITIUM , CARBOLITIUM, NOT FOUND, CPR 300 MG x 25, EUF
2053, CARBOLITIUM , CARBOLITIUM, NOT FOUND, CPR 300 MG x 50, EUF
77737, CARBOLITIUM , CARBOLITIUM, NOT FOUND, CPR 450 MG x 10, EUF
50733, CARBOLITIUM , CARBOLITIUM, NOT FOUND, CPR CR 450 MG x 30, EUF
59354, CECNOIN , CECNOIN, NOT FOUND, CAPS 10 MG x 30, EUF
59355, CECNOIN , CECNOIN, NOT FOUND, CAPS 20 MG x 30, EUF
66494, CECNOIN , CECNOIN, NOT FOUND, GEL. 0.50 MG 30 G x 1 (/G), EUF
147831, CEFADROXILA MG , CEFADROXILA, CEFADROXILA, CAPS 500 MG x 30, EUF
57334, CEFADROXILA MG , CEFADROXILA, CEFADROXILA, CAPS 500 MG x 8, EUF
61511, CEFADROXILA MG , CEFADROXILA, CEFADROXILA, SUSP ORAL 250 MG 100 ML x 1 (/5ML), EUF
66456, CEFADROXILA MG , CEFADROXILA, CEFADROXILA, SUSP ORAL 500 MG 100 ML x 1 (/5ML), EUF
71953, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CPR REVEST 500 MG x 10, EUF
147832, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CPR REVEST 500 MG x 30, EUF
57857, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CPR REVEST 500 MG x 8, EUF
57858, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, SUSP 250 MG 100 ML x 1 (/5ML), EUF
64265, CEFAZOLINA SODI MG , CEFAZOLINA SODI, CEFAZOLINA SODICA, F.AMP 1 G x 50, EUF
56266, CEFOXITINA SODI.MG , CEFOXITINA SODI, CEFOXITINA SODICA, F.IV LIOF 1 G 10 ML x 1, EUF
57336, CEFTAZIDIMA MG , CEFTAZIDIMA, CEFTAZIDIMA, F.AMP SOLV 1 G 10 ML x 1, EUF
63640, CEFTAZIDIMA MG , CEFTAZIDIMA, CEFTAZIDIMA, F.AMP SOLV 1 G 10 ML x 50, EUF
56120, CEFTRIAXONA SOD.MG , CEFTRIAXONA SOD, CEFTRIAXONA SODICA, F.IM SOLV. 1 G x 1, EUF
56119, CEFTRIAXONA SOD.MG , CEFTRIAXONA SOD, CEFTRIAXONA SODICA, F.IM SOLV. 500 MG x 1, EUF
