87188; LABORIODINE ; LABORIODINE; NOT FOUND; LOC. TOPICA 100 ML x 1; EUF
100267; LAMOTRIGINA MG ; LAMOTRIGINA; LAMOTRIGINA; CPR 100 MG x 30; EUF
100265; LAMOTRIGINA MG ; LAMOTRIGINA; LAMOTRIGINA; CPR 25 MG x 30; EUF
100266; LAMOTRIGINA MG ; LAMOTRIGINA; LAMOTRIGINA; CPR 50 MG x 30; EUF
101276; LEPTICO ; LEPTICO; NOT FOUND; CPR 100 MG x 30; EUF
101279; LEPTICO ; LEPTICO; NOT FOUND; CPR 100 MG x 60; EUF
101274; LEPTICO ; LEPTICO; NOT FOUND; CPR 25 MG x 30; EUF
101277; LEPTICO ; LEPTICO; NOT FOUND; CPR 25 MG x 60; EUF
101275; LEPTICO ; LEPTICO; NOT FOUND; CPR 50 MG x 30; EUF
101278; LEPTICO ; LEPTICO; NOT FOUND; CPR 50 MG x 60; EUF
71274; LETROZOL MG ; LETROZOL; LETROZOL; CPR REVEST 2.50 MG x 28; EUF
75826; LETROZOL MG ; LETROZOL; LETROZOL; CPR REVEST 2.50 MG x 30; EUF
62324; LEVOFLOXACINO MG ; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 250 MG x 7; EUF
62325; LEVOFLOXACINO MG ; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 500 MG x 10; EUF
76476; LEVOFLOXACINO MG ; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 500 MG x 3; EUF
62326; LEVOFLOXACINO MG ; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 500 MG x 7; EUF
59245; LEVOFLOXACINO MG ; LEVOFLOXACINO; LEVOFLOXACINO; F.IV 50 MG 100 ML x 1 (/ML); EUF
62874; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 10 MG x 30; EUF
62875; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 20 MG x 30; EUF
62873; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 5 MG x 30; EUF
57131; LOCOID ; LOCOID; NOT FOUND; CREME 1 MG 15 G x 1 (/G); EUF
57132; LOCOID ; LOCOID; NOT FOUND; EMULS 1 MG 30 G x 1 (/G); EUF
63680; LORATA+PSEUDOEF.MG ; LORATA PSEUDOEF; NOT FOUND; XAR. 60 ML x 1; EUF
74481; LOSART.PO.+HCTZ MG ; LOSART PO HCTZ; NOT FOUND; CPR REVEST 12.5 MG x 30 (/50); EUF
74482; LOSART.PO.+HCTZ MG ; LOSART PO HCTZ; NOT FOUND; CPR REVEST 25 MG x 30 (/100); EUF
85512; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 100 MG x 30; EUF
65491; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 30; EUF
84479; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 60; EUF
