165376; TADALAFILA MG ; TADALAFILA; TADALAFILA; CPR 20 MG x 2; EUF
165377; TADALAFILA MG ; TADALAFILA; TADALAFILA; CPR 5 MG x 30; EUF
63071; TAMIRAM ; TAMIRAM; NOT FOUND; CPR REVEST 250 MG x 7; EUF
60125; TAMIRAM ; TAMIRAM; NOT FOUND; CPR REVEST 500 MG x 10; EUF
61720; TAMIRAM ; TAMIRAM; NOT FOUND; CPR REVEST 500 MG x 3; EUF
60124; TAMIRAM ; TAMIRAM; NOT FOUND; CPR REVEST 500 MG x 7; EUF
60057; TAMISA ; TAMISA; NOT FOUND; DRAG 20 Y x 21; EUF
73088; TAMISA ; TAMISA; NOT FOUND; DRAG 20 Y x 63 (/75); EUF
60058; TAMISA ; TAMISA; NOT FOUND; DRAG 30 Y x 21; EUF
73089; TAMISA ; TAMISA; NOT FOUND; DRAG 30 Y x 63 (/75); EUF
89086; TAMISA ; TAMISA; NOT FOUND; DRAG S PARAR 30 Y x 28; EUF
89087; TAMISA ; TAMISA; NOT FOUND; DRAG S PARAR 30 Y x 84; EUF
56073; TAMOXIN ; TAMOXIN; NOT FOUND; CPR 20 MG x 30; EUF
70412; TEICOPLANINA MG ; TEICOPLANINA; TEICOPLANINA; F.AMP C/DILU 200 MG 3 ML x 5; EUF
70413; TEICOPLANINA MG ; TEICOPLANINA; TEICOPLANINA; F.AMP C/DILU 400 MG 3 ML x 5; EUF
83413; TEINA ; TEINA; NOT FOUND; CAPS 10 MG x 30; EUF
59315; TENOXICAM MG ; TENOXICAM; TENOXICAM; F.AMP SOLV 20 MG 2 ML x 50; EUF
59316; TENOXICAM MG ; TENOXICAM; TENOXICAM; F.AMP SOLV 40 MG 2 ML x 50; EUF
71297; TOPIRAMATO MG ; TOPIRAMATO; TOPIRAMATO; CPR REVEST 100 MG x 60; EUF
71521; TOPIRAMATO MG ; TOPIRAMATO; TOPIRAMATO; CPR REVEST 25 MG x 60; EUF
71520; TOPIRAMATO MG ; TOPIRAMATO; TOPIRAMATO; CPR REVEST 50 MG x 60; EUF
78948; TORANTE ; TORANTE; NOT FOUND; XAR. 15 MG 100 ML x 1 (/ML); EUF
78949; TORANTE ; TORANTE; NOT FOUND; XAR. 15 MG 200 ML x 1 (/ML); EUF
115543; TRIMEB ; TRIMEB; NOT FOUND; CAPS 200 MG x 20; EUF
115545; TRIMEB ; TRIMEB; NOT FOUND; CAPS 200 MG x 30; EUF
115546; TRIMEB ; TRIMEB; NOT FOUND; CAPS 200 MG x 60; EUF
62926; TROK ; TROK; NOT FOUND; CREME 10 G x 1; EUF
69207; TROK ; TROK; NOT FOUND; CREME 30 G x 1; EUF
62927; TROK ; TROK; NOT FOUND; POM. 10 G x 1; EUF
69208; TROK ; TROK; NOT FOUND; POM. 30 G x 1; EUF
77739; TROK-G ; TROK G; NOT FOUND; CREME 10 G x 1; EUF
74133; TROK-G ; TROK G; NOT FOUND; CREME 30 G x 1; EUF
74134; TROK-G ; TROK G; NOT FOUND; POM. 30 G x 1; EUF
62928; TROK-N ; TROK N; NOT FOUND; CREME 10 G x 1; EUF
69209; TROK-N ; TROK N; NOT FOUND; CREME 30 G x 1; EUF
62929; TROK-N ; TROK N; NOT FOUND; POM. 10 G x 1; EUF
69210; TROK-N ; TROK N; NOT FOUND; POM. 30 G x 1; EUF
