59137, AC TR+S.N+GR+NI.MG , AC TR S N GR NI, NOT FOUND, CREME 30 G x 1, EUF
59138, AC TR+S.N+GR+NI.MG , AC TR S N GR NI, NOT FOUND, POM. 30 G x 1, EUF
77261, AC ZOLEDRONICO MG , AC ZOLEDRONICO, ACIDO ZOLEDRONICO MONOIDRATADO, AMP. 4 MG 5 ML x 1, EUF
59130, ACEBROFILINA MG , ACEBROFILINA, ACEBROFILINA, XAR. AD 50 MG 120 ML x 1 (/5ML), EUF
59129, ACEBROFILINA MG , ACEBROFILINA, ACEBROFILINA, XAR. INF 25 MG 120 ML x 1 (/5ML), EUF
59132, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, SACHETS 100 MG x 16, EUF
160366, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, SACHETS 200 MG 5 G x 30, EUF
59133, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, SACHETS 200 MG x 16, EUF
59134, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, SACHETS 600 MG x 16, EUF
58978, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, XAR. 20 MG 100 ML x 1 (/ML), EUF
58979, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, XAR. 20 MG 150 ML x 1 (/ML), EUF
83716, ACETON TRIANCIN.MG , ACETON TRIANCIN, NOT FOUND, POM.BUCAL 1 MG 10 G x 1 (/G), EUF
57402, ACICLOVIR MG , ACICLOVIR, ACICLOVIR, CREME 50 MG 10 G x 1 (/G), EUF
58469, ACICLOVIR MG , ACICLOVIR, ACICLOVIR, F.AMP LIOF 250 MG x 5, EUF
58470, ACTIVELLE , ACTIVELLE, NOT FOUND, CPR REVEST x 28, EUF
137548, AIDE 3 , AIDE 3, NOT FOUND, GOTAS 10 ML x 1, EUF
137551, AIDE 3 , AIDE 3, NOT FOUND, GOTAS 20 ML x 1, EUF
75499, AIRES , AIRES, NOT FOUND, GRAN ENVELOP 100 MG 5 G x 16, EUF
75500, AIRES , AIRES, NOT FOUND, GRAN ENVELOP 200 MG 5 G x 16, EUF
80222, AIRES , AIRES, NOT FOUND, GRAN ENVELOP 200 MG 5 G x 8, EUF
75501, AIRES , AIRES, NOT FOUND, GRAN ENVELOP 600 MG 5 G x 16, EUF
80223, AIRES , AIRES, NOT FOUND, GRAN ENVELOP 600 MG 5 G x 8, EUF
68756, ALENDRONATO SOD.MG , ALENDRONATO SOD, ALENDRONATO SODIO TRI-HIDRATADO, CPR 10 MG x 30, EUF
68755, ALENDRONATO SOD.MG , ALENDRONATO SOD, ALENDRONATO SODIO TRI-HIDRATADO, CPR 70 MG x 4, EUF
346, ALERGO FILIN.EXPT , ALERGO FILIN EXPT, NOT FOUND, LIQD 100 ML x 1 (ADLT), EUF
347, ALERGO FILIN.EXPT , ALERGO FILIN EXPT, NOT FOUND, LIQD 50 ML x 1 (INF), EUF
72575, ALERGO FILIN.EXPT , ALERGO FILIN EXPT, NOT FOUND, XAR. AD 120 ML x 1, EUF
76385, ALGE.AC+ENA.EST.MG , ALGE AC ENA EST, NOT FOUND, A.IM 150 MG 1 ML x 1 (/10), EUF
64478, ALPRAZOLAM MG , ALPRAZOLAM, ALPRAZOLAM, CPR 0.25 MG x 20, EUF
64479, ALPRAZOLAM MG , ALPRAZOLAM, ALPRAZOLAM, CPR 0.50 MG x 20, EUF
64480, ALPRAZOLAM MG , ALPRAZOLAM, ALPRAZOLAM, CPR 1 MG x 20, EUF
84474, ALPRAZOLAM MG , ALPRAZOLAM, ALPRAZOLAM, CPR 1 MG x 30, EUF
64079, ALTIVA , ALTIVA, NOT FOUND, CPR REVEST 120 MG x 10, EUF
64080, ALTIVA , ALTIVA, NOT FOUND, CPR REVEST 180 MG x 10, EUF
78013, AMATO , AMATO, NOT FOUND, CPR REVEST 100 MG x 12, EUF
72100, AMATO , AMATO, NOT FOUND, CPR REVEST 100 MG x 60, EUF
78011, AMATO , AMATO, NOT FOUND, CPR REVEST 25 MG x 12, EUF
72098, AMATO , AMATO, NOT FOUND, CPR REVEST 25 MG x 60, EUF
78012, AMATO , AMATO, NOT FOUND, CPR REVEST 50 MG x 12, EUF
72099, AMATO , AMATO, NOT FOUND, CPR REVEST 50 MG x 60, EUF
74992, AMOXI+CLAVU.POT.MG , AMOXI CLAVU POT, NOT FOUND, CPR REVEST 875 MG x 14 (/125), EUF
74993, AMOXI+CLAVU.POT.MG , AMOXI CLAVU POT, NOT FOUND, CPR REVEST 875 MG x 20 (/125), EUF
61857, AMOXI+CLAVU.POT.MG , AMOXI CLAVU POT, NOT FOUND, F.AMP LIOF 1 G x 10, EUF
103007, AMOXI+CLAVU.POT.MG , AMOXI CLAVU POT, NOT FOUND, PO P/SUSP 400 MG 70 ML x 1 (/57, EUF
56996, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 15, EUF
56997, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21, EUF
56998, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 30, EUF
61508, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CPR REVES.BD 875 MG x 14, EUF
56999, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, SUSP ORAL 125 MG 150 ML x 1 (/5ML), EUF
57000, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, SUSP ORAL 250 MG 150 ML x 1 (/5ML), EUF
57321, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, SUSP ORAL 500 MG 150 ML x 1 (/5ML), EUF
61509, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, SUSP ORAL BD 200 MG 100 ML x 1 (/5M, EUF
61510, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, SUSP ORAL BD 400 MG 100 ML x 1 (/5M, EUF
58981, AMPICILINA MG , AMPICILINA, AMPICILINA, CAPS 500 MG x 12, EUF
58982, AMPICILINA MG , AMPICILINA, AMPICILINA, CAPS 500 MG x 18, EUF
147830, AMPICILINA MG , AMPICILINA, AMPICILINA, CAPS 500 MG x 48, EUF
58983, AMPICILINA MG , AMPICILINA, AMPICILINA, SUSP 250 MG 60 ML x 1 (/5ML), EUF
63567, AMPLACILINA EUF , AMPLACILINA EUF, NOT FOUND, F.AMP C/DILU 1 G 3 ML x 25, EUF
68324, ANASTROZOL MG , ANASTROZOL, ANASTROZOL, CPR REVEST 1 MG x 28, EUF
75811, ANASTROZOL MG , ANASTROZOL, ANASTROZOL, CPR REVEST 1 MG x 30, EUF
72140, ANATEN , ANATEN, NOT FOUND, CAPS 25 MG x 30 (/5), EUF
72141, ANATEN , ANATEN, NOT FOUND, CAPS 50 MG x 30 (/5), EUF
54731, ANDOLBA , ANDOLBA, NOT FOUND, AERO 43 G x 1, EUF
85471, ANDOLBA NF , ANDOLBA NF, NOT FOUND, AERO 43 G x 1, EUF
85472, ANDOLBA NF , ANDOLBA NF, NOT FOUND, CREME. 30 G x 1, EUF
160477, ANTROFI , ANTROFI, NOT FOUND, CR VAG 20AP 30 G x 1, EUF
74623, ARRIF , ARRIF, NOT FOUND, SOLN TOP. 10 MG 20 ML x 1 (/ML), EUF
93549, ARTICO , ARTICO, NOT FOUND, PO SACHET 1.50 G 5 G x 10 (/1.2), EUF
84416, ARTICO , ARTICO, NOT FOUND, PO SACHET 1.50 G 5 G x 30 (/1.2), EUF
63890, ASTRO , ASTRO, NOT FOUND, CPR REVEST 500 MG x 2, EUF
62405, ASTRO , ASTRO, NOT FOUND, CPR REVEST 500 MG x 3, EUF
64486, ASTRO , ASTRO, NOT FOUND, CPR REVEST 500 MG x 5, EUF
69086, ASTRO , ASTRO, NOT FOUND, CPR REVEST 500 MG x 60, EUF
68644, ASTRO , ASTRO, NOT FOUND, CPR REVEST 500 MG x 9, EUF
78137, ASTRO , ASTRO, NOT FOUND, PO P/SUSP 1500 MG 37.5 ML x 1, EUF
63575, ASTRO , ASTRO, NOT FOUND, PO P/SUSP 600 MG 15 ML x 1, EUF
70367, ASTRO , ASTRO, NOT FOUND, PO P/SUSP 900 MG 22.5 ML x 1, EUF
71249, ATENOLOL+CLORTA.MG , ATENOLOL CLORTA, NOT FOUND, CPR 12.5 MG x 28 (/50), EUF
75000, ATENOLOL+CLORTA.MG , ATENOLOL CLORTA, NOT FOUND, CPR 12.5 MG x 30 (/50), EUF
71250, ATENOLOL+CLORTA.MG , ATENOLOL CLORTA, NOT FOUND, CPR 25 MG x 28 (/100), EUF
74999, ATENOLOL+CLORTA.MG , ATENOLOL CLORTA, NOT FOUND, CPR 25 MG x 30 (/100), EUF
67695, ATMOS , ATMOS, NOT FOUND, CAPS GELATIN 2.50 MG x 30 (/10), EUF
67697, ATMOS , ATMOS, NOT FOUND, CAPS GELATIN 20 MG x 30 (/5), EUF
67696, ATMOS , ATMOS, NOT FOUND, CAPS GELATIN 5 MG x 30 (/10), EUF
78515, ATORVASTATINA MG , ATORVASTATINA, ATORVASTATINA, CPR REVEST 10 MG x 30, EUF
78516, ATORVASTATINA MG , ATORVASTATINA, ATORVASTATINA, CPR REVEST 20 MG x 30, EUF
78978, ATORVASTATINA MG , ATORVASTATINA, ATORVASTATINA, CPR REVEST 40 MG x 30, EUF
78977, ATORVASTATINA MG , ATORVASTATINA, ATORVASTATINA, CPR REVEST 80 MG x 30, EUF
68759, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, CPR REVEST 500 MG x 2, EUF
64350, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, CPR REVEST 500 MG x 3, EUF
76466, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, CPR REVEST 500 MG x 5, EUF
71864, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, CPR REVEST 500 MG x 60, EUF
166120, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, PO P/SUSP 1500 MG 22 ML x 1, EUF
166118, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, PO P/SUSP 600 MG 9 ML x 1, EUF
166119, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, PO P/SUSP 900 MG 12 ML x 1, EUF
63817, AZTREONAM MG , AZTREONAM, AZTREONAM, F.AMP C/DILU 1 G 3 ML x 10, EUF
