114418, MAL TRIMEBUTINA MG , MAL TRIMEBUTINA, MALEATO TRIMEBUTINA, CAPS 200 MG x 30, EUF
114416, MAL TRIMEBUTINA MG , MAL TRIMEBUTINA, MALEATO TRIMEBUTINA, CAPS 200 MG x 60, EUF
60295, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, XAROPE 120 ML x 1, EUF
64458, MALEA.MIDAZOLAM MG , MALEA MIDAZOLAM, MALEATO MIDAZOLAM, CPR REVEST 15 MG x 20, EUF
64459, MALEA.MIDAZOLAM MG , MALEA MIDAZOLAM, MALEATO MIDAZOLAM, CPR REVEST 15 MG x 30, EUF
75532, MAMARE , MAMARE, NOT FOUND, DISCO P/SEIO x 2, EUF
71931, MELOCOX , MELOCOX, NOT FOUND, A.IM 10 MG 1.50 ML x 5 (/ML), EUF
71933, MELOCOX , MELOCOX, NOT FOUND, CPR 15 MG x 10, EUF
71932, MELOCOX , MELOCOX, NOT FOUND, CPR 7.50 MG x 10, EUF
64355, MELOXICAM MG , MELOXICAM, MELOXICAM, A.IM 10 MG 1.50 ML x 5 (/ML), EUF
64354, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 15 MG x 10, EUF
64353, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 7.50 MG x 10, EUF
67978, MEROPENEM MG , MEROPENEM, MEROPENEM, F.AMP 1 G x 10, EUF
63819, MEROPENEM MG , MEROPENEM, MEROPENEM, F.AMP 500 MG x 10, EUF
142041, MEROPENEM MG , MEROPENEM, MEROPENEM, F.AMP LIOF 1 G x 25, EUF
142048, MEROPENEM MG , MEROPENEM, MEROPENEM, F.AMP LIOF 500 MG x 25, EUF
100268, MESI IMATINIBE MG , MESI IMATINIBE, MESILATO IMATINIBE, CPR REVEST 100 MG x 60, EUF
100269, MESI IMATINIBE MG , MESI IMATINIBE, MESILATO IMATINIBE, CPR REVEST 400 MG x 30, EUF
75568, MESI.DOXAZOSINA MG , MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 2 MG x 30, EUF
62555, MESNA MG , MESNA, MESNA, F.AMP 400 MG 4 ML x 10, EUF
75533, MICOF.MOFETILA MG , MICOF MOFETILA, MICOFENOLATO MOFETILA, CPR REVEST 500 MG x 50, EUF
60867, MIDAZOLAM MG , MIDAZOLAM, MIDAZOLAM, AMP. 15 MG 3 ML x 5, EUF
60869, MIDAZOLAM MG , MIDAZOLAM, MIDAZOLAM, AMP. 5 MG 5 ML x 5, EUF
60868, MIDAZOLAM MG , MIDAZOLAM, MIDAZOLAM, AMP. 50 MG 10 ML x 5, EUF
52124, MINILAX , MINILAX, NOT FOUND, MICRO-ENEMA 6.50 G x 7, EUF
113297, MOLIERI , MOLIERI, NOT FOUND, CPR REV 0.03 MG x 21 (/3), EUF
113300, MOLIERI , MOLIERI, NOT FOUND, CPR REV 0.03 MG x 63 (/3), EUF
106501, MONTELUCASTE SO MG , MONTELUCASTE SO, MONTELUCASTE SODIO, CPR MAST 4 MG x 30, EUF
106502, MONTELUCASTE SO MG , MONTELUCASTE SO, MONTELUCASTE SODIO, CPR MAST 5 MG x 30, EUF
58608, MUPIROCINA MG , MUPIROCINA, MUPIROCINA, CREME 20 MG 15 G x 1 (/G), EUF
115835, MUPIROCINA MG , MUPIROCINA, MUPIROCINA, POM DERM 20 MG 15 G x 1 (/G), EUF
72125, MUSCULARE , MUSCULARE, NOT FOUND, CPR REVEST 10 MG x 15, EUF
72127, MUSCULARE , MUSCULARE, NOT FOUND, CPR REVEST 10 MG x 30, EUF
72124, MUSCULARE , MUSCULARE, NOT FOUND, CPR REVEST 5 MG x 15, EUF
72126, MUSCULARE , MUSCULARE, NOT FOUND, CPR REVEST 5 MG x 30, EUF
