53992, DACARB , DACARB, NOT FOUND, F.AMP LIOF 200 MG x 1, EUF
2991, DEBEI , DEBEI, NOT FOUND, CAPS 50 MG x 20, EUF
78573, DEJAVU , DEJAVU, NOT FOUND, CPR REVEST 100 MG x 2, EUF
78572, DEJAVU , DEJAVU, NOT FOUND, CPR REVEST 100 MG x 4, EUF
78576, DEJAVU , DEJAVU, NOT FOUND, CPR REVEST 50 MG x 1, EUF
78575, DEJAVU , DEJAVU, NOT FOUND, CPR REVEST 50 MG x 2, EUF
78574, DEJAVU , DEJAVU, NOT FOUND, CPR REVEST 50 MG x 4, EUF
74610, DESAGREG , DESAGREG, NOT FOUND, CPR REVEST 250 MG x 20, EUF
74611, DESAGREG , DESAGREG, NOT FOUND, CPR REVEST 250 MG x 30, EUF
73222, DESOGES+ETINILE.MG , DESOGES ETINILE, NOT FOUND, CPR 20 Y x 21 (/150), EUF
73223, DESOGES+ETINILE.MG , DESOGES ETINILE, NOT FOUND, CPR 30 Y x 21 (/150), EUF
46932, DEXALGEN , DEXALGEN, NOT FOUND, A.IM A+B 5000 Y 1 ML x 3, EUF
72015, DEXAMETASONA MG , DEXAMETASONA, DEXAMETASONA, ELIXIR 0.10 MG 120 ML x 1 (/ML), EUF
72255, DIACQUA , DIACQUA, NOT FOUND, CPR 100 MG x 16, EUF
72253, DIACQUA , DIACQUA, NOT FOUND, CPR 25 MG x 30, EUF
72254, DIACQUA , DIACQUA, NOT FOUND, CPR 50 MG x 30, EUF
132634, DICL BETAISTINA MG , DICL BETAISTINA, DICLORIDRATO BETAISTINA, CPR 16 MG x 30, EUF
132635, DICL BETAISTINA MG , DICL BETAISTINA, DICLORIDRATO BETAISTINA, CPR 16 MG x 60, EUF
132636, DICL BETAISTINA MG , DICL BETAISTINA, DICLORIDRATO BETAISTINA, CPR 24 MG x 30, EUF
132637, DICL BETAISTINA MG , DICL BETAISTINA, DICLORIDRATO BETAISTINA, CPR 24 MG x 60, EUF
132638, DICL BETAISTINA MG , DICL BETAISTINA, DICLORIDRATO BETAISTINA, CPR 8 MG x 30, EUF
75932, DICLO.LEVOCETIR MG , DICLO LEVOCETIR, DICLORIDRATO LEVOCETIRIZINA, CPR REVEST 5 MG x 10, EUF
57863, DICLOFEN.DIETIL.MG , DICLOFEN DIETIL, DICLOFENACO DIETILAMONIO, GEL. 1 % 60 G x 1, EUF
68618, DIMETICONA MG , DIMETICONA, DIMETICONA, GOTAS 75 MG 15 ML x 1 (/ML), EUF
61804, DIP.BET+FOS.BET MG , DIP BET FOS BET, NOT FOUND, A.IM+SER. 1 ML x 1, EUF
65470, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, GOTAS 500 MG 10 ML x 1 (/ML), EUF
65471, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, GOTAS 500 MG 20 ML x 1 (/ML), EUF
77974, DIUBLOK , DIUBLOK, NOT FOUND, CPR 100 MG x 10 (/25), EUF
77973, DIUBLOK , DIUBLOK, NOT FOUND, CPR 12.5 MG x 10 (/50), EUF
74284, DIUBLOK , DIUBLOK, NOT FOUND, CPR 12.5 MG x 30 (/50), EUF
74283, DIUBLOK , DIUBLOK, NOT FOUND, CPR 25 MG x 30 (/100), EUF
68337, DOCETAXEL MG , DOCETAXEL, DOCETAXEL, F.AMP C/DILU 20 MG 0.50 ML x 1, EUF
68338, DOCETAXEL MG , DOCETAXEL, DOCETAXEL, F.AMP C/DILU 80 MG 2 ML x 1, EUF
78990, DOMPERIDONA MG , DOMPERIDONA, DOMPERIDONA, CPR 10 MG x 30, EUF
79589, DOMPERIX , DOMPERIX, NOT FOUND, CPR 10 MG x 30, EUF
96325, DOMPERIX , DOMPERIX, NOT FOUND, SUSP ORAL 1 MG 100 ML x 1 (/ML), EUF
75681, DOPO , DOPO, NOT FOUND, CPR 0.75 MG x 2, EUF
75528, DUOMO , DUOMO, NOT FOUND, CPR 2 MG x 30, EUF
113295, DUOMO HP , DUOMO HP, NOT FOUND, CAP GEL DUR 2 MG x 20 (/5), EUF
113292, DUOMO HP , DUOMO HP, NOT FOUND, CAP GEL DUR 2 MG x 30 (/5), EUF
