511303902113412; SUPLAN; SUPLAN; NOT FOUND; GEST FR. C/ 30 COMPR. VER.; NO_ACR
511303901117422; SUPLAN; SUPLAN; NOT FOUND; COMPR. CX. C/ 30; NO_ACR
540913040009714; SULBAMOX; SULBAMOX; NOT FOUND; 1000 MG +500 MG PO INJ CT FA VD INC + AMP DIL VD INC X 5 ML; NO_ACR
540913040010014; SULBAMOX; SULBAMOX; NOT FOUND; 25 MG/ML +25 MG/ML PO PREP EXT CT FR PLAS OPC X 30 G (CAP 60 ML) + DOSIF; NO_ACR
540913040010114; SULBAMOX; SULBAMOX; NOT FOUND; 250 MG +250 MG COM REV CT BL AL PVC X 16; NO_ACR
540913040010214; SULBAMOX; SULBAMOX; NOT FOUND; 250 MG +250 MG COM REV CT BL AL PVC X 8; NO_ACR
540913040010314; SULBAMOX; SULBAMOX; NOT FOUND; 50 MG/ML +50 MG/ML PO PREP EXT CT FR PLAS OPC X 30 G (CAP 60 ML) + DOSIF; NO_ACR
540913040009814; SULBAMOX; SULBAMOX; NOT FOUND; 200 MG/ML + 50 MG/ML PO PREP EXT FR PLAS OPC X 15 G (CAP 30 ML) + DOSIF ; NO_ACR
540913040009914; SULBAMOX; SULBAMOX; NOT FOUND; 200 MG/ML + 50 MG/ML PO PREP EXT FR PLAS OPC X 30 G (CAP 60 ML) + DOSIF ; NO_ACR
540913040010414; SULBAMOX; SULBAMOX; NOT FOUND; 500 MG + 500 MG COM REV CT BL AL PVC X 16; NO_ACR
540913040010614; SULBAMOX; SULBAMOX; NOT FOUND; 500 MG +500 MG COM REV CT BL AL PVC X 8; NO_ACR
540913040010514; SULBAMOX; SULBAMOX; NOT FOUND; 500 MG +250 MG PO INJ CT FA VD INC + AMP DIL VD INC X 5 ML; NO_ACR
540913040010714; SULBAMOX; SULBAMOX; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL PLAS INC X 10 ; NO_ACR
540913040010814; SULBAMOX; SULBAMOX; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
540913040012314; SULBAMOX; SULBAMOX; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
505606201151416; SULBACTER; SULBACTER; NOT FOUND; 1000 MG + 500 MG PO INJ CT 20 FA VD INC + 20 AMP DIL X 10 ML; NO_ACR
505606206151414; SULBACTER; SULBACTER; NOT FOUND; 1000 MG + 500 MG  PO INJ CT 30 FA VD INC; NO_ACR
505606202156411; SULBACTER; SULBACTER; NOT FOUND; 2000 MG + 1000 MG  PO INJ CT 20 FA VD INC + 20 AMP DIL X 10 ML ; NO_ACR
505606204159418; SULBACTER; SULBACTER; NOT FOUND; 2000 MG + 1000 MG PO INJ CT 30 FA VD INC; NO_ACR
515102502171416; SANASAR; SANASAR; NOT FOUND; 0.10 G/G SAB CT FILME POLIEST X 80 G; NO_ACR
515102501173415; SANASAR; SANASAR; NOT FOUND; 100 MG/ML LOC EMU CT FR VD AMB X 100 ML; NO_ACR
515112020010903; SANASAR; SANASAR; NOT FOUND; 250 MG/ML LOC EMU TOP CT FR VD AMB X 100 ML; NO_ACR
515102606110413; SANILIN; SANILIN; NOT FOUND; 1.466 MG + 10 MG PAST CT TB PLAST X 12 SBR CEREJA; NO_ACR
515102607117411; SANILIN; SANILIN; NOT FOUND; 1.466 MG + 10 MG PAST CT TB PLAST X 12 SBR LARANJA; NO_ACR
515102608113411; SANILIN; SANILIN; NOT FOUND; 1.466 MG + 10 MG PAST CT TB PLAST X 12 SBR MENTA; NO_ACR
515102609179414; SANILIN; SANILIN; NOT FOUND; 0.5 MG + 4 MG SOL OR CT FR VD INC NEB X 30 ML; NO_ACR
521112401117319; SINERGEN; SINERGEN; NOT FOUND; 2.5 MG + 10 MG CAP GEL DURA CT STR X 30; NO_ACR
521112404116313; SINERGEN; SINERGEN; NOT FOUND; 2.5  MG + 10 MG CAP GEL DURA CT STR X 7; NO_ACR
521112402113317; SINERGEN; SINERGEN; NOT FOUND; 5 MG + 20 MG CAP GEL DURA CT STR X 30; NO_ACR
521112403111318; SINERGEN; SINERGEN; NOT FOUND; 5 MG + 10 MG CAP GEL DURA CT STR X 30; NO_ACR
521112405112311; SINERGEN; SINERGEN; NOT FOUND; 5 MG + 10 MG CAP GEL DURA CT STR X 7; NO_ACR
521112406119311; SINERGEN; SINERGEN; NOT FOUND; 5 MG + 20 MG CAP GEL DURA CT STR X 7; NO_ACR
510607304137411; SONRISAL LIMÃO; SONRISAL LIMAO; NOT FOUND; COM EFERV CT 5 ENV AL POLIET X 2; NO_ACR
510607303130413; SONRISAL LIMÃO; SONRISAL LIMAO; NOT FOUND; COM EFERV CT 30 ENV AL POLIET X 2; NO_ACR
510607302134415; SONRISAL; SONRISAL; NOT FOUND; COM EFER CT 5 ENV AL POLIET X 2; NO_ACR
510607301138417; SONRISAL; SONRISAL; NOT FOUND; COM EFERV CT 30 ENV AL POLIET X 2; NO_ACR
510606911137416; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV ENV AL POLIET X 5 G (GUARANA) ; NO_ACR
510606909132410; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV 2 ENV AL POLIET X 5 G (GUARANA); NO_ACR
510606910130418; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV CT 60 ENV AL POLIET X 5 G (GUARANA) ; NO_ACR
510606912133414; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV FR PLAS TRANS X 100 G (GUARANA) ; NO_ACR
510606913131415; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV 2 ENV AL POLIET X 5 G (LIMAO); NO_ACR
510606914136410; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV CT 60 ENV AL POLIET X 5 G (LIMAO); NO_ACR
510606902138413; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV CT 60 ENV AL POLIET X 5 G (LARANJA); NO_ACR
510606904130411; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV FR PLAS TRANS X 100 G (LARANJA); NO_ACR
510606916139417; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV 2 ENV AL POLIET X 5 G (ABACAXI)  ; NO_ACR
510606917135415; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV CT 60 ENV AL POLIET X 5 G (ABACAXI); NO_ACR
510606918131413; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV FR PLAS OPC X 100 G (ABACAXI)  ; NO_ACR
510606906133416; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV CT 60 ENV AL POLIET X 5 G; NO_ACR
510606908136412; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV CX FR PLAS TRANS X 100 G ; NO_ACR
510606915132419; SAL DE FRUTA ENO; SAL FRUTA ENO; NOT FOUND; PO EFEV FR PLAS TRANS X 100 G (LIMAO); NO_ACR
510606802133411; SAL DE ANDREWS; SAL ANDREWS; NOT FOUND; 176.50 MG PO EFEV CX FR PLAS OPC X 100 G; NO_ACR
510606801137411; SAL DE ANDREWS; SAL ANDREWS; NOT FOUND; 176.50 MG PO EFEV CX 60 ENV AL POLIET X 5 G ; NO_ACR
510610201114427; SONRIDOR CAF; SONRIDOR CAF; NOT FOUND; 500 MG + 65 MG COM EFEV CT STR AL POLIET X 24; NO_ACR
510610202110425; SONRIDOR CAF; SONRIDOR CAF; NOT FOUND; 500 MG + 65 MG COM EFEV CT STR AL POLIET X 10; NO_ACR
510610204131314; SONRIDOR CAF; SONRIDOR CAF; NOT FOUND; 500 MG + 65 MG COM EFEV CT STR AL POLIET X 4; NO_ACR
510610203133313; SONRIDOR CAF; SONRIDOR CAF; NOT FOUND; 500 MG + 65 MG COM EFEV CT STR AL POLIET X 60; NO_ACR
505207801161415; SOLARDRIL; SOLARDRIL; NOT FOUND; 80 MG + 10 MG + 1 MG CREM DERM CT BG AL PLAS INC X 28 G; NO_ACR
505207802176416; SOLARDRIL; SOLARDRIL; NOT FOUND; 80 MG + 10 MG + 1 MG LOC CT FR PLAS OPC X 120 ML; NO_ACR
519507701138417; SEACALCIT; SEACALCIT; NOT FOUND; 200 UI/DOSE SOL NAS CT FR VD INC X 2 ML + NEB; NO_ACR
525504701115318; SINEMET; SINEMET; NOT FOUND; 25 MG + 250 MG COM CT 6 BL AL PLAS INC X 5; NO_ACR
521602102132418; SANGOTONE; SANGOTONE; NOT FOUND; SOLUCAO CX. FR. VD. 500ML; NO_ACR
510006001131410; SOLUÇÃO FISIOLÓGICA NASAL; SOLUCAO FISIOLOGICA NASAL; NOT FOUND; 9 MG/ML SOL NAS CX 50 FR PLAS AMB X 30 ML; NO_ACR
522102001173414; SORUM; SORUM; NOT FOUND; 9 MG/ML SOL NAS CX 50 FR PLAS OPC GOT X 30 ML; NO_ACR
522102002171415; SORUM; SORUM; NOT FOUND; 9 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML; NO_ACR
528102701174416; SORINAN; SORINAN; NOT FOUND; SOL NAS CT FR PLAS OPC X 30 ML; NO_ACR
541312030005104; SUCCITRAT; SUCCITRAT; NOT FOUND; 100 MG PO INJ CT FA; NO_ACR
501805301151410; SUCCITRAT; SUCCITRAT; NOT FOUND; 100 MG PO LIOF INJ CT FA; NO_ACR
541312030005204; SUCCITRAT; SUCCITRAT; NOT FOUND; 500 MG PO INJ CT FA; NO_ACR
501805302158419; SUCCITRAT; SUCCITRAT; NOT FOUND; 500 MG PO LIOF INJ CT FA; NO_ACR
541200101136417; SEDAVAN; SEDAVAN; NOT FOUND; 3 MG/ML XPE CT FR VD AMB X 100 ML; NO_ACR
541200102132415; SEDAVAN; SEDAVAN; NOT FOUND; 6 MG/ML XPE CT FR VD AMB X 100 ML; NO_ACR
507605207118316; STRATTERA; STRATTERA; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 7; NO_ACR
507605206111318; STRATTERA; STRATTERA; NOT FOUND; 18 MG CAP GEL DURA CT BL AL PLAS INC X 7; NO_ACR
507605205115311; STRATTERA; STRATTERA; NOT FOUND; 25 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
507605204119311; STRATTERA; STRATTERA; NOT FOUND; 25 MG CAP GEL DURA CT BL AL PLAS INC X 7; NO_ACR
507605202116315; STRATTERA; STRATTERA; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
507605203112313; STRATTERA; STRATTERA; NOT FOUND; 40 MG CAP GEL DURA CT BL AL PLAS INC X 7; NO_ACR
507605201111311; STRATTERA; STRATTERA; NOT FOUND; 60 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
515102701113416; STILGRIP; STILGRIP; NOT FOUND; 400 MG + 4 MG + 4 MG CAP CT BL AL PLAS INC X 12; NO_ACR
515102705119419; STILGRIP; STILGRIP; NOT FOUND; 400 MG + 4 MG + 4 MG CAP CT BL AL PLAS INC X 120; NO_ACR
515102706115417; STILGRIP; STILGRIP; NOT FOUND; 400MG + 4MG + 4MG CAP CT BL AL PLAS INC X 20; NO_ACR
515102703132418; STILGRIP; STILGRIP; NOT FOUND; 400 MG + 4 MG + 4 MG PO SOL OR CT 50 ENV AL POLIET X 5 G; NO_ACR
505605802151412; SETRONAX; SETRONAX; NOT FOUND; 2 MG/ML SOL INJ CT 5 AMP VD AMB X 2 ML; NO_ACR
505605804152416; SETRONAX; SETRONAX; NOT FOUND; 2 MG/ML SOL INJ CT 5 AMP VD AMB X 4 ML; NO_ACR
507500901111412; SERED; SERED; NOT FOUND; 100 MG COM REV CT BL AL PVC PVDC BRANCO X 10; NO_ACR
507500903114419; SERED; SERED; NOT FOUND; 100 MG COM REV CT BL AL PVC PVDC BRANCO X 14; NO_ACR
507500902118410; SERED; SERED; NOT FOUND; 50 MG COM REV CT BL AL PVC PVDC BRANCO X 10; NO_ACR
