537700601156311; INTRON-A; INTRON A; NOT FOUND; 10 MUI PO LIOF INJ CT 1 FA VD INC + DIL FA VD INC X 1 ML; NO_ACR
513000201131411; IQUEGO - AMOXICILINA; IQUEGO AMOXICILINA; NOT FOUND; 50 MG/ML PO PREP EXTEMP CX 50 FR VD AMB X 80 ML (60 ML APOS RECONSTITUICAO) + DOSADOR; NO_ACR
513004101115417; IQUEGO-AMOXICILINA; IQUEGO AMOXICILINA; NOT FOUND; 500 MG CAP GEL DURA CX BL AL PVC INC X 500; NO_ACR
513000301111412; IQUEGO - AMPICILINA; IQUEGO AMPICILINA; NOT FOUND; 500 MG COM CX 50 ENV AL X 10; NO_ACR
505613110039803; IMURAN; IMURAN; NOT FOUND; 50 MG COM REV CT BL AL PLAS BR OPC X 100; NO_ACR
505612040035714; IMURAN; IMURAN; NOT FOUND; 50 MG COM REV CT BL AL PLAS BR OPC X 50; NO_ACR
513000401173411; IQUEGO - BENZOATO DE BENZILA; IQUEGO BENZOATO BENZILA; NOT FOUND; 250 MG/ML LOC EMUL CX 50 FR VD AMB X 100 ML (EMB HOSP); NO_ACR
511302501158417; IMUNOGLUCAM; IMUNOGLUCAM; NOT FOUND; FR. AMPOLA C/ 5ML; NO_ACR
513002001113416; IQUEGO - HIOSCINA; IQUEGO HIOSCINA; NOT FOUND; 10 MG COM REV CX 50 ENV AL POLIET X 10 (EMB HOSP); NO_ACR
513000501119417; IQUEGO - CAPTOPRIL; IQUEGO CAPTOPRIL; NOT FOUND; 25 MG COM CT ENV PE/AL X 500 (EMB HOSP); NO_ACR
501301101159111; IMIPENEM + CILASTATINA SÓDICA; IMIPENEM CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO INJ CT FR VD INC X 20 ML; NO_ACR
501301102155111; IMIPENEM + CILASTATINA SÓDICA; IMIPENEM CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO INJ CT FR VD INC X 20 ML + BOLS FLEXIVEL X 100 ML; NO_ACR
501301103151118; IMIPENEM + CILASTATINA SÓDICA; IMIPENEM CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML; NO_ACR
501301104158116; IMIPENEM + CILASTATINA SÓDICA; IMIPENEM CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO INJ CX 10 FR VD INC X 20 ML + 10 BOLS FLEXIVEL X 100 ML; NO_ACR
501301105154114; IMIPENEM + CILASTATINA SÓDICA; IMIPENEM CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO INJ CX 25 FR VD INC X 20 ML; NO_ACR
505609701153110; IMIPENÉM MONOIDRATADO + CILASTATINA SÓDICA; IMIPENEM MONOIDRATADO CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 1 FA VD INC; NO_ACR
505609702151111; IMIPENÉM MONOIDRATADO + CILASTATINA SÓDICA; IMIPENEM MONOIDRATADO CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 1 FA VD INC + 1 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR; NO_ACR
505609703156117; IMIPENÉM MONOIDRATADO + CILASTATINA SÓDICA; IMIPENEM MONOIDRATADO CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 10 FA VD INC; NO_ACR
505609704152115; IMIPENÉM MONOIDRATADO + CILASTATINA SÓDICA; IMIPENEM MONOIDRATADO CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 10 FA VD INC + 10 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR; NO_ACR
505609705159113; IMIPENÉM MONOIDRATADO + CILASTATINA SÓDICA; IMIPENEM MONOIDRATADO CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 25 FA VD INC; NO_ACR
505609706155111; IMIPENÉM MONOIDRATADO + CILASTATINA SÓDICA; IMIPENEM MONOIDRATADO CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 25 FA VD INC + 25 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR; NO_ACR
505609707151111; IMIPENÉM MONOIDRATADO + CILASTATINA SÓDICA; IMIPENEM MONOIDRATADO CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 5 FA VD INC; NO_ACR
505609708158118; IMIPENÉM MONOIDRATADO + CILASTATINA SÓDICA; IMIPENEM MONOIDRATADO CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 5 FA VD INC + 5 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR; NO_ACR
505609709154116; IMIPENÉM MONOIDRATADO + CILASTATINA SÓDICA; IMIPENEM MONOIDRATADO CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 50 FA VD INC; NO_ACR
505609710152113; IMIPENÉM MONOIDRATADO + CILASTATINA SÓDICA; IMIPENEM MONOIDRATADO CILASTATINA SODICA; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 50 FA VD INC + 50 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR; NO_ACR
505609801158416; IMISTAT 500; IMISTAT 500; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 50 FA VD INC + 50 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR; NO_ACR
505609802154414; IMISTAT 500; IMISTAT 500; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 25 FA VD INC + 25 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR; NO_ACR
505609803150412; IMISTAT 500; IMISTAT 500; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 10 FA VD INC + 10 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR; NO_ACR
505609804157410; IMISTAT 500; IMISTAT 500; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 5 FA VD INC + 5 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR; NO_ACR
505609805153419; IMISTAT 500; IMISTAT 500; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 1 FA VD INC + 1 BOLS PVC TRANS SIST FECH X 100 ML + CONECTOR; NO_ACR
505609806151411; IMISTAT 500; IMISTAT 500; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 50 FA VD INC; NO_ACR
505609807156415; IMISTAT 500; IMISTAT 500; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 25 FA VD INC; NO_ACR
505609808152413; IMISTAT 500; IMISTAT 500; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 5 FA VD INC; NO_ACR
505609809159411; IMISTAT 500; IMISTAT 500; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 1 FA VD INC; NO_ACR
505609810157419; IMISTAT 500; IMISTAT 500; NOT FOUND; 500 MG + 500 MG PO SOL INJ IV CT 10 FA VD INC; NO_ACR
513000601113410; IQUEGO - CLORIDRATO DE CLORPROMAZINA; IQUEGO CLORIDRATO CLORPROMAZINA; NOT FOUND; 100 MG COM CT 20 ENV AL POLIET X 10; NO_ACR
