522101202167413; METADEX; METADEX; NOT FOUND; 1 MG/G CREM CT BG AL X 10 G; NO_ACR
505205601114417; MEMORIOGLUTAN; MEMORIOGLUTAN; NOT FOUND; FR 50 DRG; NO_ACR
519703901111415; MULTIVITAM; MULTIVITAM; NOT FOUND; CX. C/50 FRX30 COMP; NO_ACR
519703902116410; MULTIVITAM; MULTIVITAM; NOT FOUND; COM REV CX 25 FR PLAS OPC X 30; NO_ACR
501804701156411; MINOTON; MINOTON; NOT FOUND; 24 MG/ML SOL INJ CX 100 AMP X 10 ML; NO_ACR
541312030007303; MINOTON; MINOTON; NOT FOUND; 24 MG/ML SOL INJ CX 100 AMP X 10 ML; NO_ACR
522712120029704; MORFEGIX; MORFEGIX; NOT FOUND; 100 MG PO LIOF INJ IV CT FA VD TRANS (EMB HOSP) ; NO_ACR
522712120029804; MORFEGIX; MORFEGIX; NOT FOUND; 100 MG PO LIOF INJ IV CT 2 FA VD TRANS (EMB HOSP); NO_ACR
522712120029904; MORFEGIX; MORFEGIX; NOT FOUND; 100 MG PO LIOF INJ IV CT 15 FA VD TRANS (EMB HOSP); NO_ACR
525501401110219; MAXALT; MAXALT; NOT FOUND; 10 MG COM REV CT BL AL AL X 2; NO_ACR
525501403113215; MAXALT; MAXALT; NOT FOUND; 5 MG COM REV CT BL AL/AL X 2; NO_ACR
516301202174411; MALVONA; MALVONA; NOT FOUND; 0.2 MG /ML+ 60 MG /ML+ 1 MG/ML SOL TOP CT FR VD AMB X 100 ML; NO_ACR
516301201178411; MALVONA; MALVONA; NOT FOUND; 0.2 MG/ML + 60 MG/ML + 1 MG/ML SOL TOP CT FR VD AMB X 200 ML; NO_ACR
516300805134421; MALVATRICIN; MALVATRICIN; NOT FOUND; SOLUCAO - 0.3MG/ML+10MG/ML SOL OR FR VD INC X 100ML; NO_ACR
516300803115428; MALVATRICIN; MALVATRICIN; NOT FOUND; PASTILHAS - 1.0MG/G+0.7MG/G+5.0MG/G PAST CT 3 STR AL X 4 (MENTOL); NO_ACR
516300807171411; MALVATRICIN; MALVATRICIN; NOT FOUND; 0.1 MG / ML + 1 MG / ML SOL TOP FR PLAS VERDE (PET) X 250 ML; NO_ACR
516300806130428; MALVATRICIN; MALVATRICIN; NOT FOUND; SPRAY - 1MG/ML+2MG/ML+4MG/ML SOL OR FR VD INC SPRAY X 50ML; NO_ACR
516300801163425; MALVATRICIN; MALVATRICIN; NOT FOUND; GEL - CT BG PLAS OPC X 50G; NO_ACR
521126901133119; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR PET AMB X 120 ML + CP MED; NO_ACR
522709802113415; MAGNÉSIA BISURADA; MAGNESIA BISURADA; NOT FOUND; 63.70 MG + 521.0 MG + 67.0 MG + 3.30 MG PAST CT BL AL PLAS INC X 200; NO_ACR
522709801117417; MAGNÉSIA BISURADA; MAGNESIA BISURADA; NOT FOUND; 63.70 MG + 521.0 MG + 67.0 MG + 3.30 MG PAST CT BL AL PLAS INC X 40; NO_ACR
510605101115311; MYLERAN; MYLERAN; NOT FOUND; 2 MG COM REV CT FR VD AMB X 25; NO_ACR
515101501110423; MAXIDRIN; MAXIDRIN; NOT FOUND; 500MG COMP REV 3 BL AL X 4; NO_ACR
515101502117421; MAXIDRIN; MAXIDRIN; NOT FOUND; 500MG COMP REV 30 BL AL X 4; NO_ACR
540912100007113; MELHORAL; MELHORAL; NOT FOUND; 500 MG  + 30 MG COM DISP BL AL PLAS TRANS X 200 (EMB MULT) ; NO_ACR
521124301112416; MAXAPRAN; MAXAPRAN; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
521124302119414; MAXAPRAN; MAXAPRAN; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 28; NO_ACR
521114030060203; MAXAPRAN; MAXAPRAN; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 60; NO_ACR
521124303115412; MAXAPRAN; MAXAPRAN; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 7; NO_ACR
528600701151411; MEPIVALEM AD; MEPIVALEM AD; NOT FOUND; 2 PCC + 10 MCG/ML SOL INJ LT 50 CARPULES PLAS TRANS X 1.8 ML; NO_ACR
525504601110314; MODURETIC; MODURETIC; NOT FOUND; 25 MG + 2.5 MG COM CT BL AL PLAS INC X 30 ; NO_ACR
525504602117312; MODURETIC; MODURETIC; NOT FOUND; 50 MG + 5 MG COM CT BL AL PLAS INC X 30; NO_ACR
521110001111414; MIODARON; MIODARON; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; NO_ACR
516312030002503; MALVATRICIN; MALVATRICIN; NOT FOUND; 1.0 MG/G + 0.7 MG/G + 5.0 MG/G PAS CT STR AL X 8 (MENTOL); NO_ACR
519513040020214; MIMPARA; MIMPARA; NOT FOUND; 30MG COM REV CT FR PLAS OPC X 30 ; NO_ACR
519513040020314; MIMPARA; MIMPARA; NOT FOUND; 60MG COM REV CT FR PLAS OPC X 30  ; NO_ACR
519513040020414; MIMPARA; MIMPARA; NOT FOUND; 90MG COM REV CT FR PLAS OPC X 30  ; NO_ACR
522713120030904; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVC TRANS X 10; NO_ACR
522714030038303; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVDC 250/120 TRANS X 10; NO_ACR
522714030038703; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVDC 250/40 TRANS  X 10; NO_ACR
522713120031004; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVC TRANS X 20; NO_ACR
522714030038403; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVC 250/120 TRANS  X 20; NO_ACR
522714030038803; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVDC 250/40 TRANS X 20; NO_ACR
522713120031104; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVC TRANS X 30; NO_ACR
522714030038503; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVDC 250/120 TRANS  X 30; NO_ACR
522714030038903; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVDC 250/40 TRANS X 30; NO_ACR
522713120031204; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVC TRANS X 60; NO_ACR
522714030038603; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVDC 250/120 TRANS  X 60 ; NO_ACR
522714030039003; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVDC 250/40 TRANS X 60; NO_ACR
528600901159416; MEPIVALEM SV; MEPIVALEM SV; NOT FOUND; 3% SOL INJ CT 50 CARPULES PLAS TRANS X 1.8 ML; NO_ACR
507201201150414; MEPISV; MEPISV; NOT FOUND; CAIXA COM 50 TUBETES; NO_ACR
507200401156418; MEPIADRE; MEPIADRE; NOT FOUND; 20MG/ML+10MCG/ML SOL INJ CT BL 50 CARP VD INC X 1.8 ML (EMB. HOSP.); NO_ACR
507200601155415; MEPINOR; MEPINOR; NOT FOUND; 20 MG/ML + 18 MCG/ML SOL INJ CT 50 CARP VD INC X 1.8 ML; NO_ACR
530401401115319; MONOTREAN; MONOTREAN; NOT FOUND; 100 MG + 40 MG DRG CT 3 BL AL PLAST INC X 10; NO_ACR
507200501150411; MEPI-LEVO; MEPI LEVO; NOT FOUND; 20 MG + 50 MG SOL INJ CART 5 BL 10 CAP VD INC X 1.8 ML; NO_ACR
527302201118311; MICRODIOL; MICRODIOL; NOT FOUND; 0.15 MG + 0.03 MG COM CT BL AL PLAS INC X 21; NO_ACR
527302101113413; MERCILON; MERCILON; NOT FOUND; 0.15MG + 0.02MG COM CT BL AL PLAS INC X 21; NO_ACR
527302102111414; MERCILON; MERCILON; NOT FOUND; 0.15 MG + 0.02 MG COM CT BL AL PLAS INC X 63; NO_ACR
527303801119315; MERCILON CONTI; MERCILON CONTI; NOT FOUND; 150/20MCG 21 COM REV + 0/0MCG 2 COM REV + 0/10MCG 5 COM REV CT ENV AL X BL AL PVC X 28; NO_ACR
540912100007614; MERTHIOLATE; MERTHIOLATE; NOT FOUND; 10 MG/ML SOL TOP AQUO CT FR VD AMB X 30 ML; NO_ACR
540912100007514; MERTHIOLATE; MERTHIOLATE; NOT FOUND; 10 MG/ML SOL TOP AQUO CT FR PLAS OPC X 30 ML; NO_ACR
540912100007714; MERTHIOLATE; MERTHIOLATE; NOT FOUND; 10 MG/ML SOL TOP AQUO FR PLAS OPC SPRAY X 45 ML; NO_ACR
514800301139410; MILAX; MILAX; NOT FOUND; 80 MG/ML + 80 MG/ML + 6 MG/ML SUS OR CT FR PLAS OPC X 240 ML; NO_ACR
540913020009213; MAGNOPYROL; MAGNOPYROL; NOT FOUND; 300 MG SUP CT STR X 5; NO_ACR
540913020009103; MAGNOPYROL; MAGNOPYROL; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML; NO_ACR
540912100007314; MIRADOR; MIRADOR; NOT FOUND; 500 MG COM BL AL PLAS INC X 150 (EMB MULT); NO_ACR
540913020009303; MAGNOPYROL; MAGNOPYROL; NOT FOUND; 500 MG COM CT 50 BL AL PLAS AMB X 04; NO_ACR
540913020009613; MAGNOPYROL; MAGNOPYROL; NOT FOUND; 500 MG COM CT 25 BL AL PLAS AMB X 08; NO_ACR
540912100007414; MIRADOR; MIRADOR; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC X 10 ML; NO_ACR
540913020009413; MAGNOPYROL; MAGNOPYROL; NOT FOUND; 500 MG/ML  SOL OR CT FR PLAS OPC GOT X 10 ML; NO_ACR
540912030005004; MIRADOR; MIRADOR; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; NO_ACR
