505208501110414; ULCITRAT; ULCITRAT; NOT FOUND; 200 MG COM REV CT 2 BL AL PLAS INC X 10; NO_ACR
505208502117412; ULCITRAT; ULCITRAT; NOT FOUND; CIMETIDINA 400 MG CX 16 COMP; NO_ACR
503600402114410; UROVIT; UROVIT; NOT FOUND; 100 MG DRG CT BL AL PLAS INC X 25; NO_ACR
503600401118412; UROVIT; UROVIT; NOT FOUND; 200 MG DRG CT BL AL PLAS INC X 18; NO_ACR
510608301158211; ULTIVA; ULTIVA; NOT FOUND; 1 MG PO LIOF INJ CT 5 FA VD INC; NO_ACR
510608302154211; ULTIVA; ULTIVA; NOT FOUND; 2 MG PO LIOF INJ CT 5 FA VD INC; NO_ACR
510608303150218; ULTIVA; ULTIVA; NOT FOUND; 5 MG PO LIOF INJ CT 5 FA VD INC; NO_ACR
505208601115418; UROXAZOL; UROXAZOL; NOT FOUND; 400 MG COM CT FR VD AMB X 14; NO_ACR
513902401118412; ULCECAPS; ULCECAPS; NOT FOUND;  10 MG CAP GEL DURA CT FR PLAS OPC X 14; NO_ACR
513902402114410; ULCECAPS; ULCECAPS; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 14; NO_ACR
513902403110419; ULCECAPS; ULCECAPS; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 7; NO_ACR
513902404117417; ULCECAPS; ULCECAPS; NOT FOUND;  40 MG CAP GEL DURA CT FR PLAS OPC X 7; NO_ACR
