70079; OFLOXACINO MG ; OFLOXACINO; OFLOXACINO; SOLN OFTAL 0.30 % 5 ML x 1; GM2
80412; OLANZAPINA MG ; OLANZAPINA; OLANZAPINA; CPR REVEST 10 MG x 28; GM2
80410; OLANZAPINA MG ; OLANZAPINA; OLANZAPINA; CPR REVEST 2.50 MG x 28; GM2
80411; OLANZAPINA MG ; OLANZAPINA; OLANZAPINA; CPR REVEST 5 MG x 28; GM2
83425; OLAZOFREN ; OLAZOFREN; NOT FOUND; CPR REVEST 10 MG x 28; GM2
83418; OLAZOFREN ; OLAZOFREN; NOT FOUND; CPR REVEST 2.50 MG x 28; GM2
83423; OLAZOFREN ; OLAZOFREN; NOT FOUND; CPR REVEST 5 MG x 28; GM2
64002; OMEPRAZOL MG ; OMEPRAZOL; OMEPRAZOL; CAPS 10 MG x 14; GM2
64005; OMEPRAZOL MG ; OMEPRAZOL; OMEPRAZOL; CAPS 20 MG x 14; GM2
64003; OMEPRAZOL MG ; OMEPRAZOL; OMEPRAZOL; CAPS 20 MG x 28; GM2
64004; OMEPRAZOL MG ; OMEPRAZOL; OMEPRAZOL; CAPS 20 MG x 7; GM2
64006; OMEPRAZOL MG ; OMEPRAZOL; OMEPRAZOL; CAPS 40 MG x 7; GM2
130434; ONICORYL ; ONICORYL; NOT FOUND; E10E+30C+30L 50 MG 2.50 ML x 1 (/ML); GM2
103025; ORLISTATE MG ; ORLISTATE; ORLISTATE; CAPS 120 MG x 42; GM2
103026; ORLISTATE MG ; ORLISTATE; ORLISTATE; CAPS 120 MG x 84; GM2
96898; OX ESCITALOPRAM MG ; OX ESCITALOPRAM; NOT FOUND; CPR REVEST 10 MG x 30; GM2
96900; OX ESCITALOPRAM MG ; OX ESCITALOPRAM; NOT FOUND; CPR REVEST 10 MG x 60; GM2
154102; OX ESCITALOPRAM MG ; OX ESCITALOPRAM; NOT FOUND; CPR REVEST 15 MG x 30; GM2
96903; OX ESCITALOPRAM MG ; OX ESCITALOPRAM; NOT FOUND; CPR REVEST 20 MG x 30; GM2
