158181; CAND CILE+HIDRO MG ; CAND CILE HIDRO; NOT FOUND; CPR 16 MG x 30 (/12.); GM2
158180; CAND CILE+HIDRO MG ; CAND CILE HIDRO; NOT FOUND; CPR 8 MG x 30 (/12.); GM2
137509; CANDEMED ; CANDEMED; NOT FOUND; CPR 16 MG x 30; GM2
137009; CANDEMED ; CANDEMED; NOT FOUND; CPR 8 MG x 30; GM2
144147; CANDESARTA CILE MG ; CANDESARTA CILE; CANDESARTANA CILEXETILA; CPR 16 MG x 30; GM2
142007; CANDESARTA CILE MG ; CANDESARTA CILE; CANDESARTANA CILEXETILA; CPR 8 MG x 30; GM2
63985; CAPTOP+HIDROCLO.MG ; CAPTOP HIDROCLO; NOT FOUND; CPR 50 MG x 30 (/25); GM2
62960; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 12.5 MG x 30; GM2
62961; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 30; GM2
67957; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 30; GM2
66097; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR 200 MG x 20; GM2
66098; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR 400 MG x 20; GM2
155032; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR LIB PROL 400 MG x 20; GM2
66685; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; GOTAS 50 MG 20 ML x 1 (/ML); GM2
69830; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; XPE ADLT 50 MG 100 ML x 1 (/ML); GM2
103003; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 12.5 MG x 30; GM2
103002; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 12.5 MG x 60; GM2
103001; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 25 MG x 30; GM2
103000; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 25 MG x 60; GM2
103005; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 3.12 MG x 30; GM2
103004; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 3.12 MG x 60; GM2
102495; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 6.25 MG x 30; GM2
103006; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 6.25 MG x 60; GM2
66101; CEFACLOR MG ; CEFACLOR; CEFACLOR; CAPS 500 MG x 10; GM2
69553; CEFACLOR MG ; CEFACLOR; CEFACLOR; SUSP 250 MG 100 ML x 1 (/5ML); GM2
66099; CEFACLOR MG ; CEFACLOR; CEFACLOR; SUSP 250 MG 80 ML x 1 (/5ML); GM2
69552; CEFACLOR MG ; CEFACLOR; CEFACLOR; SUSP 375 MG 100 ML x 1 (/5ML); GM2
66100; CEFACLOR MG ; CEFACLOR; CEFACLOR; SUSP 375 MG 80 ML x 1 (/5ML); GM2
68187; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CPR REVEST 1 G x 8; GM2
69424; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CPR REVEST 500 MG x 8; GM2
68520; CET+D.BET+S.NEO MG ; CET D BET S NEO; NOT FOUND; CREME 30 G x 1; GM2
68521; CET+D.BET+S.NEO MG ; CET D BET S NEO; NOT FOUND; POM. 30 G x 1; GM2
69835; CETO+DIP BETAME MG ; CETO DIP BETAME; NOT FOUND; CREME 30 G x 1; GM2
70209; CETOCONAZOL CRE.MG ; CETOCONAZOL CRE; NOT FOUND; CREME 20 MG 30 G x 1 (/G); GM2
68207; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CPR 200 MG x 10; GM2
68897; CETOPROFENO MG ; CETOPROFENO; CETOPROFENO; GEL. 25 MG 30 G x 1 (/G); GM2
69991; CETORO.TROMETAM.MG ; CETORO TROMETAM; NOT FOUND; CPR SL 10 MG x 10; GM2
76178; CICLOPIROX OLAM.MG ; CICLOPIROX OLAM; CICLOPIROX OLAMINA; SOLN TOP. 10 MG 15 ML x 1; GM2
69428; CICLOSPORINA MG ; CICLOSPORINA; CICLOSPORINA; CAPS 100 MG x 50; GM2
69426; CICLOSPORINA MG ; CICLOSPORINA; CICLOSPORINA; CAPS 25 MG x 50; GM2
69427; CICLOSPORINA MG ; CICLOSPORINA; CICLOSPORINA; CAPS 50 MG x 50; GM2
74640; CIPROFL+DEXAMET MG ; CIPROFL DEXAMET; NOT FOUND; SOLN OFTAL 5 ML x 1; GM2
77946; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 100 MG x 4; GM2
77941; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 25 MG x 4; GM2
77942; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 1; GM2
77943; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 2; GM2
77944; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 4; GM2
77945; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 8; GM2
76181; CLAQUINONA ; CLAQUINONA; NOT FOUND; CREME 40 MG 30 G x 1 (/G); GM2
76180; CLAQUINONA ; CLAQUINONA; NOT FOUND; GEL. 40 MG 30 G x 1 (/G); GM2
71254; CLO CLINDAMICIN MG ; CLO CLINDAMICIN; CLORIDRATO CLINDAMICINA; CAPS 300 MG x 16; GM2
76642; CLO DOR+MAL TIM MG ; CLO DOR MAL TIM; NOT FOUND; SOLN OFTAL 5 ML x 1; GM2
76119; CLO DORZOLAMIDA MG ; CLO DORZOLAMIDA; CLORIDRATO DORZOLAMIDA; SOLN OFTAL 20 MG 5 ML x 1 (/ML; GM2
63990; CLO DOXICICLINA MG ; CLO DOXICICLINA; CLORIDRATO DOXICICLINA; CPR REVEST 100 MG x 15; GM2
78727; CLO HIDROXIZINA MG ; CLO HIDROXIZINA; NOT FOUND; CPR 25 MG x 30; GM2
76974; CLO HIDROXIZINA MG ; CLO HIDROXIZINA; NOT FOUND; SOLN ORAL 120 ML x 1; GM2
95425; CLO PIOGLITAZO MG ; CLO PIOGLITAZO; CLORIDRATO PIOGLITAZONA; CPR 15 MG x 15; GM2
95426; CLO PIOGLITAZO MG ; CLO PIOGLITAZO; CLORIDRATO PIOGLITAZONA; CPR 30 MG x 15; GM2
95427; CLO PIOGLITAZO MG ; CLO PIOGLITAZO; CLORIDRATO PIOGLITAZONA; CPR 45 MG x 15; GM2
66175; CLO PROPRANOLOL MG ; CLO PROPRANOLOL; CLORIDRATO PROPRANOLOL; CPR 10 MG x 30; GM2
63987; CLO PROPRANOLOL MG ; CLO PROPRANOLOL; CLORIDRATO PROPRANOLOL; CPR 10 MG x 60; GM2
66176; CLO PROPRANOLOL MG ; CLO PROPRANOLOL; CLORIDRATO PROPRANOLOL; CPR 40 MG x 30; GM2
