71517; RAMIPRIL+HCT MG ; RAMIPRIL HCT; NOT FOUND; CPR 5 MG x 30 (/25); GM2
81118; REPAGLINIDA MG ; REPAGLINIDA; REPAGLINIDA; CPR 2 MG x 30; GM2
66787; RIFAMICINA MG ; RIFAMICINA; RIFAMICINA; SPRAY 10 MG 20 ML x 1; GM2
76997; RISEDRONATO SOD.MG ; RISEDRONATO SOD; RISEDRONATO SODICO; CPR REVEST 35 MG x 4; GM2
77079; RISONATO ; RISONATO; NOT FOUND; CPR REVEST 35 MG x 2; GM2
77080; RISONATO ; RISONATO; NOT FOUND; CPR REVEST 35 MG x 4; GM2
72299; RISPERIDONA MG ; RISPERIDONA; RISPERIDONA; SOLN ORAL 1 MG 30 ML x 1 (/ML); GM2
80662; ROSTATIN ; ROSTATIN; NOT FOUND; CPR REVEST 10 MG x 30; GM2
80414; ROSTATIN ; ROSTATIN; NOT FOUND; CPR REVEST 20 MG x 30; GM2
115548; ROSTATIN ; ROSTATIN; NOT FOUND; CPR REVEST 5 MG x 60; GM2
80415; ROSUVASTATI CAL MG ; ROSUVASTATI CAL; NOT FOUND; CPR REVEST 10 MG x 30; GM2
80416; ROSUVASTATI CAL MG ; ROSUVASTATI CAL; NOT FOUND; CPR REVEST 20 MG x 30; GM2
