61382, CALAMED , CALAMED, NOT FOUND, AERO 120 ML x 1, CM5
137015, CALAMED , CALAMED, NOT FOUND, AERO 300 ML x 1, CM5
66595, CALAMED , CALAMED, NOT FOUND, CREME 28 G x 1, CM5
61383, CALAMED , CALAMED, NOT FOUND, LOC. 100 ML x 1, CM5
68558, CALAMED , CALAMED, NOT FOUND, LOCAO KIDS 100 ML x 1, CM5
134259, CALMYNN , CALMYNN, NOT FOUND, SUS MARACUJA 120 ML x 1, CM5
74152, CAPTOMED , CAPTOMED, NOT FOUND, CPR 12.5 MG x 1000, CM5
55423, CAPTOMED , CAPTOMED, NOT FOUND, CPR 12.5 MG x 20, CM5
55424, CAPTOMED , CAPTOMED, NOT FOUND, CPR 25 MG x 20, CM5
67806, CAPTOMED , CAPTOMED, NOT FOUND, CPR 25 MG x 500, CM5
68031, CAPTOMED , CAPTOMED, NOT FOUND, CPR 25 MG x 60, CM5
55425, CAPTOMED , CAPTOMED, NOT FOUND, CPR 50 MG x 20, CM5
79951, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 25 MG x 30, CM5
79952, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 25 MG x 60, CM5
64165, CARBOCIN , CARBOCIN, NOT FOUND, XAR. AD 250 MG 100 ML x 1 (/5ML), CM5
64166, CARBOCIN , CARBOCIN, NOT FOUND, XAR. PED. 100 MG 100 ML x 1 (/5ML), CM5
57849, CARBOCISTEINA MG , CARBOCISTEINA, CARBOCISTEINA, XAR. AD 250 MG 100 ML x 1 (/5ML), CM5
57848, CARBOCISTEINA MG , CARBOCISTEINA, CARBOCISTEINA, XAR. PED. 100 MG 100 ML x 1 (/5ML, CM5
61384, CEFACIMED , CEFACIMED, NOT FOUND, CAPS 500 MG x 8, CM5
71385, CEFACIMED , CEFACIMED, NOT FOUND, SUSP 250 MG 100 ML x 1 (/5ML), CM5
73409, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CAPS 500 MG x 8, CM5
140504, CET+D.BET+S.NEO MG , CET D BET S NEO, NOT FOUND, CREME DERM 30 G x 1, CM5
68824, CETOCONAZOL MG , CETOCONAZOL, CETOCONAZOL, CREME 20 MG 30 G x 1 (/G), CM5
71770, CETOCONAZOL MG , CETOCONAZOL, CETOCONAZOL, XAMP 20 MG 100 ML x 1 (/ML), CM5
53967, CETOMED , CETOMED, NOT FOUND, CPR 200 MG x 10, CM5
57342, CETOMED , CETOMED, NOT FOUND, CPR 200 MG x 30, CM5
143543, CICATRIMED , CICATRIMED, NOT FOUND, CREME 60 G x 1, CM5
148472, CICATRIMED , CICATRIMED, NOT FOUND, GEL HID UMEC 30 G x 1, CM5
77456, CICONAZOL , CICONAZOL, NOT FOUND, CREME 20 MG 28 G x 1 (/G), CM5
55648, CICONAZOL , CICONAZOL, NOT FOUND, LOC. 2 % 30 ML x 1, CM5
55608, CIFLOGEX , CIFLOGEX, NOT FOUND, GEL. 30 MG 60 G x 1 (/G), CM5
56394, CIFLOGEX , CIFLOGEX, NOT FOUND, PAST CEREJA x 12, CM5
56395, CIFLOGEX , CIFLOGEX, NOT FOUND, PAST LARANJA x 12, CM5
56396, CIFLOGEX , CIFLOGEX, NOT FOUND, PAST MEL LIM x 12, CM5
56691, CIFLOGEX , CIFLOGEX, NOT FOUND, PAST MEN/LIM x 12, CM5
80929, CIFLOGEX , CIFLOGEX, NOT FOUND, PAST MISTA 3 MG x 180, CM5
71505, CIFLOGEX , CIFLOGEX, NOT FOUND, PAST MISTA 3 MG x 320, CM5
62132, CIFLOGEX , CIFLOGEX, NOT FOUND, PAST.D.M/LIM x 12, CM5
61385, CIFLOGEX , CIFLOGEX, NOT FOUND, SPRAY MEL 30 ML x 1, CM5
55371, CIFLOGEX , CIFLOGEX, NOT FOUND, SPRAY MENTA 100 ML x 1, CM5
61386, CIFLOGEX , CIFLOGEX, NOT FOUND, SPRAY MENTA 30 ML x 1, CM5
72696, CIMECORT , CIMECORT, NOT FOUND, CREME 15 G x 1, CM5
