77757, AC DEXAMETASONA MG , AC DEXAMETASONA, ACETATO DEXAMETASONA, CREME. 1 MG 10 G x 1 (/G), CM5
71837, AC.ACETIL-SALIC MG , AC ACETIL SALIC, NOT FOUND, CPR 100 MG x 200, CM5
71838, AC.ACETIL-SALIC MG , AC ACETIL SALIC, NOT FOUND, CPR 500 MG x 100, CM5
76682, ACEBROFILINA MG , ACEBROFILINA, ACEBROFILINA, XAR. AD 50 MG 120 ML x 1 (/5ML), CM5
76683, ACEBROFILINA MG , ACEBROFILINA, ACEBROFILINA, XAR. PED. 25 MG 120 ML x 1 (/5ML), CM5
55581, ACICLOMED , ACICLOMED, NOT FOUND, CREME 50 MG 10 G x 1 (/G), CM5
69085, ACICLOVIR MG , ACICLOVIR, ACICLOVIR, CREME 50 MG 10 G x 1 (/G), CM5
73801, ACNEZIL , ACNEZIL, NOT FOUND, GEL BASE 10 % 10 G x 12, CM5
136010, ACNEZIL , ACNEZIL, NOT FOUND, GEL LIMP 100 G x 1, CM5
154141, ACNEZIL , ACNEZIL, NOT FOUND, GEL SECATIVO 10 G x 1, CM5
72507, ACNEZIL , ACNEZIL, NOT FOUND, GEL. 0.50 % 20 G x 1, CM5
150169, ACNEZIL , ACNEZIL, NOT FOUND, K GL+LA+GS x 1, CM5
144157, ACNEZIL , ACNEZIL, NOT FOUND, LOC ADSTRING 200 ML x 1, CM5
154140, ACNEZIL , ACNEZIL, NOT FOUND, SAB LIQ FAC 200 ML x 1, CM5
157029, ACTIVE UP , ACTIVE UP, NOT FOUND, DRAG x 90, CM5
157030, ACTIVE UP MULHER , ACTIVE UP MULHER, NOT FOUND, DRAG x 90, CM5
74526, ALEGRE AH , ALEGRE AH, NOT FOUND, LIQ MENTA 250 ML x 1, CM5
74528, ALEGRE AH , ALEGRE AH, NOT FOUND, LIQD MORANGO 250 ML x 1, CM5
74527, ALEGRE AH , ALEGRE AH, NOT FOUND, LIQD TUT-FRU 250 ML x 1, CM5
78509, ALERGOMINE , ALERGOMINE, NOT FOUND, CREME. 10 MG 30 G x 1 (/G), CM5
78508, ALERGOMINE , ALERGOMINE, NOT FOUND, SOLN ORAL 2 MG 120 ML x 1 (/5ML), CM5
50400, ALGEXIN , ALGEXIN, NOT FOUND, DRAG 10 MG x 10, CM5
60130, ALGEXIN COMPOSTO , ALGEXIN COMPOSTO, NOT FOUND, GOTAS 15 ML x 1, CM5
160468, ALIVPRESS , ALIVPRESS, NOT FOUND, CPR 10 MG x 30, CM5
160469, ALIVPRESS , ALIVPRESS, NOT FOUND, CPR 5 MG x 30, CM5
55507, AMBEZETAL , AMBEZETAL, NOT FOUND, CAPS 500 MG x 12, CM5
64263, AMBROXMEL , AMBROXMEL, NOT FOUND, XAR. AD 30 MG 120 ML x 1 (/5ML), CM5
64264, AMBROXMEL , AMBROXMEL, NOT FOUND, XAR. PED. 15 MG 120 ML x 1 (/5ML), CM5
72965, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21, CM5
72964, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, PO P/SUSP 250 MG 150 ML x 1 (/5ML), CM5
101684, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, PO P/SUSP 50 MG 60 ML x 1 (/ML), CM5
72963, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, PO P/SUSP 500 MG 150 ML x 1 (/5ML), CM5
60135, AMOXIMED , AMOXIMED, NOT FOUND, CAPS 500 MG x 21, CM5
56086, AMOXIMED , AMOXIMED, NOT FOUND, SUSP ORAL 250 MG 150 ML x 1 (/5ML), CM5
61380, AMOXIMED , AMOXIMED, NOT FOUND, SUSP ORAL 500 MG 150 ML x 1 (/5ML), CM5
118292, AMPLAVIT , AMPLAVIT, NOT FOUND, CAPS HAIR x 30, CM5
125024, AMPLAVIT , AMPLAVIT, NOT FOUND, CPR SENIOR x 60, CM5
55588, AMPLAVIT , AMPLAVIT, NOT FOUND, DRAG SPORT x 30, CM5
103501, AMPLAVIT , AMPLAVIT, NOT FOUND, DRAG CALCI+D x 60, CM5
103498, AMPLAVIT , AMPLAVIT, NOT FOUND, DRAG MULHER x 60, CM5
97430, AMPLAVIT , AMPLAVIT, NOT FOUND, DRAG x 60, CM5
85500, APMED , APMED, NOT FOUND, CPR MAST x 60, CM5
62061, APMED , APMED, NOT FOUND, XAR. 240 ML x 1, CM5
73517, ARNICA , ARNICA, NOT FOUND, CREME MENTOL 60 G x 1, CM5
73650, ARNICA , ARNICA, NOT FOUND, OLEO 120 ML x 1, CM5
61470, AZIMED , AZIMED, NOT FOUND, CAPS 500 MG x 3, CM5
66164, AZIMED , AZIMED, NOT FOUND, CAPS 500 MG x 5, CM5
66165, AZIMED , AZIMED, NOT FOUND, PO P/SUSP 600 MG 15 ML x 1, CM5
61471, AZIMED , AZIMED, NOT FOUND, PO P/SUSP 900 MG 22.5 ML x 1, CM5
106100, AZIOL , AZIOL, NOT FOUND, SUSP ORAL ME 60 MG 240 ML x 1 (/ML), CM5
