68664, DERMAFEME , DERMAFEME, NOT FOUND, GEL LUB-FIK 25 G x 1, CM5
74646, DERMAFEME , DERMAFEME, NOT FOUND, GEL LUB-FIK 50 G x 1, CM5
112742, DERMAFEME , DERMAFEME, NOT FOUND, KIT S I L2P1 400 ML x 2, CM5
67173, DERMAFEME , DERMAFEME, NOT FOUND, LI HOT L-FIK 30 ML x 1, CM5
75745, DERMAFEME , DERMAFEME, NOT FOUND, LIQ SENSITIV 200 ML x 1, CM5
75746, DERMAFEME , DERMAFEME, NOT FOUND, LIQ TEEN 200 ML x 1, CM5
72110, DERMAFEME , DERMAFEME, NOT FOUND, LIQD 200 ML x 1, CM5
64630, DEXMINE , DEXMINE, NOT FOUND, CPR x 20, CM5
64631, DEXMINE , DEXMINE, NOT FOUND, XAR. 120 ML x 1, CM5
63730, DIAD , DIAD, NOT FOUND, CPR 0.75 MG x 2, CM5
131027, DICLOF.RESINATO MG , DICLOF RESINATO, NOT FOUND, GOTAS 15 MG 20 ML x 1 (/ML), CM5
69934, DICLOFEN.DIETIL.MG , DICLOFEN DIETIL, DICLOFENACO DIETILAMONIO, GEL. 1 % 60 G x 1, CM5
50430, DILTIN , DILTIN, NOT FOUND, GOTAS 7.50 MG 20 ML x 1 (/ML), CM5
75748, DIP.BET+SUL.GEN.MG , DIP BET SUL GEN, NOT FOUND, CREME 30 G x 1, CM5
55437, DIPIMAX , DIPIMAX, NOT FOUND, GOTAS 500 MG 10 ML x 1 (/ML), CM5
69944, DIPRONIL , DIPRONIL, NOT FOUND, AMP. 1 ML x 1, CM5
74651, DIPROZIL , DIPROZIL, NOT FOUND, CREME 30 G x 1, CM5
82082, DUCODIL , DUCODIL, NOT FOUND, CPR REVEST 5 MG x 20, CM5
