82084; HEMOFISS ; HEMOFISS; NOT FOUND; POM 1APLI 30 G x 1; CM5
100098; HEPAMED ; HEPAMED; NOT FOUND; FLAC ABACAXI 10 ML x 48; CM5
95033; HEPAMED ; HEPAMED; NOT FOUND; FLACONETES 10 ML x 48; CM5
99502; HEPAMED ; HEPAMED; NOT FOUND; LIQ ABA 100 ML x 1; CM5
154142; HEPATOFORTE ; HEPATOFORTE; NOT FOUND; FLAC 10 ML x 48; CM5
76134; HIDRAT ; HIDRAT; NOT FOUND; LOC. 10 % 150 ML x 1; CM5
75240; HIDRAT ; HIDRAT; NOT FOUND; LOC. 3 % 100 ML x 1; CM5
78216; HIDRAT ; HIDRAT; NOT FOUND; LOC. 3 % 150 ML x 1; CM5
80431; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 25 MG x 30; CM5
78158; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 50 MG x 20; CM5
69145; HIDROMED ; HIDROMED; NOT FOUND; CPR 25 MG x 1000; CM5
61396; HIDROMED ; HIDROMED; NOT FOUND; CPR 25 MG x 20; CM5
71400; HIDROMED ; HIDROMED; NOT FOUND; CPR 25 MG x 30; CM5
61397; HIDROMED ; HIDROMED; NOT FOUND; CPR 50 MG x 20; CM5
106113; HIPOMED ; HIPOMED; NOT FOUND; POMADA 45 G x 1; CM5
106108; HIPOMED ; HIPOMED; NOT FOUND; POMADA BABY 45 G x 1; CM5
