159001, MAGNAZIA , MAGNAZIA, NOT FOUND, CPR MAST ABA x 30, CM5
70276, MAGNAZIA , MAGNAZIA, NOT FOUND, SUSP 240 ML x 1, CM5
69433, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, XAROPE 120 ML x 1, CM5
77758, MALEA ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 10 MG x 30, CM5
77971, MALEA ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 20 MG x 30, CM5
76726, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, XAROPE 2 MG 120 ML x 1 (/5ML), CM5
152925, MAX DAY AZ , MAX DAY AZ, NOT FOUND, CAPS POLI MI x 60, CM5
155899, MAX DAY CALCIO , MAX DAY CALCIO, NOT FOUND, CAPS x 60, CM5
155900, MAX DAY OMEGA 3 , MAX DAY OMEGA 3, NOT FOUND, CAPS x 60, CM5
152928, MAX DAY SENIOR , MAX DAY SENIOR, NOT FOUND, CAPS x 60, CM5
69352, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, CPR 100 MG x 6, CM5
71999, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, SUSP 20 MG 30 ML x 1, CM5
55645, MEBENIX , MEBENIX, NOT FOUND, CPR MASC 400 MG x 1, CM5
49281, MEBENIX , MEBENIX, NOT FOUND, SUSP 4 % 10 ML x 1, CM5
65165, MEME , MEME, NOT FOUND, CREME 50 G x 1, CM5
120298, MENTALOL , MENTALOL, NOT FOUND, DISPLAY 12 G x 12, CM5
75754, MENTALOL , MENTALOL, NOT FOUND, DISPLAY 12 G x 24, CM5
67577, MENTALOL , MENTALOL, NOT FOUND, UNGT 30 G x 1, CM5
61398, METFORMED , METFORMED, NOT FOUND, CPR 500 MG x 30, CM5
61399, METFORMED , METFORMED, NOT FOUND, CPR 850 MG x 30, CM5
76758, METRONIDAZOL MG , METRONIDAZOL, METRONIDAZOL, GEL. VAG. 100 MG 50 G x 1 (/G), CM5
