100272; OLANZAPINA MG ; OLANZAPINA; OLANZAPINA; CPR 10 MG x 30; EUF
100270; OLANZAPINA MG ; OLANZAPINA; OLANZAPINA; CPR 2.50 MG x 30; EUF
100271; OLANZAPINA MG ; OLANZAPINA; OLANZAPINA; CPR 5 MG x 30; EUF
159933; OLMES ME+HIDROC MG ; OLMES ME HIDROC; NOT FOUND; CPR REVEST 20 MG x 30 (/12.); EUF
159934; OLMES ME+HIDROC MG ; OLMES ME HIDROC; NOT FOUND; CPR REVEST 40 MG x 30 (/12.); EUF
159935; OLMES ME+HIDROC MG ; OLMES ME HIDROC; NOT FOUND; CPR REVEST 40 MG x 30 (/25); EUF
70441; OMEPRAZOL SODIC.MG ; OMEPRAZOL SODIC; OMEPRAZOL SODICO; CAPS 20 MG x 28; EUF
70442; OMEPRAZOL SODIC.MG ; OMEPRAZOL SODIC; OMEPRAZOL SODICO; CAPS 20 MG x 7; EUF
63797; OMEPRAZOL SODIC.MG ; OMEPRAZOL SODIC; OMEPRAZOL SODICO; F.AMP SOLV 40 MG 10 ML x 50; EUF
112681; OX ESCITALOPRAM MG ; OX ESCITALOPRAM; NOT FOUND; CPR REVEST 10 MG x 30; EUF
112683; OX ESCITALOPRAM MG ; OX ESCITALOPRAM; NOT FOUND; CPR REVEST 20 MG x 30; EUF
51966; OXACILINA SODIC. ; OXACILINA SODIC; OXACILINA SODICA; F.AMP LIOF 500 MG 5 ML x 50; EUF
59286; OXACILINA SODIC.MG ; OXACILINA SODIC; OXACILINA SODICA; F.AMP SOLV 500 MG 5 ML x 1; EUF
56502; OXACILINA SODIC.MG ; OXACILINA SODIC; OXACILINA SODICA; F.AMP SOLV 500 MG 5 ML x 50; EUF
62145; OXALIPLATINA MG ; OXALIPLATINA; OXALIPLATINA; F.INFUS.LIOF 100 MG x 1; EUF
80316; OXALIPLATINA MG ; OXALIPLATINA; OXALIPLATINA; F.INFUS.LIOF 100 MG x 10; EUF
62146; OXALIPLATINA MG ; OXALIPLATINA; OXALIPLATINA; F.INFUS.LIOF 50 MG x 1; EUF
80317; OXALIPLATINA MG ; OXALIPLATINA; OXALIPLATINA; F.INFUS.LIOF 50 MG x 10; EUF
