49859; BEMINAL ; BEMINAL; NOT FOUND; CPR REVEST x 30; EUF
1304; BEMINAL VIT C ; BEMINAL VIT C; NOT FOUND; CPR 500 MG x 30; EUF
1379; BENZETACIL EUF ; BENZETACIL EUF; NOT FOUND; SUSP INJ. 1200 K 4 ML x 50; EUF
59688; BENZILPEN.POTAS.MG ; BENZILPEN POTAS; BENZILPENICILINA POTASSICA; F.AMP LIOF 5 M x 50; EUF
75672; BES ANLODIPINO MG ; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 10 MG x 30; EUF
75671; BES ANLODIPINO MG ; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 5 MG x 30; EUF
59158; BETAMETASONA MG ; BETAMETASONA; BETAMETASONA; ELIXIR 0.50 MG 120 ML x 1 (/5ML); EUF
69471; BETATRINTA ; BETATRINTA; NOT FOUND; A.IM+SER. 1 ML x 1; EUF
85600; BETES ; BETES; NOT FOUND; CPR 1 MG x 30; EUF
85601; BETES ; BETES; NOT FOUND; CPR 2 MG x 30; EUF
85603; BETES ; BETES; NOT FOUND; CPR 4 MG x 30; EUF
127852; BETINA ; BETINA; NOT FOUND; CPR 16 MG x 20; EUF
127841; BETINA ; BETINA; NOT FOUND; CPR 16 MG x 30; EUF
127846; BETINA ; BETINA; NOT FOUND; CPR 16 MG x 60; EUF
127849; BETINA ; BETINA; NOT FOUND; CPR 24 MG x 20; EUF
127844; BETINA ; BETINA; NOT FOUND; CPR 24 MG x 30; EUF
127847; BETINA ; BETINA; NOT FOUND; CPR 24 MG x 60; EUF
127838; BETINA ; BETINA; NOT FOUND; CPR 8 MG x 30; EUF
98661; BICALUTAMIDA MG ; BICALUTAMIDA; BICALUTAMIDA; CPR 50 MG x 30; EUF
75552; BROM.ROCURONIO MG ; BROM ROCURONIO; BROMETO ROCURONIO; F.AMP IV 10 MG 5 ML x 12 (/ML); EUF
63576; BROMAZEPAM MG ; BROMAZEPAM; BROMAZEPAM; CPR 3 MG x 20; EUF
63577; BROMAZEPAM MG ; BROMAZEPAM; BROMAZEPAM; CPR 3 MG x 30; EUF
63578; BROMAZEPAM MG ; BROMAZEPAM; BROMAZEPAM; CPR 6 MG x 20; EUF
63579; BROMAZEPAM MG ; BROMAZEPAM; BROMAZEPAM; CPR 6 MG x 30; EUF
78571; BROMOPRIDA MG ; BROMOPRIDA; BROMOPRIDA; GOTAS 4 MG 20 ML x 1 (/ML); EUF
79286; BUP ; BUP; NOT FOUND; CPR REVES.AP 150 MG x 12; EUF
70398; BUP ; BUP; NOT FOUND; CPR REVES.AP 150 MG x 30; EUF
76521; BUP ; BUP; NOT FOUND; CPR REVES.AP 150 MG x 60; EUF
