78447; FAGICO ; FAGICO; NOT FOUND; GOTAS 4 MG 20 ML x 1 (/ML); EUF
61523; FINASTERIDA MG ; FINASTERIDA; FINASTERIDA; CPR REVEST 1 MG x 30; EUF
61524; FINASTERIDA MG ; FINASTERIDA; FINASTERIDA; CPR REVEST 5 MG x 30; EUF
65681; FLUCONAZOL MG ; FLUCONAZOL; FLUCONAZOL; F.IV INFUSAO 2 MG 100 ML x 6 (/ML); EUF
63008; FLUMAZENIL MG ; FLUMAZENIL; FLUMAZENIL; A.IV 0.10 MG 5 ML x 5 (/ML); EUF
62554; FLUORURACILA MG ; FLUORURACILA; FLUORURACILA; F.AMP 25 MG 10 ML x 10 (/ML); EUF
76022; FLUORURACILA MG ; FLUORURACILA; FLUORURACILA; F.AMP 25 MG 10 ML x 50 (/ML); EUF
82838; FLUSAN ; FLUSAN; NOT FOUND; F.AMP 50 MG 20 ML x 20 (/ML); EUF
81209; FOLINATO CALCIO MG ; FOLINATO CALCIO; FOLINATO CALCIO; F.AMP 10 MG 30 ML x 10 (/ML); EUF
71398; FOLINATO CALCIO MG ; FOLINATO CALCIO; FOLINATO CALCIO; F.AMP 50 MG 5 ML x 50; EUF
60866; FOLINATO CALCIO MG ; FOLINATO CALCIO; FOLINATO CALCIO; F.AMP 50 MG x 1; EUF
78825; FORFIG ; FORFIG; NOT FOUND; CAPS 200 MG x 20; EUF
79287; FORFIG ; FORFIG; NOT FOUND; CPR. REV. 100 MG x 20; EUF
78791; FORFIG ; FORFIG; NOT FOUND; CPR.REV. 100 MG x 30; EUF
78828; FORFIG ; FORFIG; NOT FOUND; SUSP 14.3 MG 100 ML x 1 (/ML); EUF
58251; FOS CLINDAMICIN MG ; FOS CLINDAMICIN; FOSFATO CLINDAMICINA; AMP. 600 MG 4 ML x 1; EUF
59003; FUROAT.MOMETASO.MG ; FUROAT MOMETASO; FUROATO MOMETASONA; CREME 1 MG 20 G x 1 (/G); EUF
59004; FUROAT.MOMETASO.MG ; FUROAT MOMETASO; FUROATO MOMETASONA; POM. 1 MG 20 G x 1 (/G); EUF
