1010001810025; VASCASE; VASCASE; NOT FOUND; 1.0MG COM CX C/ 20; ROC
1010001810084; VASCASE; VASCASE; NOT FOUND; 1 MG COM REV CT BL AL/AL X 28; ROC
1010001810033; VASCASE; VASCASE; NOT FOUND; 2.5MG COM CX C/ 10; ROC
1010001810092; VASCASE; VASCASE; NOT FOUND; 2.5 MG COM REV CT BL AL/AL X 14; ROC
1010001810068; VASCASE; VASCASE; NOT FOUND; 2.5MG COM CX C/ 20; ROC
1010001810106; VASCASE; VASCASE; NOT FOUND; 2.5 MG COM REV CT BL AL/AL X 28; ROC
1010001810041; VASCASE; VASCASE; NOT FOUND; 5.0MG COM CX C/ 10; ROC
1010001810114; VASCASE; VASCASE; NOT FOUND; 5 MG COM REV CT BL AL/AL X 14; ROC
1010001810051; VASCASE; VASCASE; NOT FOUND; 5.0MG COM CX C/ 20; ROC
1010001810122; VASCASE; VASCASE; NOT FOUND; 5 MG COM REV CT BL AL/AL X 28; ROC
1010005370038; VASCASE; VASCASE; NOT FOUND; PLUS 5.0/12.5MG COM CX C/ 20; ROC
1010005370054; VASCASE PLUS; VASCASE PLUS; NOT FOUND; 5 MG + 12.5 MG COM REV CT BL AL/AL X 28; ROC
1010000910055; VALIUM; VALIUM; NOT FOUND; 10MG INJ C/50 AMPX2ML; ROC
1010000910217; VALIUM; VALIUM; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; ROC
1010000910050; VALIUM; VALIUM; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 30; ROC
1010000910039; VALIUM; VALIUM; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 20; ROC
1010000910042; VALIUM; VALIUM; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 30; ROC
1010005460037; VIRACEPT; VIRACEPT; NOT FOUND; 50MG/G FR.C/144G; ROC
1010005460010; VIRACEPT; VIRACEPT; NOT FOUND; 250 MG COM CT FR PLAS OPC X 270 (EMB HOSP); ROC
