1010005580016; CEDUR; CEDUR; NOT FOUND; 200MG 20 DRGS; ROC
1010005580040; CEDUR; CEDUR; NOT FOUND; RETARD 400MG 20 COMP; ROC
1010005580059; CEDUR; CEDUR; NOT FOUND; RETARD 400MG 30 COMP; ROC
1010005580067; CEDUR; CEDUR; NOT FOUND; 200 MG COM REV CT 02 BL AL PLAS INC X 10; ROC
1010005580075; CEDUR; CEDUR; NOT FOUND; 400 MG COM AP CT 02 BL AL PLAS INC X 10; ROC
1010005580024; CEDUR; CEDUR; NOT FOUND; 400 MG COM AP CT 03 BL X 10; ROC
1010006430093; COREG; COREG; NOT FOUND; 12.5 MG COM CT BL AL/AL X 14; ROC
1010006430131; COREG; COREG; NOT FOUND; 25 MG COM CT BL AL/AL X 14; ROC
1010006430018; COREG; COREG; NOT FOUND; 3.125 MG COM CT BL AL/AL X 14; ROC
1010006430050; COREG; COREG; NOT FOUND; 6.250 MG COM CT BL AL/AL X 14; ROC
1010005360016; CYMEVENE; CYMEVENE; NOT FOUND; 500 MG PO LIOF CT 25 FA VD INC X 10 ML (EMB HOSP); ROC
1010005360032; CYMEVENE; CYMEVENE; NOT FOUND; 250MG 84 CAPS; ROC
1010005390020; CELLCEPT; CELLCEPT; NOT FOUND; 500 MG COM REV CT  BL AL PLAS OPC X 50; ROC
1010000170094; COMPLEXO B; COMPLEXO B; NOT FOUND; SOL ORAL FR C/20 ML; ROC
