1010001460172; ROFERON A; ROFERON A; NOT FOUND; 3 MIO UI 1 FAMP X 1 ML; ROC
1010001460016; ROFERON A; ROFERON A; NOT FOUND; 3 MUI/0.5 ML SOL INJ CT SER PRE-ENCH VD INC X 0.5 ML + AG 16-5/10; ROC
1010001460180; ROFERON A; ROFERON A; NOT FOUND; 4.5 MIO UI 1 FAMP X 1 ML; ROC
1010001460024; ROFERON A; ROFERON A; NOT FOUND; 4.5 MUI/0.5 ML SOL INJ CT SER PRE-ENCH VD INC X 0.5 ML + AG 16-5/10 ; ROC
1010001460199; ROFERON A; ROFERON A; NOT FOUND; 9 MIO UI 1 FAMP X 1 ML; ROC
1010001460032; ROFERON A; ROFERON A; NOT FOUND; 9 MUI/0.5 ML SOL INJ CT SER PRE-ENCH VD INC X 0.5 ML + AG 16-5/10 ; ROC
1010000740010; ROCHAGAN; ROCHAGAN; NOT FOUND; 100MG FR C/ 100 COMP; ROC
1010005590143; RECORMON; RECORMON; NOT FOUND; 10.000UI 6 FAMP + 6 DILUENTES X 1ML; ROC
1010005590178; RECORMON; RECORMON; NOT FOUND; 10.000 UI SOL INJ CT 6 SER PREENCHIDAS X 0.6 ML + 6 AGULHAS; ROC
1010005590186; RECORMON; RECORMON; NOT FOUND; 4.000UI/0.3ML 6 SERINGAS PREENCHIDAS; ROC
1010005590119; RECORMON; RECORMON; NOT FOUND; 5.000UI 6 FAMP + 6 DILUIENTES X 1ML; ROC
1010005590240; RECORMON; RECORMON; NOT FOUND; 30000 UI SOL INJ CT 1 SER PRENCHIDA X 0.6 ML + 1 AGULHA; ROC
1010005590202; RECORMON; RECORMON; NOT FOUND; 30000 UI SOL INJ CT 4 SER PREENCHIDAS X 0.6 ML + 4 AGULHAS; ROC
1010005590208; RECORMON; RECORMON; NOT FOUND; 60000UI 1 FA DUPLO COMPARTIMENTO+DIL X 1ML; ROC
1010005590232; RECORMON; RECORMON; NOT FOUND; 60000UI 3 FA DUPLO COMPARTIMENTO + DIL X 1ML; ROC
1010000730036; ROCALTROL; ROCALTROL; NOT FOUND; 0.25 MCG CAP GEL MOLE CT FR VD AMB X 30; ROC
1010005330011; RENNIE; RENNIE; NOT FOUND; 12 PASTILHAS; ROC
1010001320435; ROCEFIN; ROCEFIN; NOT FOUND; 1 G IM PO ESTERIL CT FA VD INC + AMP DIL X 3.5 ML; ROC
1010001320419; ROCEFIN; ROCEFIN; NOT FOUND; 250 MG IM PO ESTERIL CT FA VD INC + AMP DIL X 2 ML; ROC
1010001320427; ROCEFIN; ROCEFIN; NOT FOUND; 500 MG IM PO ESTERIL CT FA VD INC + AMP DIL X 2 ML; ROC
1010001320461; ROCEFIN; ROCEFIN; NOT FOUND; 1 G IV PO ESTERIL CT FA VD INC + AMP DIL X 10 ML; ROC
1010001320443; ROCEFIN; ROCEFIN; NOT FOUND; 500 MG IV PO ESTERIL CT FA VD INC + AMP DIL X 5.0 ML; ROC
1010000720034; RIVOTRIL; RIVOTRIL; NOT FOUND; 2.5 MG/ML SOL OR CT FR VD CGT X 20 ML; ROC
1010000720146; RIVOTRIL; RIVOTRIL; NOT FOUND; 0.5 MG COM CX BL AL PLAS INC X 20; ROC
1010000720162; RIVOTRIL; RIVOTRIL; NOT FOUND; 0.5 MG COM CX BL AL PLAS INC X 30; ROC
1010000720138; RIVOTRIL; RIVOTRIL; NOT FOUND; 2 MG COM CX BL AL PLAS INC X 20; ROC
1010000720170; RIVOTRIL; RIVOTRIL; NOT FOUND; 2 MG COM CX BL AL PLAS INC X 30; ROC
1010000720189; RIVOTRIL; RIVOTRIL; NOT FOUND; 0.25 MG COM SUB CT 2 BL AL PLAS INC X 10; ROC
1010000720197; RIVOTRIL; RIVOTRIL; NOT FOUND; 0.25 MG COM SUB CT BL AL PLAST INC X 30; ROC
1010000750053; ROHYPNOL; ROHYPNOL; NOT FOUND; 1 MG COM REV CT 2 BL AL PLAS INC X 10; ROC
1010000750071; ROHYPNOL; ROHYPNOL; NOT FOUND; 1 MG COM REV CT 3 BL AL PLAS INC X 10; ROC
1010001820014; ROACUTAN; ROACUTAN; NOT FOUND; 10 MG CAP GEL MOLE CT BL AL X 30; ROC
1010001820049; ROACUTAN; ROACUTAN; NOT FOUND; 20 MG CAP GEL MOLE CT BL AL X 30; ROC
