1010005320014; PULMOZYME; PULMOZYME; NOT FOUND; 1 MG/ML SOL P/ INALACAO CX 6 AMP PLAS X 2.5 ML; ROC
101000565003; PEGASYS; PEGASYS; NOT FOUND; 180 MCG/ML 1 FRASCO-AMPOLA; ROC
1010005650049; PEGASYS; PEGASYS; NOT FOUND; 180 MCG SOL INJ CT 1 SER PREENCHIDA VD INC 0.5 ML ; ROC
1010005650057; PEGASYS; PEGASYS; NOT FOUND; 180 MCG SOL INJ CT 4 SER PREENCHIDAS VD INC 0.5 ML ; ROC
1010005650022; PEGASYS; PEGASYS; NOT FOUND; 135 MCG SOL INJ CT 1 SER PREENCHIDA VD INC 0.5 ML; ROC
1010005650030; PEGASYS; PEGASYS; NOT FOUND; 135 MCG SOL INJ CT 4 SER PREENCHIDAS VD INC 0.5 ML ; ROC
1010005650121; PEGASYS; PEGASYS; NOT FOUND; 180 MCG SOL INJ CT 1 SER PREENC VD TRANS 0.5 ML X 1 CAN APLIC; ROC
1010005650138; PEGASYS; PEGASYS; NOT FOUND; 180 MCG SOL INJ CT 4 SER PREENC VD TRANS 0.5 ML X 4 CAN APLIC; ROC
1010005650146; PEGASYS; PEGASYS; NOT FOUND; 180 MCG SOL INJ CT 12 SER PREENC VD TRANS 0.5 ML X 12 CAN APLIC; ROC
1010005650091; PEGASYS; PEGASYS; NOT FOUND; 135 MCG SOL INJ CT 1 SER PREENC VD TRANS 0.5 ML X 1 CAN APLIC; ROC
1010005650103; PEGASYS; PEGASYS; NOT FOUND; 135 MCG SOL INJ CT 4 SER PREENC VD TRANS 0.5 ML X 4 CAN APLIC; ROC
1010005650111; PEGASYS; PEGASYS; NOT FOUND; 135 MCG SOL INJ CT 12 SER PREENC VD TRANS 0.5 ML X 12 CAN APLIC; ROC
1010006530012; PEGASYS RBV; PEGASYS RBV; NOT FOUND; 135 MCG SOL INJ CT SER VD PRE ENCH X 0.5ML + 200 MG COM REV FR PLAS OPC X 42; ROC
1010006530020; PEGASYS RBV; PEGASYS RBV; NOT FOUND; 135 MCG SOL INJ CT 4 SER VD PRE ENCH X 0.5ML +  200 MG COM REV FR PLAS OPC X 168; ROC
1010006530047; PEGASYS RBV; PEGASYS RBV; NOT FOUND; 180 MCG SOL INJ CT 4 SER VD PRE ENCH X 0.5ML + 200 MG COM REV FR PLAS OPC X 168; ROC
1010006530039; PEGASYS RBV; PEGASYS RBV; NOT FOUND; 180 MCG SOL INJ CT SER VD PRE ENCH X 0.5ML + 200 MG COM REV FR PLAS OPC X 42; ROC
1010000670051; PROTOVIT PLUS; PROTOVIT PLUS; NOT FOUND; FR C/20ML; ROC
1010000640126; PROLOPA; PROLOPA; NOT FOUND; 100 MG + 25 MG COM DISP CT FR VD AMB X 30; ROC
1010000640066; PROLOPA; PROLOPA; NOT FOUND; 200 MG + 50 MG COM CT FR VD AMB X 30; ROC
1010000640071; PROLOPA; PROLOPA; NOT FOUND; 100 MG + 25 MG CAP GELAT DURA LIB PROL CT FR VD AMB X 30; ROC
1010000640142; PROLOPA; PROLOPA; NOT FOUND; 100 MG + 25 MG COM CT FR VD AMB X 30 ; ROC
1010000640150; PROLOPA; PROLOPA; NOT FOUND; 100 MG + 25 MG COM CT FR VD AMB X 60; ROC
1010000640169; PROLOPA; PROLOPA; NOT FOUND; 100 MG + 25 MG COM CT FR VD AMB X 90; ROC
1010000640177; PROLOPA; PROLOPA; NOT FOUND; 200 MG + 50 MG COM CAM TRIPLA LIB MOD CT FR VD AMB X 30; ROC
1010006570014; PERJETA; PERJETA; NOT FOUND; 420 MG SOL DIL INFUS IV CT FA VD TRANS X 14 ML; ROC
1010006580011; PERJETA HER; PERJETA HER; NOT FOUND; 420 MG SOL DIL INFUS IV CT FA VD TRANS X 14 ML + 440 MG PO LIOF SOL INJ IV CT FA VD TRANS + DIL FA VD TRANS X 20 ML; ROC
