506904401112412; SERTERO; SERTERO; NOT FOUND; 20 MG COM REV CT BL AL PLAST TRANS X 10; ATV
506904402119410; SERTERO; SERTERO; NOT FOUND; 20 MG COM REV CT BL AL PLAST TRANS X 20; ATV
506904403115419; SERTERO; SERTERO; NOT FOUND; 20 MG COM REV CT BL AL PLAST TRANS X 30; ATV
506913120028003; STUB; STUB; NOT FOUND; 0.4 MG CAP DURA CT BL AL PLAS TRANS X 20; ATV
506913120028103; STUB; STUB; NOT FOUND; 0.4 MG CAP DURA CT BL AL PLAS TRANS X 30; ATV
506902401115113; SINVASTATINA; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS INC X 30 ; ATV
506902402111111; SINVASTATINA; SINVASTATINA; SINVASTATINA; 20 MG COM REV CT BL AL PLAS INC X 30; ATV
506902404114118; SINVASTATINA; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS INC X 10 ; ATV
506902405110116; SINVASTATINA; SINVASTATINA; SINVASTATINA; 40 MG COM REV CT BL AL PLAS INC X 30; ATV
506902403118111; SINVASTATINA; SINVASTATINA; SINVASTATINA; 5 MG COM REV CT BL AL PLAS INC X 30 ; ATV
506903101115116; SUCCINATO DE SUMATRIPTANA; SUCCINATO SUMATRIPTANA; NOT FOUND; 100 MG COM REV CT BL AL/AL X 02 ; ATV
506904302114417; SUTRIPTAN; SUTRIPTAN; NOT FOUND; 100 MG COM REV CT BL AL AL X 02 ; ATV
506903102111114; SUCCINATO DE SUMATRIPTANA; SUCCINATO SUMATRIPTANA; NOT FOUND; 50 MG COM REV CT BL AL/AL X 02 ; ATV
506904301118419; SUTRIPTAN; SUTRIPTAN; NOT FOUND; 50 MG COM REV CT BL AL AL X 2; ATV
