92651, IBANDRONA SODIO MG , IBANDRONA SODIO, IBANDRONATO SODIO, CPR REVEST 150 MG x 1, A4H
82756, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, GOTAS 100 MG 20 ML x 1 (/ML), A4H
72564, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, GOTAS 50 MG 30 ML x 1 (/ML), A4H
114403, INELLARE , INELLARE, NOT FOUND, T M Z A A CH x 30, A4H
114632, INELLARE , INELLARE, NOT FOUND, T M Z A A CH x 60, A4H
165421, INELLARE , INELLARE, NOT FOUND, TAB MAS CARA x 60, A4H
85757, INELLARE , INELLARE, NOT FOUND, TAB MAST CHO x 30, A4H
85758, INELLARE , INELLARE, NOT FOUND, TAB MAST CHO x 60, A4H
158152, INELLARE , INELLARE, NOT FOUND, TMZAACH+L EX x 60, A4H
50880, INTERFERON , INTERFERON, NOT FOUND, F.AMP LIOF 10 M 1 ML x 5, A4H
50878, INTERFERON , INTERFERON, NOT FOUND, F.AMP LIOF 3 M 1 ML x 5, A4H
50879, INTERFERON , INTERFERON, NOT FOUND, F.AMP LIOF 5 M 1 ML x 5, A4H
5670, IODEPOL , IODEPOL, NOT FOUND, XAR. EXP. 120 ML x 1, A4H
32070, IONIL , IONIL, NOT FOUND, XAMP 120 ML x 1, A4H
45676, IONIL-RINSE , IONIL RINSE, NOT FOUND, LIQD 120 ML x 1, A4H
32071, IONIL-T , IONIL T, NOT FOUND, XAMP 120 ML x 1, A4H
47997, ISKEMIL , ISKEMIL, NOT FOUND, CPR 6 MG x 20, A4H
33917, ISKETAM , ISKETAM, NOT FOUND, CPR 400 MG x 20, A4H
