46335, CANDICORT , CANDICORT, NOT FOUND, CREME 30 G x 1, A4H
46379, CANDICORT , CANDICORT, NOT FOUND, POM. 30 G x 1, A4H
50647, CANDIDERM , CANDIDERM, NOT FOUND, CREME 2 % 30 G x 1, A4H
55370, CANDIZOL , CANDIZOL, NOT FOUND, CAPS GELATIN 150 MG x 1, A4H
51278, CANDIZOL , CANDIZOL, NOT FOUND, CAPS GELATIN 150 MG x 2, A4H
41887, CANDORAL , CANDORAL, NOT FOUND, CPR 200 MG x 10 X1, A4H
56801, CAPEL , CAPEL, NOT FOUND, XAMP 120 ML x 1, A4H
57851, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 25 MG x 30, A4H
57852, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 50 MG x 30, A4H
57458, CARBAMAZEPINA MG , CARBAMAZEPINA, CARBAMAZEPINA, CPR 200 MG x 30, A4H
57592, CARBIDOPA-LEVOD.MG , CARBIDOPA LEVOD, NOT FOUND, CPR 25 MG x 30 (/250), A4H
64493, CARBOCISTEINA MG , CARBOCISTEINA, CARBOCISTEINA, XAR. AD 250 MG 100 ML x 1 (/5ML), A4H
64494, CARBOCISTEINA MG , CARBOCISTEINA, CARBOCISTEINA, XAR. PED. 100 MG 100 ML x 1 (/5ML, A4H
2095, CARNABOL , CARNABOL, NOT FOUND, CPR x 20, A4H
2096, CARNABOL KIDS , CARNABOL KIDS, NOT FOUND, SUSP 120 ML x 1, A4H
65018, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 12.5 MG x 15, A4H
76966, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 12.5 MG x 30, A4H
65019, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 25 MG x 15, A4H
65020, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 25 MG x 30, A4H
65016, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 3.12 MG x 15, A4H
76968, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 3.12 MG x 30, A4H
65017, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 6.25 MG x 15, A4H
76967, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 6.25 MG x 30, A4H
48532, CAUTEREX C/GENTAM. , CAUTEREX C GENTAM, NOT FOUND, UNGT 10 G x 1, A4H
59556, CEFADROXILA MG , CEFADROXILA, CEFADROXILA, PO P/SUSP 250 MG 100 ML x 1 (/5ML), A4H
70758, CEFADROXILA MG , CEFADROXILA, CEFADROXILA, PO P/SUSP 500 MG 100 ML x 1 (/5ML), A4H
49142, CEFALIUM , CEFALIUM, NOT FOUND, CPR x 12, A4H
50583, CEFALIV , CEFALIV, NOT FOUND, CPR x 12, A4H
79055, CETOCONAZOL CPR MG , CETOCONAZOL CPR, NOT FOUND, CPR 200 MG x 10, A4H
79056, CETOCONAZOL CPR MG , CETOCONAZOL CPR, NOT FOUND, CPR 200 MG x 30, A4H
69421, CETOCONAZOL MG , CETOCONAZOL, CETOCONAZOL, CREME 20 MG 30 G x 1 (/G), A4H
68035, CETORO.TROMETAM.MG , CETORO TROMETAM, NOT FOUND, SOLN OFTAL 5 MG 5 ML x 1 (/ML), A4H
112557, CIPIDE , CIPIDE, NOT FOUND, CPR 100 MG x 30, A4H
135546, CIPROFIBRATO MG , CIPROFIBRATO, CIPROFIBRATO, CPR 100 MG x 30, A4H
71740, CITALOPRAM MG , CITALOPRAM, CITALOPRAM, CPR REVEST 20 MG x 14, A4H
71739, CITALOPRAM MG , CITALOPRAM, CITALOPRAM, CPR REVEST 20 MG x 28, A4H
111867, CLAIR GEL , CLAIR GEL, NOT FOUND, GEL CR CLAR 30 G x 1, A4H
63792, CLO DORZOLAMIDA MG , CLO DORZOLAMIDA, CLORIDRATO DORZOLAMIDA, SOLN OFTAL 20 MG 5 ML x 1 (/ML, A4H
72444, CLO SIBUTRAMINA MG , CLO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, CAPS 10 MG x 30, A4H
72445, CLO SIBUTRAMINA MG , CLO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, CAPS 15 MG x 30, A4H
89108, CLO TERBINAFINA MG , CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 250 MG x 14, A4H
89110, CLO TERBINAFINA MG , CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CPR 250 MG x 28, A4H
57495, CLO TICLOPIDINA MG , CLO TICLOPIDINA, CLORIDRATO TICLOPIDINA, CPR REVEST 250 MG x 30, A4H
100263, CLO TRAMA+PARAC MG , CLO TRAMA PARAC, NOT FOUND, CPR REVEST 37.5 MG x 10 (/325), A4H
100264, CLO TRAMA+PARAC MG , CLO TRAMA PARAC, NOT FOUND, CPR REVEST 37.5 MG x 20 (/325), A4H
72549, CLO VENLAFAXINA MG , CLO VENLAFAXINA, CLORIDRATO VENLAFAXINA, CPR 37.5 MG x 28, A4H
72550, CLO VENLAFAXINA MG , CLO VENLAFAXINA, CLORIDRATO VENLAFAXINA, CPR 50 MG x 30, A4H
72551, CLO VENLAFAXINA MG , CLO VENLAFAXINA, CLORIDRATO VENLAFAXINA, CPR 75 MG x 28, A4H
84574, CLOPIDOGREL MG , CLOPIDOGREL, CLOPIDOGREL, CPR REVEST 75 MG x 15, A4H
84575, CLOPIDOGREL MG , CLOPIDOGREL, CLOPIDOGREL, CPR REVEST 75 MG x 30, A4H
84945, CLOPIN , CLOPIN, NOT FOUND, CPR REVEST 75 MG x 15, A4H
84944, CLOPIN , CLOPIN, NOT FOUND, CPR REVEST 75 MG x 30, A4H
64026, CLOR SOTALOL MG , CLOR SOTALOL, CLORIDRATO SOTALOL, CPR 120 MG x 30, A4H
64027, CLOR SOTALOL MG , CLOR SOTALOL, CLORIDRATO SOTALOL, CPR 160 MG x 20, A4H
56277, CLOR. AMBROXOL MG , CLOR AMBROXOL, CLORIDRATO AMBROXOL, XAR. AD 30 MG 120 ML x 1 (/5ML), A4H
56276, CLOR. AMBROXOL MG , CLOR AMBROXOL, CLORIDRATO AMBROXOL, XAR. PED. 15 MG 120 ML x 1 (/5ML, A4H
80917, CLOR. VERAPAMIL MG , CLOR VERAPAMIL, CLORIDRATO VERAPAMIL, CPR REVEST 120 MG x 20, A4H
85418, CLOR. VERAPAMIL MG , CLOR VERAPAMIL, CLORIDRATO VERAPAMIL, CPR REVEST 240 MG x 30, A4H
73775, CLOR. VERAPAMIL MG , CLOR VERAPAMIL, CLORIDRATO VERAPAMIL, CPR REVEST 80 MG x 30, A4H
59953, CLOR.AMILO+HCT MG , CLOR AMILO HCT, NOT FOUND, CPR 5 MG x 30 (/50), A4H
82755, CLOR.AMIODARONA MG , CLOR AMIODARONA, CLORIDRATO AMIODARONA, CPR 100 MG x 30, A4H
58368, CLOR.AMIODARONA MG , CLOR AMIODARONA, CLORIDRATO AMIODARONA, CPR 200 MG x 30, A4H
76650, CLOR.CICLOBENZA.MG , CLOR CICLOBENZA, CLORIDRATO CICLOBENZAPRINA, CPR REVEST 10 MG x 15, A4H
76651, CLOR.CICLOBENZA.MG , CLOR CICLOBENZA, CLORIDRATO CICLOBENZAPRINA, CPR REVEST 10 MG x 30, A4H
76648, CLOR.CICLOBENZA.MG , CLOR CICLOBENZA, CLORIDRATO CICLOBENZAPRINA, CPR REVEST 5 MG x 15, A4H
76649, CLOR.CICLOBENZA.MG , CLOR CICLOBENZA, CLORIDRATO CICLOBENZAPRINA, CPR REVEST 5 MG x 30, A4H
69009, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 14, A4H
69008, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 6, A4H
57609, CLOR.DILTIAZEM MG , CLOR DILTIAZEM, CLORIDRATO DILTIAZEM, CPR 30 MG x 30, A4H
