93521, HE RIVASTIGMINA MG , HE RIVASTIGMINA, NOT FOUND, CAPS 1.50 MG x 30, A4H
93522, HE RIVASTIGMINA MG , HE RIVASTIGMINA, NOT FOUND, CAPS 3 MG x 30, A4H
93523, HE RIVASTIGMINA MG , HE RIVASTIGMINA, NOT FOUND, CAPS 4.50 MG x 30, A4H
93524, HE RIVASTIGMINA MG , HE RIVASTIGMINA, NOT FOUND, CAPS 6 MG x 30, A4H
55634, HEMAX , HEMAX, NOT FOUND, F.AMP 10 K x 1, A4H
50872, HEMAX , HEMAX, NOT FOUND, F.AMP LIOF 1000 IU 1 ML x 1, A4H
50874, HEMAX , HEMAX, NOT FOUND, F.AMP LIOF 4000 IU 2 ML x 1, A4H
81082, HIDRADEEP , HIDRADEEP, NOT FOUND, BAST LAB F30 5.50 G x 1, A4H
128804, HIDRADEEP AE , HIDRADEEP AE, NOT FOUND, LOCAO HIDRAT 200 G x 1, A4H
83316, HIDRADEEP OIL CONT , HIDRADEEP OIL CONT, NOT FOUND, CR H FAC F30 60 ML x 1, A4H
5382, HIDROCIN , HIDROCIN, NOT FOUND, GOTAS NASAL 10 ML x 1, A4H
69684, HIDROCIN , HIDROCIN, NOT FOUND, SPRAY NASAL 20 ML x 1, A4H
52517, HIPRESS , HIPRESS, NOT FOUND, CPR REVEST x 15, A4H
