51887; TALERC ; TALERC; NOT FOUND; CPR REVEST 10 MG x 10; A4H
51889; TALERC ; TALERC; NOT FOUND; CPR REVEST 20 MG x 10; A4H
57818; TALERC ; TALERC; NOT FOUND; XAROPE 2 MG 50 ML x 1 (/ML); A4H
71681; TALERC D ; TALERC D; NOT FOUND; CPR REVES.AP x 10; A4H
70782; TANDRILAX ; TANDRILAX; NOT FOUND; CPR x 15; A4H
31254; TANDRILAX ; TANDRILAX; NOT FOUND; CPR x 30; A4H
75516; TAR BRIMONIDINA MG ; TAR BRIMONIDINA; NOT FOUND; SOLN OFTAL 2 MG 5 ML x 1 (/ML); A4H
59120; TAR METOPROLOL MG ; TAR METOPROLOL; NOT FOUND; CPR REVEST 100 MG x 30; A4H
54356; TENOTEC ; TENOTEC; NOT FOUND; CPR REVEST 20 MG x 10; A4H
54074; TEODEN ; TEODEN; NOT FOUND; AERO DOSIS 100 Y 10 ML x 200 (/DOS); A4H
57914; TIMASEN ; TIMASEN; NOT FOUND; CAPS SR LP 100 MG x 10; A4H
57915; TIMASEN ; TIMASEN; NOT FOUND; CAPS SR LP 50 MG x 10; A4H
68065; TOBRAMI+DEXAMET.MG ; TOBRAMI DEXAMET; NOT FOUND; SUSP OFTAL 5 ML x 1; A4H
64262; TOBRAMICINA MG ; TOBRAMICINA; TOBRAMICINA; SOLN OFTAL 0.30 % 5 ML x 1; A4H
68865; TOLREST ; TOLREST; NOT FOUND; CPR 100 MG x 14; A4H
54718; TOLREST ; TOLREST; NOT FOUND; CPR 100 MG x 20; A4H
53193; TOLREST ; TOLREST; NOT FOUND; CPR 25 MG x 14; A4H
76382; TOLREST ; TOLREST; NOT FOUND; CPR 25 MG x 28; A4H
53192; TOLREST ; TOLREST; NOT FOUND; CPR 25 MG x 7; A4H
52249; TOLREST ; TOLREST; NOT FOUND; CPR 50 MG x 20; A4H
68744; TOLREST ; TOLREST; NOT FOUND; CPR 50 MG x 21; A4H
76383; TOLREST ; TOLREST; NOT FOUND; CPR 50 MG x 28; A4H
59030; TOLREST ; TOLREST; NOT FOUND; CPR 75 MG x 30; A4H
76894; TOPIRAMATO MG ; TOPIRAMATO; TOPIRAMATO; CPR REVEST 100 MG x 60; A4H
76892; TOPIRAMATO MG ; TOPIRAMATO; TOPIRAMATO; CPR REVEST 25 MG x 60; A4H
76893; TOPIRAMATO MG ; TOPIRAMATO; TOPIRAMATO; CPR REVEST 50 MG x 60; A4H
51775; TRACONAL ; TRACONAL; NOT FOUND; CAPS 100 MG x 10; A4H
51776; TRACONAL ; TRACONAL; NOT FOUND; CAPS 100 MG x 15; A4H
51774; TRACONAL ; TRACONAL; NOT FOUND; CAPS 100 MG x 4; A4H
10478; TRANSPULMIN ; TRANSPULMIN; NOT FOUND; BALSAMO 20 G x 1; A4H
10479; TRANSPULMIN ; TRANSPULMIN; NOT FOUND; SUP. x 5; A4H
59677; TRANSPULMIN NF ; TRANSPULMIN NF; NOT FOUND; XAROPE 200 MG 150 ML x 1 (/5ML); A4H
63833; TRANSPULMIN NF ; TRANSPULMIN NF; NOT FOUND; XPE INF MEL 100 MG 150 ML x 1 (/15M; A4H
95114; TREZOR ; TREZOR; NOT FOUND; CPR REVEST 10 MG x 10; A4H
93525; TREZOR ; TREZOR; NOT FOUND; CPR REVEST 10 MG x 30; A4H
93526; TREZOR ; TREZOR; NOT FOUND; CPR REVEST 20 MG x 30; A4H
54077; TRICANGINE-A ; TRICANGINE A; NOT FOUND; CR.VAG.15APL 85 G x 1; A4H
