84388; MAL.DEXCLO+BETA.MG ; MAL DEXCLO BETA; NOT FOUND; XAROPE 120 ML x 1; A4H
61695; MAL.ENALA+HCLTZ.MG ; MAL ENALA HCLTZ; NOT FOUND; CPR 12.5 MG x 30 (/20); A4H
61696; MAL.ENALA+HCLTZ.MG ; MAL ENALA HCLTZ; NOT FOUND; CPR 25 MG x 30 (/10); A4H
56188; MALEA.ENALAPRIL MG ; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 10 MG x 30; A4H
56189; MALEA.ENALAPRIL MG ; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 20 MG x 30; A4H
56187; MALEA.ENALAPRIL MG ; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 5 MG x 30; A4H
62651; MALEATO TIMOLOL MG ; MALEATO TIMOLOL; MALEATO TIMOLOL; SOLN OFTAL 0.50 % 5 ML x 1; A4H
64028; MALEATO TIMOLOL MG ; MALEATO TIMOLOL; MALEATO TIMOLOL; SOLN OFTA 0.25 % 5 ML x 1; A4H
71998; MAXAPRAN ; MAXAPRAN; NOT FOUND; CPR REVEST 20 MG x 14; A4H
71997; MAXAPRAN ; MAXAPRAN; NOT FOUND; CPR REVEST 20 MG x 28; A4H
165365; MAXAPRAN ; MAXAPRAN; NOT FOUND; CPR REVEST 20 MG x 60; A4H
60900; MAXICALC D ; MAXICALC D; NOT FOUND; CPR REVEST 200 IU x 60 (/500); A4H
60901; MAXICALC D ; MAXICALC D; NOT FOUND; CPR REVEST 400 IU x 60 (/500); A4H
56463; MAXILIV ; MAXILIV; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); A4H
73567; MEBENDAZOL MG ; MEBENDAZOL; MEBENDAZOL; SUSP ORAL 20 MG 30 ML x 1 (/ML); A4H
66320; MELOXICAM MG ; MELOXICAM; MELOXICAM; CPR 15 MG x 10; A4H
66321; MELOXICAM MG ; MELOXICAM; MELOXICAM; CPR 7.50 MG x 10; A4H
32521; MENOPAX CICLOFENIL ; MENOPAX CICLOFENIL; NOT FOUND; CPR x 20; A4H
48564; MERACILINA ; MERACILINA; NOT FOUND; CPR x 12; A4H
6712; MERACILINA ; MERACILINA; NOT FOUND; CPR x 250; A4H
76425; MERITOR ; MERITOR; NOT FOUND; CPR REVEST 2 MG x 10; A4H
76426; MERITOR ; MERITOR; NOT FOUND; CPR REVEST 2 MG x 30; A4H
76427; MERITOR ; MERITOR; NOT FOUND; CPR REVEST 4 MG x 10; A4H
76428; MERITOR ; MERITOR; NOT FOUND; CPR REVEST 4 MG x 30; A4H
77442; MES CODERGOCRIN MG ; MES CODERGOCRIN; MESILATO CODERGOCRINA; SOLN ORAL 1 MG 30 ML x 1 (/ML); A4H
77441; MES CODERGOCRIN MG ; MES CODERGOCRIN; MESILATO CODERGOCRINA; SOLN ORAL 4.50 MG 15 ML x 1 (/; A4H
61712; METILDOPA MG ; METILDOPA; METILDOPA; CPR REVEST 250 MG x 30; A4H
58753; METILDOPA MG ; METILDOPA; METILDOPA; CPR REVEST 500 MG x 30; A4H
59906; MICETAL ; MICETAL; NOT FOUND; CREME 1 % 15 G x 1; A4H
59907; MICETAL ; MICETAL; NOT FOUND; CREME 1 % 30 G x 1; A4H
59908; MICETAL ; MICETAL; NOT FOUND; SOLN TOP. 1 % 30 ML x 1; A4H
76945; MILLAR ; MILLAR; NOT FOUND; POM. 30 G x 1; A4H
30958; MIO NEVRIX ; MIO NEVRIX; NOT FOUND; CPR x 20; A4H
30567; MIODARON ; MIODARON; NOT FOUND; CPR 200 MG x 20; A4H
72263; MIRTAX ; MIRTAX; NOT FOUND; CPR REVEST 10 MG x 10; A4H
66140; MIRTAX ; MIRTAX; NOT FOUND; CPR REVEST 10 MG x 15; A4H
64516; MIRTAX ; MIRTAX; NOT FOUND; CPR REVEST 10 MG x 30; A4H
72262; MIRTAX ; MIRTAX; NOT FOUND; CPR REVEST 5 MG x 10; A4H
66139; MIRTAX ; MIRTAX; NOT FOUND; CPR REVEST 5 MG x 15; A4H
64515; MIRTAX ; MIRTAX; NOT FOUND; CPR REVEST 5 MG x 30; A4H
6940; MITICOCAN ; MITICOCAN; NOT FOUND; LIQD TOP. 100 ML x 1; A4H
48360; MITICOCAN ; MITICOCAN; NOT FOUND; SABAO 80 G x 1; A4H
67247; MON ISOSSORBIDA MG ; MON ISOSSORBIDA; NOT FOUND; CPR 20 MG x 20; A4H
67248; MON ISOSSORBIDA MG ; MON ISOSSORBIDA; NOT FOUND; CPR 20 MG x 30; A4H
67249; MON ISOSSORBIDA MG ; MON ISOSSORBIDA; NOT FOUND; CPR 40 MG x 20; A4H
67250; MON ISOSSORBIDA MG ; MON ISOSSORBIDA; NOT FOUND; CPR 40 MG x 30; A4H
164619; MONTELAIR ; MONTELAIR; NOT FOUND; CPR MAST 4 MG x 30; A4H
164620; MONTELAIR ; MONTELAIR; NOT FOUND; CPR MAST 5 MG x 30; A4H
85195; MONTELAIR ; MONTELAIR; NOT FOUND; CPR REVEST 10 MG x 10; A4H
85196; MONTELAIR ; MONTELAIR; NOT FOUND; CPR REVEST 10 MG x 30; A4H
93543; MONTELAIR ; MONTELAIR; NOT FOUND; SACHE GRAN 4 MG 0.35 G x 10; A4H
93544; MONTELAIR ; MONTELAIR; NOT FOUND; SACHE GRAN 4 MG 0.35 G x 30; A4H
84389; MONTELUCASTE SO MG ; MONTELUCASTE SO; MONTELUCASTE SODIO; CPR REVEST 10 MG x 10; A4H
84390; MONTELUCASTE SO MG ; MONTELUCASTE SO; MONTELUCASTE SODIO; CPR REVEST 10 MG x 30; A4H
91065; MONTELUCASTE SO MG ; MONTELUCASTE SO; MONTELUCASTE SODIO; SACHE GRAN 4 MG 0.35 G x 10; A4H
91067; MONTELUCASTE SO MG ; MONTELUCASTE SO; MONTELUCASTE SODIO; SACHE GRAN 4 MG 0.35 G x 30; A4H
112484; MOTORE ; MOTORE; NOT FOUND; CAPS 250 MG x 120; A4H
112486; MOTORE ; MOTORE; NOT FOUND; CAPS 250 MG x 60; A4H
