81087; V.BE+SU.G+TO+CL MG ; V BE SU G TO CL; NOT FOUND; CREME 20 G x 1; A4H
94288; V.BE+SU.G+TO+CL MG ; V BE SU G TO CL; NOT FOUND; POMADA 20 G x 1; A4H
94124; VALSARTANA MG ; VALSARTANA; VALSARTANA; CPR REVEST 160 MG x 30; A4H
94125; VALSARTANA MG ; VALSARTANA; VALSARTANA; CPR REVEST 320 MG x 30; A4H
94123; VALSARTANA MG ; VALSARTANA; VALSARTANA; CPR REVEST 80 MG x 30; A4H
62186; VASOGARD ; VASOGARD; NOT FOUND; CPR 100 MG x 30; A4H
62187; VASOGARD ; VASOGARD; NOT FOUND; CPR 100 MG x 60; A4H
62188; VASOGARD ; VASOGARD; NOT FOUND; CPR 50 MG x 30; A4H
62189; VASOGARD ; VASOGARD; NOT FOUND; CPR 50 MG x 60; A4H
31797; VERTIX ; VERTIX; NOT FOUND; CPR 10 MG x 50; A4H
64233; VERTIX ; VERTIX; NOT FOUND; GOTAS 5 MG 30 ML x 1 (/ML); A4H
45465; VERTIZINE D ; VERTIZINE D; NOT FOUND; CPR x 20; A4H
147821; VIDMAX ; VIDMAX; NOT FOUND; CPR REV 100 MG x 60; A4H
147819; VIDMAX ; VIDMAX; NOT FOUND; CPR REV 25 MG x 60; A4H
147820; VIDMAX ; VIDMAX; NOT FOUND; CPR REV 50 MG x 60; A4H
48147; VITA E ; VITA E; NOT FOUND; CAPS 400 MG x 30; A4H
