5573; IMOSEC ; IMOSEC; NOT FOUND; CPR 2 MG x 12; J_C
42337; IMOSEC ; IMOSEC; NOT FOUND; CPR 2 MG x 200; J_C
89026; INCIVO ; INCIVO; NOT FOUND; CPR REVEST 375 MG x 168; J_C
76255; INTELENCE ; INTELENCE; NOT FOUND; CPR 100 MG x 120; J_C
73563; INVEGA ; INVEGA; NOT FOUND; CPR REVES.LP 3 MG x 28; J_C
78530; INVEGA ; INVEGA; NOT FOUND; CPR REVES.LP 3 MG x 7; J_C
73564; INVEGA ; INVEGA; NOT FOUND; CPR REVES.LP 6 MG x 28; J_C
78531; INVEGA ; INVEGA; NOT FOUND; CPR REVES.LP 6 MG x 7; J_C
73565; INVEGA ; INVEGA; NOT FOUND; CPR REVES.LP 9 MG x 28; J_C
86912; INVEGA SUSTENNA ; INVEGA SUSTENNA; NOT FOUND; SER PREENCH 100 MG 1 ML x 1; J_C
86913; INVEGA SUSTENNA ; INVEGA SUSTENNA; NOT FOUND; SER PREENCH 150 MG 1.50 ML x 1; J_C
86910; INVEGA SUSTENNA ; INVEGA SUSTENNA; NOT FOUND; SER PREENCH 50 MG 0.50 ML x 1; J_C
86911; INVEGA SUSTENNA ; INVEGA SUSTENNA; NOT FOUND; SER PREENCH 75 MG 0.75 ML x 1; J_C
163262; INVOKANA ; INVOKANA; NOT FOUND; CPR REVEST 100 MG x 10; J_C
163263; INVOKANA ; INVOKANA; NOT FOUND; CPR REVEST 100 MG x 30; J_C
163264; INVOKANA ; INVOKANA; NOT FOUND; CPR REVEST 300 MG x 10; J_C
163265; INVOKANA ; INVOKANA; NOT FOUND; CPR REVEST 300 MG x 30; J_C
