1130000370030; ESPERSON; ESPERSON; NOT FOUND; 2.5 MG/G POM DERM CT BG AL X 20 G; S_A
1130000380010; ESPERSON N; ESPERSON N; NOT FOUND; 2.5 MG + 7.145 MG POM DERM CT BG AL X 20 G; S_A
1130011230014; EXPOLID; EXPOLID; NOT FOUND; 2.5 MG COM REV CT BL AL/AL X 10; S_A
1130011230103; EXPOLID; EXPOLID; NOT FOUND; 10 MG COM REV CT BL AL/AL X 15; S_A
1130011230111; EXPOLID; EXPOLID; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; S_A
1130011230121; EXPOLID; EXPOLID; NOT FOUND; 10 MG COM REV CT BL AL/AL X 60 (EMB HOSP); S_A
1130011230081; EXPOLID; EXPOLID; NOT FOUND; 10 MG COM REV CT BL AL/AL X 7; S_A
1130011230022; EXPOLID; EXPOLID; NOT FOUND; 2.5 MG COM REV CT BL AL/AL X 15; S_A
1130011230030; EXPOLID; EXPOLID; NOT FOUND; 2.5 MG COM REV CT BL AL/AL X 30; S_A
1130011230049; EXPOLID; EXPOLID; NOT FOUND; 2.5 MG COM REV CT BL AL/AL X 60 (EMB HOSP); S_A
1130011230057; EXPOLID; EXPOLID; NOT FOUND; 5 MG COM REV CT BL AL/AL X 10; S_A
1130011230065; EXPOLID; EXPOLID; NOT FOUND; 5 MG COM REV CT BL AL/AL X 15; S_A
1130011230073; EXPOLID; EXPOLID; NOT FOUND; 5 MG COM REV CT BL AL/AL X 30; S_A
1130011230091; EXPOLID; EXPOLID; NOT FOUND; 10 MG COM REV CT BL AL/AL X 10; S_A
1130010310030; ELOXATIN; ELOXATIN; NOT FOUND; 5.0 MG/ML SOL INJ CT FA VD INC X 10 ML; S_A
1130010310049; ELOXATIN; ELOXATIN; NOT FOUND; 5.0 MG/ML SOL INJ CT FA VD INC X 20 ML ; S_A
1130010310057; ELOXATIN; ELOXATIN; NOT FOUND; 5.0 MG/ML SOL INJ CT FA VD INC X 40 ML ; S_A
1130010310022; ELOXATIN; ELOXATIN; NOT FOUND; 100 MG PO LIOF CT FR VD INC X 1000 MG; S_A
1130010310014; ELOXATIN; ELOXATIN; NOT FOUND; 50 MG PO LIOF CT FR VD INC X 500 MG; S_A
1203300150020; ELOXATIN; ELOXATIN; NOT FOUND; 100 MG PO LIOF CT FR VD INC X 1000 MG; S_A
1203300150012; ELOXATIN; ELOXATIN; NOT FOUND; 50 MG PO LIOF CT FR VD INC X 500 MG; S_A
