1130000790031; FLAGYL PEDIÁTRICO; FLAGYL PEDIATRICO; NOT FOUND; 40 MG/ML SUS OR INF CT FR VD AMB X 100 ML; S_A
1130000790021; FLAGYL PEDIÁTRICO; FLAGYL PEDIATRICO; NOT FOUND; 40 MG/ML SUS OR INF CT FR VD AMB X 120 ML; S_A
1130000420020; FRISIUM; FRISIUM; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20  ; S_A
1130000420038; FRISIUM; FRISIUM; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 20  ; S_A
1130003190025; FENERGAN; FENERGAN; NOT FOUND; 25 MG/ML SOL INJ CX 25 AMP VD AMB  X 2 ML; S_A
1130003210085; FENERGAN; FENERGAN; NOT FOUND; 1.130 MG/ML + 9.0 MG/ML XPE ADU CT FR VD AMB X 120 ML; S_A
1130003210077; FENERGAN; FENERGAN; NOT FOUND; 1.130 MG/ML + 9.0 MG/ML XPE ADU CT FR VD AMB X 100 ML; S_A
1130003210107; FENERGAN; FENERGAN; NOT FOUND; 0.565 MG/ML + 9.0 MG/ML XPE PED CT FR VD AMB X 100 ML; S_A
1130003210115; FENERGAN; FENERGAN; NOT FOUND; 0.565 MG/ML + 9.0 MG/ML XPE PED CT FR VD AMB X 120 ML; S_A
1130003190031; FENERGAN; FENERGAN; NOT FOUND; 25 MG COM REV CT 1 BL AL PLAS INC X 20; S_A
1130010160012; FENITOÍNA; FENITOINA; FENITOINA; 100 MG COM CT BL AL PLAS LAR X 25; S_A
1130010100028; FENOBARBITAL; FENOBARBITAL; FENOBARBITAL; 100 MG COM CT BL AL PLAS INC X 20; S_A
1130002940012; FLUOROURACIL; FLUOROURACIL; NOT FOUND; 50 MG / ML SOL INJ CT 10 AMP VD AMB X 5 ML; S_A
1130002940020; FLUOROURACIL; FLUOROURACIL; NOT FOUND; 50 MG / ML SOL INJ CT 5 AMP VD AMB X 10 ML; S_A
1130010360011; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 1 MG/ML SOL OR CT FR VD AMB X 100ML + CP MED; S_A
1130002210014; FUNGOL; FUNGOL; NOT FOUND; SOL TOP FR VD AMB X 30 ML ; S_A
1130010470011; FUROSEMIDA; FUROSEMIDA; FUROSEMIDA; 40 MG COM CT BL AL PLAS VDE TRANS X 20; S_A
1130000780107; FLAGYL; FLAGYL; NOT FOUND; 5 MG/ML SOL INJ CT BOLS PLAS X 100 ML; S_A
1130000780158; FLAGYL; FLAGYL; NOT FOUND; 100 MG/G GEL VAG CT BG PLAS OPC X 50 G + 10 APLIC DESCART ; S_A
1130000780166; FLAGYL; FLAGYL; NOT FOUND; 100 MG/G GEL VAG CT BG AL X 50 G + 10 APLIC DESCART ; S_A
1130000780018; FLAGYL; FLAGYL; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 20; S_A
1130000780034; FLAGYL; FLAGYL; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 24; S_A
1130002860043; FLAGYL NISTATINA; FLAGYL NISTATINA; NOT FOUND; 100 MG/G + 20.000 UI/G CREM VAG CT BG AL X 50 G + 10 APLIC; S_A
1192400570012; FRAXIPARINA; FRAXIPARINA; NOT FOUND; 2850 UI AXA SOL INJ CT 10 SER X 0.3 ML; S_A
1192400570215; FRAXIPARINA; FRAXIPARINA; NOT FOUND; 3800 UI AXA SOL INJ CT 5 SER X 0.4 ML; S_A
1192400570081; FRAXIPARINA; FRAXIPARINA; NOT FOUND; 5700 UI AXA SOL INJ CT 5 SER X 0.6 ML; S_A
1192400570193; FRAXIPARINA; FRAXIPARINA; NOT FOUND; 7600 UI AXA SOL INJ CT 5 SER X 0.8 ML; S_A
1192400570101; FRAXIPARINA; FRAXIPARINA; NOT FOUND; 9500 UI AXA SOL INJ CT 5 SER X 1.0 ML; S_A
1192400570134; FRAXIPARINA TX; FRAXIPARINA TX; NOT FOUND; 11400 UI AXA SOL INJ CT 10 SER X 0.6 ML; S_A
1192400570126; FRAXIPARINA TX; FRAXIPARINA TX; NOT FOUND; 11400 UI AXA SOL INJ CT 2 SER X 0.6 ML; S_A
1192400570150; FRAXIPARINA TX; FRAXIPARINA TX; NOT FOUND; 15200 UI AXA SOL INJ CT 10 SER X 0.8 ML; S_A
1192400570142; FRAXIPARINA TX; FRAXIPARINA TX; NOT FOUND; 15200 UI AXA SOL INJ CT 2 SER X 0.8 ML; S_A
1192400570177; FRAXIPARINA TX; FRAXIPARINA TX; NOT FOUND; 19000 UI AXA SOL INJ CT 10 SER X 1.0 ML; S_A
1192400570169; FRAXIPARINA TX; FRAXIPARINA TX; NOT FOUND; 19000 UI AXA SOL INJ CT 2 SER X 1.0 ML; S_A
