1130002870081; INTAL; INTAL; NOT FOUND; 10 MG/ML SOL CX 24 AMP X 2 ML; S_A
1130002870073; INTAL; INTAL; NOT FOUND; 20 MG CAP C/ PO P/ INAL CT 3 BL AL PLAS INC X 10; S_A
1130002870049; INTAL; INTAL; NOT FOUND; 4 PCC SOL NAS FR PLAS OPC SPRAY X 13 ML + APLIC; S_A
1130002870014; INTAL; INTAL; NOT FOUND; AEROSOL - 5 MG/JATO DOS SUS C/ PROPELENTE LT X 15 G; S_A
1130002870091; INTAL; INTAL; NOT FOUND; 4 PCC SOL NAS FR PLAS OPC SPRAY X 15 ML + APLIC; S_A
1130002670041; INSUMAN COMB; INSUMAN COMB; NOT FOUND; 75N/25R - 100 UI/ML SUS INJ CT 1 FA VD INC X 5 ML; S_A
1130002670031; INSUMAN COMB; INSUMAN COMB; NOT FOUND; 75N/25R - 100 UI/ML SUS INJ CT 5 CARP VD INC X 3 ML; S_A
1130002670066; INSUMAN COMB; INSUMAN COMB; NOT FOUND; 85N/15R - 100 UI/ML SUS INJ CT 1 FA VD INC X 5 ML; S_A
1130002670058; INSUMAN COMB; INSUMAN COMB; NOT FOUND; 85N/15R - 100 UI/ML SUS INJ CT 5 CARP VD INC X 3 ML; S_A
1130002670082; INSUMAN N; INSUMAN N; NOT FOUND; 100 UI/ML SUS INJ CT 1 FA VD INC X 5 ML; S_A
1130002670074; INSUMAN N; INSUMAN N; NOT FOUND; 100 UI/ML SUS INJ CT 5 CARP VD INC X 3 ML; S_A
1130002670465; INSUMAN N OPTISET; INSUMAN N OPTISET; NOT FOUND; 100 UI/ML SUS INJ CT 5 CARP VD INC X 3 ML + 5 SIST; S_A
1130002670090; INSUMAN R; INSUMAN R; NOT FOUND; 100 UI/ML SOL INJ CT 5 CARP VD INC X 3 ML; S_A
1130002670104; INSUMAN R; INSUMAN R; NOT FOUND; 100 UI/ML SOL INJ CT FA VD INC X 5 ML; S_A
1130002670260; INSUMAN R OPTISET; INSUMAN R OPTISET; NOT FOUND; 100 UI/ML SOL INJ CT 5 CARP VD INC X 3 ML + 5 SIST; S_A
1130002320022; IRIDUX F; IRIDUX F; NOT FOUND; 200 MG CAP GEL RET CT 2 BL AL PLAS LAR X 12; S_A
1160900380018; IMMUCYST - BCG IMUNOTERAPÊUTICO; IMMUCYST BCG IMUNOTERAPEUTICO; NOT FOUND; 81 MG PO LIOF INJ CT FA VD INC + FA DIL X 3 ML (USO HOSP); S_A
SI/NC; IMOVAX; IMOVAX; NOT FOUND; CX COM 1 SERINGA 1 DOSE; S_A
SI/NC; IMOVAX POLIO; IMOVAX POLIO; NOT FOUND; CARTUCHO COM 1 AMPOLA CONTENDO 1 DOSE (0.5ML); S_A
1160900380026; IMUNOESTIMULANTES - BACILO DE CALMETTE GUÉRIN; IMUNOESTIMULANTES BACILO CALMETTE GUERIN; NOT FOUND; 27 MG PO LIOF INJ CT 3 FA VD INC + 3 FA DIL X 1 ML (USO HOSP); S_A
