1130002090019; BENZO-GINOESTRIL AP; BENZO GINOESTRIL AP; NOT FOUND; 5 MG/ML SOL INJ CT 2 AMP VD INC X 1 ML; S_A
1130010410027; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; BENZOILMETRONIDAZOL; 40MG/ML SUS OR CT FR VD AMB X 100 ML + CP MED ; S_A
1130009820020; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL/AL X 14; S_A
1130009820039; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL/AL X 28; S_A
1130010330066; BESEROL; BESEROL; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 04; S_A
1130010330015; BESEROL; BESEROL; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 12; S_A
1130010330023; BESEROL; BESEROL; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 100 (EMB FRAC); S_A
1203300200032; BESEROL; BESEROL; NOT FOUND; 300 MG+125 MG+50MG+30MG COM CT 25 BL AL PLAS INC X; S_A
1203300200016; BESEROL; BESEROL; NOT FOUND; 300 MG+125 MG+50MG+30MG COM CT BL AL PLAS INC X 12; S_A
1130001840022; BENOFLEX P; BENOFLEX P; NOT FOUND; 35 MG + 450 MG + 50 MG COM CT BL AL PLAS LAR X 12; S_A
1130001840049; BENOFLEX P; BENOFLEX P; NOT FOUND; 35MG + 450MG +50MG COM CT BL AL PLAS LAR X 200(EMB MULT); S_A
1130001840057; BENOFLEX P; BENOFLEX P; NOT FOUND; 35 MG + 450 MG + 50 MG COM CT BL AL PLAS LAR X 120 (EMB MULT); S_A
1130002710300; BI-PROFENID; BI PROFENID; NOT FOUND; 150 MG COM AP CT BL AL PLAS INC X 10; S_A
1130002710351; BI-PROFENID; BI PROFENID; NOT FOUND; 150 MG COM AP CT BL AL PLAS INC X 4; S_A
1130009850043; BUCLINA; BUCLINA; NOT FOUND; 25 MG COM CT BL PLAS PAP INC X 10; S_A
1130009850051; BUCLINA; BUCLINA; NOT FOUND; 25 MG COM CT BL PLAS PAP INC X 30; S_A
1130009850027; BUCLINA; BUCLINA; NOT FOUND; 25 MG COM CT BL PLAS PAP INC X 20; S_A
1203300360021; BUCLINA; BUCLINA; NOT FOUND; 25 MG COM CT BL PAPEL PLAS INC X 20; S_A
