1192400850016; MUCOLISIL; MUCOLISIL; NOT FOUND; 250 MG/ 5 ML - XPE - FR - 1 FR 100 ML; S_A
1130010790032; MULTAQ; MULTAQ; NOT FOUND; 400 MG COM REV CT BL AL PLAS OPC X 20; S_A
1130010790075; MULTAQ; MULTAQ; NOT FOUND; 400 MG COM REV CT BL AL PLAS OPC X 60; S_A
1130003140028; MAALOX; MAALOX; NOT FOUND; 37 MG/ML + 40 MG/ML + 5 MG/ML SUS OR CT FR PLAS OPC X 240 ML CEREJA; S_A
1130003140052; MAALOX; MAALOX; NOT FOUND; SUSP ORAL FR X 240 ML - SABOR CREME-LIMAO; S_A
1130003140060; MAALOX; MAALOX; NOT FOUND; 37 MG/ML + 40 MG/ML + 5 MG/ML SUS OR CT FR PLAS OPC X 240 ML MENTA; S_A
1130003140141; MAALOX; MAALOX; NOT FOUND; 153 MG + 200 MG + 25 MG COM MAST CT BL AL PLAS INC X 30 CEREJA; S_A
1130003140133; MAALOX; MAALOX; NOT FOUND; 153 MG + 200 MG + 25 MG COM MAST CT BL AL PLAS INC X 30 MENTA; S_A
1130003140168; MAALOX; MAALOX; NOT FOUND; 153 MG + 200 MG + 25 MG COM MAST CT BL AL PLAS INC X 300 CEREJA; S_A
1130003140151; MAALOX; MAALOX; NOT FOUND; 153 MG + 200 MG + 25 MG COM MAST CT BL AL PLAS INC X 300 MENTA; S_A
1130003140079; MAALOX; MAALOX; NOT FOUND; COM MAST CX C/ 8 STRIPS X 6 - SABOR CEREJA; S_A
1130003140109; MAALOX; MAALOX; NOT FOUND; COM MAST CX C/ 8 STRIPS X 6 - SABOR CREME LIMAO; S_A
1130003140125; MAALOX; MAALOX; NOT FOUND; COM MAST CX C/ 8 STRIPS X 6 - SABOR MENTA; S_A
1130009970014; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 100 MG/G GELE VAG CT BG PLAS OPC X 50 G + 10 APLIC; S_A
1130010220015; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 400 MG COM REV BL AL PLAS INC X 24; S_A
1130010420014; METRONIDAZOL + NISTATINA; METRONIDAZOL NISTATINA; NOT FOUND; 100 MG/G + 20000 UI/G CREM VAG CT BG AL X 50 G + 10 APLIC; S_A
