1130000800010; SUPREFACT DEPOT; SUPREFACT DEPOT; NOT FOUND; 3.3 MG/MICROBAST IMPL CT SER APLIC X 2 MICROBAST; S_A
1130010280034; SOCIAN; SOCIAN; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; S_A
1130010280026; SOCIAN; SOCIAN; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 20; S_A
1272500150023; SOCIAN; SOCIAN; NOT FOUND; 200 MG COM CT 2 BL AL PLAS INC X 10; S_A
1272500150015; SOCIAN; SOCIAN; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 20; S_A
1130002000028; SILENCIUM; SILENCIUM; NOT FOUND; 1 MG/ML + 0.6 MG/ML  + 0.25 MG/ML  XPE CT FR VD AMB X 100 ML; S_A
1130002000011; SILENCIUM; SILENCIUM; NOT FOUND; PAS CT 5 STR X 4; S_A
1130009920025; SULPAN; SULPAN; NOT FOUND; 1 MG + 25 MG CAP GEL DURA CT BL AL PLAS INC X 20; S_A
1203300350018; SULPAN; SULPAN; NOT FOUND; 1 MG + 25 MG CAP GEL DURA CT BL AL PLAS INC X 20; S_A
1272500360011; SUREPTIL; SUREPTIL; NOT FOUND; 200 MG + 20 MG COM CT 5 STR X 4; S_A
1130010370025; SUPERAN; SUPERAN; NOT FOUND; 25 MG/ML SOL INJ CT 6 AMP VD AMB X 2 ML; S_A
1272500030036; SUPERAN; SUPERAN; NOT FOUND; 25 MG/ML SOL INJ CT 6 AMP VD AMB X 2 ML; S_A
1272500030052; SUPERAN; SUPERAN; NOT FOUND; 12 MG/ML SOL OR CT FR VD CGT X 30 ML; S_A
1272500030028; SUPERAN; SUPERAN; NOT FOUND; 50 MG COM CT 2 BL AL PLAS INC X 10; S_A
1130010380039; SYLADOR; SYLADOR; NOT FOUND; 50 MG SOL INJ CX 6 AMP VD INC X 1 ML; S_A
1130010380055; SYLADOR; SYLADOR; NOT FOUND; 100 MG SOL INJ CX 6 AMP VD INC X 2 ML; S_A
1192400560091; SYLADOR; SYLADOR; NOT FOUND; 100 MG SOL INJ CT 6 AMP VD INC X 2 ML; S_A
1192400560016; SYLADOR; SYLADOR; NOT FOUND; 50 MG SOL INJ CT 6 AMP VD INC X 1 ML; S_A
1130010380020; SYLADOR; SYLADOR; NOT FOUND; 50 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; S_A
1192400560032; SYLADOR; SYLADOR; NOT FOUND; 50 MG/ML SOL ORAL CT FR PLAS OPC GOT X 10 ML; S_A
1192400560112; SYLADOR; SYLADOR; NOT FOUND; 100 MG - SUPOSIT - CX - 6 SUPOSIT; S_A
1130010380012; SYLADOR; SYLADOR; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 10; S_A
1192400560024; SYLADOR; SYLADOR; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 10; S_A
1130002270017; SETUX; SETUX; NOT FOUND; SUS OR CT FR PLAS OPC X 100 ML; S_A
1130002260011; SETUX; SETUX; NOT FOUND; SUS OR CT FR VD AMB X 100 ML; S_A
1130003160037; SYNERCID; SYNERCID; NOT FOUND; 150 MG + 350 MG PO LIOF INJ CT 10 FA VD INC; S_A
1130010010045; STILNOX; STILNOX; NOT FOUND; 10 MG COM REV CT  BL AL PLAS INC X 20; S_A
1130010010010; STILNOX; STILNOX; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 10; S_A
1130010010053; STILNOX CR; STILNOX CR; NOT FOUND; 6.25 MG COM MULT LIB PROL CT BL AL PLAS INC X 10; S_A
1130010010071; STILNOX CR; STILNOX CR; NOT FOUND; 12.5 MG COM MULT LIB PROL CT BL AL PLAS INC X 10; S_A
1130010010088; STILNOX CR; STILNOX CR; NOT FOUND; 12.5 MG COM MULT LIB PROL CT BL AL PLAS INC X 20; S_A
1130010010061; STILNOX CR; STILNOX CR; NOT FOUND; 6.25 MG COM MULT LIB PROL CT BL AL PLAS INC X 20; S_A
1203300120047; STILNOX; STILNOX; NOT FOUND; 10 MG COM REV CT 1 BL AL PLAS INC X 20; S_A
1203300120020; STILNOX; STILNOX; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 10; S_A
