1130002380017; TARGIFOR; TARGIFOR; NOT FOUND; 1500 MG COM EFEV CT 5 STR AL/AL X 4; S_A
1130002370038; TARGIFOR C; TARGIFOR C; NOT FOUND; 1 G + 1 G COM EFV CT TB PLAS X 16; S_A
1130002370021; TARGIFOR C; TARGIFOR C; NOT FOUND; 500 MG + 500 MG COM EFEV CT STR X 16; S_A
1130002730026; TOPLEXIL; TOPLEXIL; NOT FOUND; 0.367 MG/ML + 6.66 MG/ML + 6.66 MG/ML XPE AD CT FR VD AMB X 120 ML; S_A
1130002730050; TOPLEXIL; TOPLEXIL; NOT FOUND; 0.367 MG/ML + 6.66 MG/ML + 6.66 MG/ML XPE AD CT FR VD AMB X 100 ML; S_A
1130002730018; TOPLEXIL; TOPLEXIL; NOT FOUND; 0.184MG/ML + 5MG/ML + 2MG/ML XPE INF CT FR VD AMB X 120 ML; S_A
1130002730034; TOPLEXIL; TOPLEXIL; NOT FOUND; 0.184MG/ML + 5MG/ML +2MG/ML XPE INF CT FR VD AMB X 100 ML; S_A
1130002930041; TAMOFEN; TAMOFEN; NOT FOUND; 10 MG COM EST 3 BL AL/AL X 10; S_A
1130002930051; TAMOFEN; TAMOFEN; NOT FOUND; 20 MG COM CX C/ 25 BL AL/ AL X 10; S_A
1130002930076; TAMOFEN; TAMOFEN; NOT FOUND; 20 MG COM CX C/ 3 BL AL/AL X 10; S_A
1192400800022; TRANXILENE; TRANXILENE; NOT FOUND; 10 MG - CAPS - CX - 20 CAPS; S_A
1192400800014; TRANXILENE; TRANXILENE; NOT FOUND; 15 MG - CAPS - CX - 20 CAPS; S_A
1192400800030; TRANXILENE; TRANXILENE; NOT FOUND; 5 MG - CAPS - CX - 20 CAPS; S_A
1272500100026; TIAPRIDAL; TIAPRIDAL; NOT FOUND; 100 MG - INJ - AMP - 6 AMPS 2ML; S_A
1272500100018; TIAPRIDAL; TIAPRIDAL; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 20; S_A
1130010290013; TICLID; TICLID; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 20; S_A
1203300370019; TICLID; TICLID; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 20; S_A
1130002830020; TAXOTERE; TAXOTERE; NOT FOUND; 20 MG SOL INJ CX FA VD INC X 0.5 ML + DIL X 1.5 ML; S_A
1130002830012; TAXOTERE; TAXOTERE; NOT FOUND; 80 MG SOL INJ CX FA VD INC X 2.0 ML + DIL X 6.0 ML; S_A
1130002830039; TAXOTERE; TAXOTERE; NOT FOUND; 20 MG/ML SOL INJ CX FA VD INC X 1 ML; S_A
1130002830047; TAXOTERE; TAXOTERE; NOT FOUND; 20 MG/ML SOL INJ CX FA VD INC X 4 ML; S_A
1130002340015; TRINESTRIL AP; TRINESTRIL AP; NOT FOUND; SOL INJ CT AMP VD INC X 2 ML; S_A
1130001590050; TRIATEC D; TRIATEC D; NOT FOUND; 5 MG + 25 MG COM CT BL AL PLAS INC X 30; S_A
1130001590141; TRIATEC D; TRIATEC D; NOT FOUND; 5 MG + 25 MG COM CT BL AL/AL X 30; S_A
1160900080014; THYMOGLOBULINE - IMUNOGLOBOLINA DE COELHO ANTI-TIMÓCITO HUMANOS; THYMOGLOBULINE IMUNOGLOBOLINA COELHO ANTI TIMOCITO HUMANOS; NOT FOUND; CX. COM 1 FR CONTENDO 25 MG DE LIOFILIZADO E FR CO; S_A
1130002590062; TAVANIC; TAVANIC; NOT FOUND; 5 MG/ML SOL INJ CT FR VD INC X 100 ML; S_A
1130002590100; TAVANIC; TAVANIC; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 3; S_A
1130002590054; TAVANIC; TAVANIC; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 7; S_A
1130002590021; TAVANIC; TAVANIC; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 7; S_A
1130002700046; TILADE S; TILADE S; NOT FOUND; 2 MG/DOSE AER CT LT X 15.53 G (112 DOSES); S_A
1130000050036; TRENTAL; TRENTAL; NOT FOUND; 20 MG/ML SOL INJ CT 5 AMP VD AMB X 5 ML ; S_A
1130000050249; TRENTAL; TRENTAL; NOT FOUND; 400 MG COM REV LIB PROLONG CT BL AL PLAS INC X 20; S_A
1130000050230; TRENTAL VERT; TRENTAL VERT; NOT FOUND; 600 MG COM REV CT 2 BL AL PLAS LARANJA X 10; S_A
1160900230032; TOXÓIDE TETÂNICO; TOXOIDE TETANICO; NOT FOUND; SUS INJ CT 1 SER PRE ENCH X 0.5 ML; S_A
