1130011050202; CORASTORVA (ATORVASTATINA CÁLCICA); CORASTORVA ATORVASTATINA CALCICA; NOT FOUND; 80MG COM REV CT BL AL/AL X 30; S_A
1130011050016; CORASTORVA (ATORVASTATINA CÁLCICA); CORASTORVA ATORVASTATINA CALCICA; NOT FOUND; 10MG COM REV CT BL AL/AL X 10 ; S_A
1130011050024; CORASTORVA (ATORVASTATINA CÁLCICA); CORASTORVA ATORVASTATINA CALCICA; NOT FOUND; 10MG COM REV CT BL AL/AL X 30; S_A
1130011050083; CORASTORVA (ATORVASTATINA CÁLCICA); CORASTORVA ATORVASTATINA CALCICA; NOT FOUND; 20MG COM REV CT BL AL/AL X 30; S_A
1130011050148; CORASTORVA (ATORVASTATINA CÁLCICA); CORASTORVA ATORVASTATINA CALCICA; NOT FOUND; 40MG COM REV CT BL AL/AL X 30; S_A
1130002170039; COLUBIAZOL; COLUBIAZOL; NOT FOUND; SOL OR CT FR VD AMB NEB X 20 ML; S_A
1130001760037; CEPACAINA; CEPACAINA; NOT FOUND; 0.5 MG/ML + 4 MG/ML SOL OR CT FR VD INC X 100 ML; S_A
1130001760053; CEPACAINA; CEPACAINA; NOT FOUND; 0.5 MG/ML + 4 MG/ML SOL SPR CT FR VD INC NEB X 50ML; S_A
1130001760029; CEPACAINA; CEPACAINA; NOT FOUND; 1.466 MG + 10 MG PAST CT STR X 12; S_A
1130003080017; CALSYNAR; CALSYNAR; NOT FOUND; 100 UI/ML SOL INJ CX 5 SER X 0.5 ML; S_A
1130003080025; CALSYNAR; CALSYNAR; NOT FOUND; 100 UI/ML SOL INJ CX 5 SER X 1.0 ML; S_A
1130003080068; CALSYNAR; CALSYNAR; NOT FOUND; 100 UI DOSE SOL NAS CT 7 FR VD INC X 0.1 ML; S_A
1130010850116; COREDIOL; COREDIOL; NOT FOUND; 3.125 MG COM CT BL AL/AL X 15; S_A
1130010850051; COREDIOL; COREDIOL; NOT FOUND; 12.5 MG COM CT BL AL/AL X 30; S_A
1130010850078; COREDIOL; COREDIOL; NOT FOUND; 25 MG COM CT BL AL/AL X 15; S_A
1130010850086; COREDIOL; COREDIOL; NOT FOUND; 25 MG COM CT BL AL/AL X 30; S_A
1130010850094; COREDIOL; COREDIOL; NOT FOUND; 25 MG COM CT BL AL/AL X 60; S_A
1130010850124; COREDIOL; COREDIOL; NOT FOUND; 3.125 MG COM CT BL AL/AL X 30; S_A
1130010850132; COREDIOL; COREDIOL; NOT FOUND; 3.125 MG COM CT BL AL/AL X 60; S_A
1130010850019; COREDIOL; COREDIOL; NOT FOUND; 6.25 MG COM CT BL AL/AL X 15; S_A
1130010850027; COREDIOL; COREDIOL; NOT FOUND; 6.25 MG COM CT BL AL/AL X 30; S_A
1130010850043; COREDIOL; COREDIOL; NOT FOUND; 12.5 MG COM CT BL AL/AL X 15; S_A
1130000280023; CLAFORAN; CLAFORAN; NOT FOUND; 250 MG/ML PO INJ CT FA VD INC + DIL X 2 ML; S_A
1130000280040; CLAFORAN; CLAFORAN; NOT FOUND; 250 MG/ML PO INJ CT FA VD INC + DIL X 4 ML; S_A
1130010750014; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 10 ; S_A
1130010300019; CETOPROFENO; CETOPROFENO; CETOPROFENO; 20 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; S_A
1130010480017; CETOPROFENO; CETOPROFENO; CETOPROFENO; 25 MG/ML GEL CT BG AL X 30 G; S_A
1130010320011; CETOPROFENO; CETOPROFENO; CETOPROFENO; 100 MG COM REV CT BL AL PLAS INC X 20; S_A
1130002490017; CALCIGENOL IRRADIADO; CALCIGENOL IRRADIADO; NOT FOUND; SUS OR FR PLAS OPC X 300 ML; S_A
1130010140021; CIPROFIBRATO; CIPROFIBRATO; CIPROFIBRATO; 100 MG COM CT BL AL PLAS INC X 30; S_A
1130002980049; CISPLATYL; CISPLATYL; NOT FOUND; 0.50 MG/ML SOL INJ CT 1 FA VD AMB X 20 ML; S_A
1130002980065; CISPLATYL; CISPLATYL; NOT FOUND; 0.50 MG/ML SOL INJ CT 1 FA VD AMB X 100 ML; S_A
1192400600025; CLARIPEX; CLARIPEX; NOT FOUND; 360 MG - COMP REV - CX - 20 COMP REV; S_A
1130002650057; CEPACOL; CEPACOL; NOT FOUND; 1.34 MG PAST CT POUCH AL X 16 CEREJA - HORTELA; S_A
1130002650081; CEPACOL; CEPACOL; NOT FOUND; MEL-LIMAO PASTILHA 1.34 MG CT 1 POUCH AL X 16 PAS; S_A
1130002650170; CEPACOL; CEPACOL; NOT FOUND; 1.34 MG PAST CT POUCH AL X 16 MENTA; S_A
1130002650111; CEPACOL; CEPACOL; NOT FOUND; 1.34 MG PAST CT POUCH AL X 16 MENTA - EUCALIPTO; S_A
1130002650022; CEPACOL; CEPACOL; NOT FOUND; 1.34 MG PAST CT POUCH AL X 16 TRADICIONAL; S_A
1130010490012; CLORIDRATO DE AMIODARONA; CLORIDRATO AMIODARONA; CLORIDRATO AMIODARONA; 100 MG COM CT BL AL  PLAS INC X 20 ; S_A
1130010490039; CLORIDRATO DE AMIODARONA; CLORIDRATO AMIODARONA; CLORIDRATO AMIODARONA; 200 MG COM CT BL AL  PLAS INC X 20; S_A
1203300090016; COLESTASE; COLESTASE; NOT FOUND; 5.00 + 0.25 + 0.0025 MG/ML SUS OR CT FR VD AMB X 6; S_A
1203300090024; COLESTASE; COLESTASE; NOT FOUND; 50.0 + 2.5 + 0.025 MG COM CT 3 STR X 4; S_A
1130010710039; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 60; S_A
1130010710020; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 30; S_A
1130010510021; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 4 MG/ML SOL OR CT FR VD AMB GOT X 10 ML; S_A
1130010200022; CLORIDRATO DE METOCLOPRAMIDA; CLORIDRATO METOCLOPRAMIDA; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; S_A
1130001790033; COLÍRIO MOURA BRASIL; COLIRIO MOURA BRASIL; NOT FOUND; 0.15 MG + 0.3 MG SOL OFT CT FR PLAS TRANS CGT X 20 ML; S_A
1130003200012; CREMEFENERGAN; CREMEFENERGAN; NOT FOUND; 20 MG/G CREM DERM CT BG AL X 30G; S_A
1130010110015; CLORIDRATO DE PROMETAZINA; CLORIDRATO PROMETAZINA; CLORIDRATO PROMETAZINA; 25 MG COM REV CT BL AL PLAS INC X 20; S_A
1130010500018; CLORIDRATO DE TICLOPIDINA; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV CT BL AL PLAS INC X 20; S_A
1130002010074; CALCORT; CALCORT; NOT FOUND; 22.75 MG/ML SOL ORAL FR VD CGT X 13 ML -GOTAS; S_A
1130002010058; CALCORT; CALCORT; NOT FOUND; 30 MG COM CT 1 BL AL PLAS INC X 10; S_A
1130002010023; CALCORT; CALCORT; NOT FOUND; 6 MG COM CT BL AL PLAS INC X 20; S_A
1130002760154; CLEXANE; CLEXANE; NOT FOUND; 100 MG SOL INJ CT 2 SER PRE-ENCHIDAS VD INC GRAD X 1.0 ML; S_A
1130002760057; CLEXANE; CLEXANE; NOT FOUND; 20 MG SOL INJ CT 10 SER PRE-ENCHIDAS VD INC X 0.2 ML; S_A
1130002760049; CLEXANE; CLEXANE; NOT FOUND; 20 MG SOL INJ CT 2 SER PRE-ENCHIDAS VD INC X 0.2 ML; S_A
1130002760103; CLEXANE; CLEXANE; NOT FOUND; 40 MG SOL INJ CT 10 SER PRE-ENCHIDAS VD INC X 0.4 ML; S_A
1130002760091; CLEXANE; CLEXANE; NOT FOUND; 40 MG SOL INJ CT 2 SER PRE-ENCHIDAS VD INC X 0.4 ML; S_A
1130002760111; CLEXANE; CLEXANE; NOT FOUND; 60 MG SOL INJ CT 2 SER PRE-ENCHIDAS VD INC GRAD X 0.6 ML; S_A
1130002760138; CLEXANE; CLEXANE; NOT FOUND; 80 MG SOL INJ CT 2 SER PRE-ENCHIDAS VD INC GRAD X 0.8 ML; S_A
1130002760448; CLEXANE; CLEXANE; NOT FOUND; 100 MG SOL INJ CT 2 SER PRE - ENCHIDAS VD INC GRAD X 1.0 ML + SIST SEGURANCA; S_A
1130002760499; CLEXANE; CLEXANE; NOT FOUND; 20 MG SOL INJ CT 10 SER PRE - ENCHIDAS VD INC X 0.2 ML + SIST SEGURANCA; S_A
