1130002110036; ADEROGIL D3; ADEROGIL D3; NOT FOUND; 4400UI/ML + 22000UI/ML SOL OR CT 3 AMP VD INC X 3 ML; S_A
1130002110028; ADEROGIL D3; ADEROGIL D3; NOT FOUND; 4400UI/ML + 22000UI/ML SOL OR CT 50 AMP VD INC X 3 ML; S_A
1130009800011; ADEROGIL GOTAS; ADEROGIL GOTAS; NOT FOUND; 5.500 UI/ML + 2.200 UI/ML SOL OR CT FR VD AMB X 10 ML + CGT; S_A
1130011400017; ADACEL; ADACEL; NOT FOUND; SUS INJ CT FA VD INC X 0.5 ML ; S_A
1130011400025; ADACEL; ADACEL; NOT FOUND; SUS INJ CT 5 FA VD INC X 0.5 ML ; S_A
1130011400033; ADACEL; ADACEL; NOT FOUND; SUS INJ CT 10 FA VD INC X 0.5 ML ; S_A
1130010680040; ATLANSIL; ATLANSIL; NOT FOUND; 150 MG SOL INJ CX 50 AMP VD INC X 3 ML; S_A
1130010680059; ATLANSIL; ATLANSIL; NOT FOUND; 150 MG SOL INJ CX 6 AMP VD AMB X 3 ML; S_A
1192400610036; ATLANSIL; ATLANSIL; NOT FOUND; 150 MG - INJ - AMP - 50 AMPS 3ML; S_A
1192400610028; ATLANSIL; ATLANSIL; NOT FOUND; 150 MG - INJ - AMP - 6 AMPS 3 ML; S_A
1130010680067; ATLANSIL; ATLANSIL; NOT FOUND; 150 MG SOL INJ CX 50 AMP VD AMB X 3 ML; S_A
1130010680016; ATLANSIL; ATLANSIL; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 20; S_A
1130010680024; ATLANSIL; ATLANSIL; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; S_A
1192400610044; ATLANSIL; ATLANSIL; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 20; S_A
1203302310013; ATLANSIL; ATLANSIL; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; S_A
1130002970061; AMPLICTIL; AMPLICTIL; NOT FOUND; 5 MG/ML SOL INJ CX 5  AMP VD AMB X 5 ML; S_A
1130002970078; AMPLICTIL; AMPLICTIL; NOT FOUND; 40.00 MG/ML SOL OR CT FR VD CGT X 20 ML; S_A
1130002970043; AMPLICTIL; AMPLICTIL; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 20; S_A
1130002970019; AMPLICTIL; AMPLICTIL; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 20; S_A
1130002970108; AMPLICTIL; AMPLICTIL; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 20; S_A
1130002970094; AMPLICTIL; AMPLICTIL; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 20; S_A
