1130000620010; PERGALEN; PERGALEN; NOT FOUND; 10 MG/G + 1.25MG/G POM DERM CT BG AL X 20 G; S_A
1130002720012; PALUTHER; PALUTHER; NOT FOUND; 80 MG SOL INJ CX 6 AMP VD INC X 1 ML; S_A
1130010020059; PLAVIX; PLAVIX; NOT FOUND; 300 MG COM REV CT BL AL/AL X 4 ; S_A
1130010020075; PLAVIX; PLAVIX; NOT FOUND; 300 MG COM REV CT BL AL/AL X 100; S_A
1130010020067; PLAVIX; PLAVIX; NOT FOUND; 300 MG COM REV CT BL AL/AL X 30; S_A
1130010020024; PLAVIX; PLAVIX; NOT FOUND; 75 MG COM REV CT BL AL/AL X 14; S_A
1130010020032; PLAVIX; PLAVIX; NOT FOUND; 75 MG COM REV CT BL AL/AL X 28; S_A
1130010020040; PLAVIX; PLAVIX; NOT FOUND; 75 MG COM REV CT BL AL/AL X 98 (EMB HOSP); S_A
1203300220017; PLAVIX; PLAVIX; NOT FOUND; 75 MG COM REV CT 2 BL AL / AL X 14; S_A
1203300220025; PLAVIX; PLAVIX; NOT FOUND; 75 MG COM REV CT BL AL / AL X 14; S_A
1203300220055; PLAVIX; PLAVIX; NOT FOUND; 75 MG COM REV CT BL AL/AL X 98; S_A
1130010720034; PLAVIX PROTECT; PLAVIX PROTECT; NOT FOUND; 75MG COM REV CT BL AL/AL X 28 + 100MG COM REV CT BL AL/AL X 28; S_A
1130010720026; PLAVIX PROTECT; PLAVIX PROTECT; NOT FOUND; 75MG COM REV CT BL AL/AL X 14 + 100MG COM REV CT BL AL/AL X 14 ; S_A
1130010720018; PLAVIX PROTECT; PLAVIX PROTECT; NOT FOUND; 75MG COM REV CT BL AL/AL X 7 + 100MG COM REV CT BL AL/AL X 7; S_A
1272500350014; PRIMERAL; PRIMERAL; NOT FOUND; 50 MG - CAPS - CX - 20 CAPS; S_A
1130002710181; PROFENID; PROFENID; NOT FOUND; 50 MG/ML SOL INJ IM CX 6 AMP VD AMB X 2 ML; S_A
1130002710157; PROFENID IV; PROFENID IV; NOT FOUND; 100 MG PO LIOF IV CX 50 FA VD INC; S_A
1130002710203; PROFENID; PROFENID; NOT FOUND; 20 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; S_A
1130002710211; PROFENID; PROFENID; NOT FOUND; 20 MG/ML SOL OR CT FR VD AMB CGT X 20 ML; S_A
1130002710297; PROFENID; PROFENID; NOT FOUND; 1 MG/ML XPE CT FR VD AMB X 150 ML + SER DOSAD; S_A
1130002710386; PROFENID; PROFENID; NOT FOUND; 1 MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD; S_A
1130002710408; PROFENID; PROFENID; NOT FOUND; 20 MG/ML SOL OR CT BG PLAS OPC GOT X 20 ML ; S_A
1130002710270; PROFENID; PROFENID; NOT FOUND; 25 MG GEL CT BG AL X 30 G; S_A
1130002710327; PROFENID; PROFENID; NOT FOUND; 100 MG SUP RETAL CT STRIP AL/AL X 10; S_A
1130002710017; PROFENID; PROFENID; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS INC X 24; S_A
1130002710025; PROFENID ENTÉRICO; PROFENID ENTERICO; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 20; S_A
1130002710361; PROFENID ENTÉRICO; PROFENID ENTERICO; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 3; S_A
1130002710076; PROFENID RETARD; PROFENID RETARD; NOT FOUND; 200 MG COM DES LENTA CT BL AL PLAS INC X 10; S_A
1130011310042; PROFENID PROTECT; PROFENID PROTECT; NOT FOUND; 200 MG + 20 MG CAP GEL DURA C/ MCGRAN CT FR PLAS OPC BRANCO X 10 ; S_A
1192400700027; PSICOGLUT; PSICOGLUT; NOT FOUND; 400MG - COMP - CX - 20 COMPS; S_A
1130003180011; POSTAFEN; POSTAFEN; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 20; S_A
1130001930056; PLASIL; PLASIL; NOT FOUND; 5 MG/ML SOL INJ CT 100 AMP VD INC X 2 ML; S_A
1130001930013; PLASIL; PLASIL; NOT FOUND; 1 MG/ML SOL OR CT FR VD AMB X 100 ML; S_A
1130001930021; PLASIL; PLASIL; NOT FOUND; 4 MG/ML SOL OR CT FR VD AMB CGT X 10 ML; S_A
1130001930031; PLASIL; PLASIL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; S_A
1130001940019; PLASIL ENZIMÁTICO; PLASIL ENZIMATICO; NOT FOUND; DRG REV ENT CT 3 BL AL PLAS INC X 10; S_A
1203300040019; PEPSAPLUS; PEPSAPLUS; NOT FOUND; 80 MG/ML + 80 MG/ML + 6 MG/ML SUSP ORAL CT FR PLAS; S_A
1203300230012; PAR; PAR; NOT FOUND; 325 + 500 MG - COMP - CX - 100 COMPS; S_A
1203300230020; PAR; PAR; NOT FOUND; 325 + 500 MG - COMP - CX - 8 COMPS; S_A
1272500380029; PROTECTINA; PROTECTINA; NOT FOUND; 100 MG - CAP - CX - 15 CAPS; S_A
1272500380045; PROTECTINA; PROTECTINA; NOT FOUND; 200 MG - CAP - CX - 10 CAPS; S_A
1272500380037; PROTECTINA; PROTECTINA; NOT FOUND; 200 MG - CAP - CX - 5 CAPS; S_A
1130003170024; PERIODONTIL; PERIODONTIL; NOT FOUND; 750.000 UI + 125 MG COM REV CT BL AL PVC X 20; S_A
1130002820017; PREDNISOLON; PREDNISOLON; NOT FOUND; 1.34 MG/ML SOL OR CT FR VD AMB X 100 ML + SER DOS ; S_A
