1130000840010; GLUCANTIME; GLUCANTIME; NOT FOUND; 300 MG/ML SOL INJ CX 25 AMP VD INC X 5 ML; S_A
1130000840029; GLUCANTIME; GLUCANTIME; NOT FOUND; 300 MG/ML SOL INJ CX 50 AMP VD INC X 5 ML; S_A
1130000720015; GINO-LOPROX; GINO LOPROX; NOT FOUND; 10 MG/G CREM VAG CT BG X 35 G + 6 APLIC; S_A
1130002200027; GENURIN S; GENURIN S; NOT FOUND; 2 BL AL PLAS LARANJA X 15; S_A
1192400740014; GOTAS BINELLI; GOTAS BINELLI; NOT FOUND; 20 MG/ 1 ML - GTS - FR - 1 FR 10 ML; S_A
1130003060040; GARDENAL; GARDENAL; NOT FOUND; 200 MG / ML SOL INJ CX CT 5 AMP VD INC X 1 ML; S_A
1130003060067; GARDENAL; GARDENAL; NOT FOUND; 40 MG/ML SOL OR PED CT FR VD AMB GOT X 20 ML; S_A
1130003060091; GARDENAL; GARDENAL; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 20; S_A
1130003060083; GARDENAL; GARDENAL; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 20; S_A
1130010740043; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS INC X 60; S_A
1130010740035; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS INC X 30; S_A
1130009990015; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 1 MG COM CT BL AL PLAS INC X 30; S_A
1130009990023; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 30 ; S_A
1130009990058; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 60; S_A
1130009990031; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 30 ; S_A
1130009990066; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 60; S_A
1130002770044; GRANOCYTE; GRANOCYTE; NOT FOUND; 33.6 MUI PO LIOF INJ CX  5 FA VD INC + 5 SER PREENCHIDAS X 1 ML + 2 AGU; S_A
