1130010920017; DUOPLAVIX; DUOPLAVIX; NOT FOUND; 75 MG + 100 MG COM REV CT BL AL/AL X 7; S_A
1130010920025; DUOPLAVIX; DUOPLAVIX; NOT FOUND; 75 MG + 100 MG COM REV CT BL AL/AL X 14; S_A
1130010920033; DUOPLAVIX; DUOPLAVIX; NOT FOUND; 75 MG + 100 MG COM REV CT BL AL/AL X 28; S_A
1130010350067; DIGESAN; DIGESAN; NOT FOUND; 5 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML; S_A
1130010350059; DIGESAN; DIGESAN; NOT FOUND; 5 MG/ML SOL INJ CT 6 AMP VD AMB X 2 ML; S_A
1272500080068; DIGESAN; DIGESAN; NOT FOUND; 5 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML; S_A
1272500080051; DIGESAN; DIGESAN; NOT FOUND; 5 MG/ML SOL INJ CT 6 AMP VD AMB X 2 ML; S_A
1130010350075; DIGESAN; DIGESAN; NOT FOUND; 1 MG/ML SOL OR CT FR VD AMB X 120 ML + MED; S_A
1130010350083; DIGESAN; DIGESAN; NOT FOUND; 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; S_A
1272500080041; DIGESAN; DIGESAN; NOT FOUND; 1 MG/ML SOL OR CT FR VD AMB X 120 ML + MED; S_A
1272500080106; DIGESAN; DIGESAN; NOT FOUND; 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; S_A
1130010350148; DIGESAN; DIGESAN; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 6; S_A
1130010350016; DIGESAN; DIGESAN; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 20; S_A
1272500080092; DIGESAN; DIGESAN; NOT FOUND; 10 MG CAP GEL DURA CT 1 BL AL PLAS INC X 20; S_A
1272500080076; DIGESAN; DIGESAN; NOT FOUND; 20 MG CAP GEL MICROGRAN RETARD CT 2 BL AL PLAS INC; S_A
1130001830078; DORFLEX; DORFLEX; NOT FOUND; 35 MG/ML + 300 MG/ML + 50 MG/ML SOL OR CT FR VD AMB X 20 ML; S_A
1130001830086; DORFLEX; DORFLEX; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT BL AL PLAS  AMB X 240; S_A
1130001830108; DORFLEX; DORFLEX; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT BL AL PLAS  AMB X 30 ; S_A
1130001830167; DORFLEX; DORFLEX; NOT FOUND; 300 MG + 35 MG + 50 MG COM CT BL AL PLAS  AMB X 300 (EMB MULT); S_A
