1192400750010; NORMOPRIDE; NORMOPRIDE; NOT FOUND; 5 MG - CAPS - CX - 20 CAPS; S_A
1203300050022; NEO-SINEFRINA; NEO SINEFRINA; NOT FOUND; 12.5 MG - GTS - FR - 1 FR 10ML; S_A
1203300050014; NEO-SINEFRINA; NEO SINEFRINA; NOT FOUND; 50 MG - GTS - FR - 1 FR 10ML; S_A
1130000580507; NOVALGINA; NOVALGINA; NOT FOUND; 500 MG/ML SOL OR CT BG PLAS OPC GOT X 10 ML ; S_A
1130000580515; NOVALGINA; NOVALGINA; NOT FOUND; 500 MG/ML SOL OR CT BG PLAS OPC GOT X 20 ML; S_A
1010101010101; NOVALGINA; NOVALGINA; NOT FOUND; 1 G COM CT BL AL PLAS INC X 10; S_A
1130000580574; NOVALGINA; NOVALGINA; NOT FOUND; 500 MG/ML SOL OR CX X 16 BG PLAS OPC GOT X 10 ML  ; S_A
1130000580612; NOVALGINA; NOVALGINA; NOT FOUND; 500 MG/ML SOL OR CX X 16 BG PLAS OPC GOT X 20 ML ; S_A
1130000580531; NOVALGINA; NOVALGINA; NOT FOUND; 1G COM EFEV CT STR AL/AL X 10; S_A
1130000580558; NOVALGINA; NOVALGINA; NOT FOUND; 1G COM EFEV CT STR AL/AL X 100 (EMB MULT); S_A
1130000580086; NOVALGINA; NOVALGINA; NOT FOUND; 500 MG/ML SOL INJ CT EST X 50 AMP VD AMB X 2 ML; S_A
1130000580094; NOVALGINA; NOVALGINA; NOT FOUND; 500 MG/ML SOL INJ CT EST X 50 AMP VD AMB X 5 ML; S_A
1130000580132; NOVALGINA; NOVALGINA; NOT FOUND; 50 MG/ML SOL ORAL CT FR VD AMB X 100 ML + MED; S_A
1130000580108; NOVALGINA; NOVALGINA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; S_A
1130000580124; NOVALGINA; NOVALGINA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; S_A
1130000580310; NOVALGINA; NOVALGINA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; S_A
1130000580329; NOVALGINA; NOVALGINA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 10 ML; S_A
1130000580396; NOVALGINA; NOVALGINA; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML + SER DOS; S_A
1130000580175; NOVALGINA; NOVALGINA; NOT FOUND; 300 MG INF SUP RET CT STR X 5; S_A
1130000580299; NOVALGINA; NOVALGINA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 240 (EMB MULT); S_A
1130000580231; NOVALGINA; NOVALGINA; NOT FOUND; 500 MG COM CT 25 BL AL PLAS INC X 4; S_A
1130000580256; NOVALGINA; NOVALGINA; NOT FOUND; 500 MG CT 3 BL AL PLAS INC X 10; S_A
1130000580051; NOVALGINA; NOVALGINA; NOT FOUND; 1 G COM CT BL AL PLAS INC X 200 (EMB MULT); S_A
1130000580361; NOVALGINA; NOVALGINA; NOT FOUND; 1 G COM CT BL AL PLAS INC X 10; S_A
1130000580450; NOVALGINA; NOVALGINA; NOT FOUND; 1 G COM CT BL AL PLAS INC X 100 (EMB MULT); S_A
1130010900075; NOVALFEM; NOVALFEM; NOT FOUND; 100 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; S_A
1130010900067; NOVALFEM; NOVALFEM; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML; S_A
1130010900121; NOVALFEM; NOVALFEM; NOT FOUND; 20 MG/ML SUS OR CT FR PLAS AMB X 100 ML + SER DOS; S_A
1130010900164; NOVALFEM; NOVALFEM; NOT FOUND; 400 MG CAP GEL MOLE CT BL AL PLAS INC X 10; S_A
1130010900180; NOVALFEM; NOVALFEM; NOT FOUND; 400 MG CAP GEL MOLE CT BL AL PLAS INC X 90 (EMB MULT); S_A
1130002060012; NOROGIL; NOROGIL; NOT FOUND; 80 MG + 0.88 MG DRG CT FR VD AMB X 20; S_A
1130003010086; NEOZINE; NEOZINE; NOT FOUND; 100 MG COM REV CT BL AL AL X 20; S_A
1130003030028; NEULEPTIL; NEULEPTIL; NOT FOUND; 10 MG/ML SOL OR PED CT FR VD CGT X 20 ML; S_A
1130003030036; NEULEPTIL; NEULEPTIL; NOT FOUND; 40 MG/ML SOL OR CT FR VD CGT X 20 ML; S_A
1130003030011; NEULEPTIL; NEULEPTIL; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 20; S_A
1130003070038; NOOTROPIL; NOOTROPIL; NOT FOUND; 200 MG/ML SOL INJ CX 12 AMP VD AMB X 5 ML; S_A
1130003070021; NOOTROPIL; NOOTROPIL; NOT FOUND; 800 MG COM REV CT BL AL PLAS INC X 30; S_A
1130001920018; NATURETTI; NATURETTI; NOT FOUND; GELEIA PT X 130 G; S_A
1130001920026; NATURETTI; NATURETTI; NOT FOUND; GELEIA PT X 260 G; S_A
