1130011330019; VECLESA; VECLESA; NOT FOUND; 2 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 21; S_A
1130011330027; VECLESA; VECLESA; NOT FOUND; 2 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 42; S_A
1130011330035; VECLESA; VECLESA; NOT FOUND; 2 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 63; S_A
1130011520012; VACINA INFLUENZA TETRAVALENTE (FRAGMENTADA, INATIVADA); VACINA INFLUENZA TETRAVALENTE FRAGMENTADA INATIVADA; NOT FOUND; SUS INJ CT 5 SER PREENCH VD INC X 0.25 ML SEM AGU; S_A
1130011520020; VACINA INFLUENZA TETRAVALENTE (FRAGMENTADA, INATIVADA); VACINA INFLUENZA TETRAVALENTE FRAGMENTADA INATIVADA; NOT FOUND; SUS INJ CT 10 SER PREENCH VD INC X 0.25 ML SEM AGU; S_A
1130011520039; VACINA INFLUENZA TETRAVALENTE (FRAGMENTADA, INATIVADA); VACINA INFLUENZA TETRAVALENTE FRAGMENTADA INATIVADA; NOT FOUND; SUS INJ CT 5 SER PREENCH VD INC X 0.5 ML SEM AGU; S_A
1130011520047; VACINA INFLUENZA TETRAVALENTE (FRAGMENTADA, INATIVADA); VACINA INFLUENZA TETRAVALENTE FRAGMENTADA INATIVADA; NOT FOUND; SUS INJ CT 10 SER PREENCH VD INC X 0.5 ML SEM AGU; S_A
1130002890023; VITAMINER S; VITAMINER S; NOT FOUND; XPE FR VD AMB X 240 ML; S_A
1192400680022; VI-SYNERAL; VI SYNERAL; NOT FOUND; SOL - FR - 1 FR VD 120 ML; S_A
1192400680014; VI-SYNERAL; VI SYNERAL; NOT FOUND; COMP REV - CX - 30 COMPS; S_A
1272500070011; VITAMINA NORMAL; VITAMINA NORMAL; NOT FOUND; SOL - FR - 1 FR VD 250 ML; S_A
1203300100038; VISIPAQUE; VISIPAQUE; NOT FOUND; 270 MG/ML SOL INJ CT FA VD INC X 100 ML; S_A
1203300100021; VISIPAQUE; VISIPAQUE; NOT FOUND; 270 MG/ML SOL INJ CT FA VD INC X 50 ML; S_A
1203300100070; VISIPAQUE; VISIPAQUE; NOT FOUND; 320 MG/ML SOL INJ CT FA VD INC X 100 ML; S_A
1203300100062; VISIPAQUE; VISIPAQUE; NOT FOUND; 320 MG/ML SOL INJ CT FA VD INC X 50 ML; S_A
1160900440010; VACINA CONTRA HEPATITE A (VIRUS INATIVADOS) - USO PEDIÁTRICO; VACINA CONTRA HEPATITE A VIRUS INATIVADOS USO PEDIATRICO; NOT FOUND; 160U/ML SUS INJ IM CT SER PREENC X 0.5 ML; S_A
1160900440053; VACINA CONTRA HEPATITE A (VIRUS INATIVADOS) - USO PEDIÁTRICO; VACINA CONTRA HEPATITE A VIRUS INATIVADOS USO PEDIATRICO; NOT FOUND; 160U/ML SUS INJ IM CT 10 FA VD INC X 5.0 ML ; S_A
1111111111110; VACINA CONTRA HEPATITE A (VIRUS INATIVADOS) - USO PEDIÁTRICO; VACINA CONTRA HEPATITE A VIRUS INATIVADOS USO PEDIATRICO; NOT FOUND; CONTROLE; S_A
1160900310036; VACINA ACELULAR ADSORVIDA CONTRA DIFTERIA, TÉTANO; VACINA ACELULAR ADSORVIDA CONTRA DIFTERIA TETANO; NOT FOUND; CT 1 SER C/ 1 DOSE DE 0.5 ML; S_A
1160900370039; VACINA ACELULAR ADSORVIDA CONTRA DIFTERIA, TÉTANO; VACINA ACELULAR ADSORVIDA CONTRA DIFTERIA TETANO; NOT FOUND; CARTUCHO COM 1 FR. AMP CONTENDO UMA DOSE LIOFILIZA; S_A
1160900240046; VACINA ADSORVIDA CONTRA DIFTERIA E TÉTANO (DUPLA INFANTIL); VACINA ADSORVIDA CONTRA DIFTERIA E TETANO DUPLA INFANTIL; NOT FOUND; CARTUCHO DE 1 SERINGA COM 1 DOSE DE 0.5 ML.; S_A
1160900160034; VACINA ADSORIDA CONTRA DIFTERIA, TÉTANO, COQUELUCHE; VACINA ADSORIDA CONTRA DIFTERIA TETANO COQUELUCHE; NOT FOUND; CARTUCHO DE 1 SERINGA COM 1 DOSE DE 0.5 ML.; S_A
1160900320023; VACINA ANTI-RÁBICA HUMANA PREPARADA SOBRE CÉLULAS VERO; VACINA ANTI RABICA HUMANA PREPARADA SOBRE CELULAS VERO; NOT FOUND; CARTUCHO DE 1 FR DE 1 DOSE LIOFILIZADA E 1 SERINGA C/0.5 ML DE DILUENTE; S_A
1160900340016; VACINA CONJUGADA COM PROTEÍNA TETÂNICA CONTRA HAEMOPHILUS INFLUENZAE TIPO B COMBINADA COM VACINA ADSORVIDA CONTRA DIFTERIA, TÉTANO, COQUELUCHE E POLIOMIELITE INATIVADA; VACINA CONJUGADA PROTEINA TETANICA CONTRA HAEMOPHILUS INFLUENZAE TIPO B COMBINADA VACINA ADSORVIDA CONTRA DIFTERIA TETANO COQUELUCHE E POLIOMIELITE INATIVADA; NOT FOUND; CT 1 FR AMP C/ 1 DOSE LIOFILIZADA E 1 SERINGA C/ 0.5 ML DE SUS; S_A
1160900130011; VACINA CONJUGADA COM PROTEÍNA TETÂNICA CONTRA HAEMOPHILUS INFLUENZAE TIPO B COMBINADA COM VACINA ADSORVIDA CONTRA DIFTERIA, TÉTANO, COQUELUCHE E POLIOMIELITE INATIVADA; VACINA CONJUGADA PROTEINA TETANICA CONTRA HAEMOPHILUS INFLUENZAE TIPO B COMBINADA VACINA ADSORVIDA CONTRA DIFTERIA TETANO COQUELUCHE E POLIOMIELITE INATIVADA; NOT FOUND; CT 1 FR AMP C/ 1 DOSE LIOFILIZADA + 1 SER C/ 0.5 ML DE DILUENTE; S_A
1160900270015; VACINA CONJUGADA COM PROTEÍNA TETÂNICA CONTRA HAEMOPHILUS INFLUENZAE TIPO B COMBINADA COM VACINA ADSORVIDA CONTRA DIFTERIA, TÉTANO, COQUELUCHE E POLIOMIELITE INATIVADA; VACINA CONJUGADA PROTEINA TETANICA CONTRA HAEMOPHILUS INFLUENZAE TIPO B COMBINADA VACINA ADSORVIDA CONTRA DIFTERIA TETANO COQUELUCHE E POLIOMIELITE INATIVADA; NOT FOUND; CT 1 FR C/ 1 DOSE LIOFILIZADA E 1 SER C/ 0.5 ML DE DILUENTE; S_A
1330003220031; VACINA CONTRA GRIPE; VACINA CONTRA GRIPE; NOT FOUND; (VIRUS PURIFICADO E INATIVADO) CT 1 FR AMP C/ 10 DOSES DE 0.5 ML; S_A
1160900140033; VACINA CONTRA GRIPE; VACINA CONTRA GRIPE; NOT FOUND; (VIRUS FRAGMENTADO E INATIVADO) CT 1 FR AMP C/ 10 DOSES DE 0.5 ML; S_A
1160900140017; VACINA CONTRA GRIPE; VACINA CONTRA GRIPE; NOT FOUND; (VIRUS FRAGMENTADO E INATIVADO) CT 1 SER C/ 1 DOSE DE 0.5 ML; S_A
1130003220013; VACINA CONTRA GRIPE; VACINA CONTRA GRIPE; NOT FOUND; (VIRUS PURIFICADO E INATIVADO) CT 1 SER C/ 1 DOSE DE 0.5 ML; S_A
1160900140025; VACINA CONTRA GRIPE; VACINA CONTRA GRIPE; NOT FOUND; (VIRUS FRAGMENTADO E INATIVADO) CT 1 SER C/ 1 DOSE DE 0.25 ML; S_A
1160900010016; VACINA CONTRA RUBÉOLA (VIRUS ATENUADOS); VACINA CONTRA RUBEOLA VIRUS ATENUADOS; NOT FOUND; CT 1 FR C/ 1 DOSE LIOFILIZADA E 1 SER C/0.5 ML DE DILUENTE; S_A
1160900210015; VACINA PNEUMOCÓCICA POLIVALENTE; VACINA PNEUMOCOCICA POLIVALENTE; NOT FOUND; 1 DOSE IMUNIZ  SOL INJ CT  SER PRE-ENCH X O.5 ML; S_A
1160900410014; VACINA CONTRA HEPATITE B RECOMBINANTE; VACINA CONTRA HEPATITE B RECOMBINANTE; NOT FOUND; CT 1FR AMP C/0.5ML - 10MCG; S_A
1160900410049; VACINA CONTRA HEPATITE B RECOMBINANTE; VACINA CONTRA HEPATITE B RECOMBINANTE; NOT FOUND; CT 1FR AMP C/1.0ML - 20MCG; S_A
1160900410057; VACINA CONTRA HEPATITE B RECOMBINANTE; VACINA CONTRA HEPATITE B RECOMBINANTE; NOT FOUND; CT 20FR AMP C/1.0ML - 20MCG; S_A
1160900410022; VACINA CONTRA HEPATITE B RECOMBINANTE; VACINA CONTRA HEPATITE B RECOMBINANTE; NOT FOUND; CT 20FR AMP C/0.5ML - 10MCG; S_A
1160900370039; VACINA ACELULAR ADSORVIDA CONTRA DIFTERIA, TÉTANO, COQUELUCHE E POLIOMELITE INATIVADA COMBINADA COM VACINA CONJUGADA COM PROTEINA TETANICA CONTRA HAEMOPHILUS INFLUENZAE TIPOB; VACINA ACELULAR ADSORVIDA CONTRA DIFTERIA TETANO COQUELUCHE E POLIOMELITE INATIVADA COMBINADA VACINA CONJUGADA PROTEINA TETANICA CONTRA HAEMOPHILUS INFLUENZAE TIPOB; NOT FOUND; CT 1 FR AMP C/ 1 DOSE LIOFILIZADA E 1 FR AMP C/ 0.5 ML DE SUS; S_A
1160900340016; VACINA CONJUGADA COM PROTEÍNA TETÂNICA CONTRA HAEMOPHILUS INFLUENZAE TIPO B COMBINADA COM VACINA ADSORVIDA CONTRA DIFTERIA , TÉTANO, COQUELUCHE E POLIOMELITE INATIVADA; VACINA CONJUGADA PROTEINA TETANICA CONTRA HAEMOPHILUS INFLUENZAE TIPO B COMBINADA VACINA ADSORVIDA CONTRA DIFTERIA TETANO COQUELUCHE E POLIOMELITE INATIVADA; NOT FOUND; CARTUCHO COM 1 FR. CONTENDO UMA DOSE LIOFILIZADA E 1 SERINGA C/ 0.5 ML DE SUS; S_A
1160900130011; VACINA CONJUGADA COM PROTEÍNA TETÂNICA CONTRA HAEMOPHILUS INFLUENZAE TPO B; VACINA CONJUGADA PROTEINA TETANICA CONTRA HAEMOPHILUS INFLUENZAE TPO B; NOT FOUND; CARTUCHO DE 1 FR. COM 1 DOSE LIOFILIZADA E 1 SERINGA C/0.5 ML DE DILUENTE; S_A
1160900270015; VACINA CONJUGADA COM PROTEÍNA TETÂNICA CONTRA HAEMOPHILUS INFLUENZAE TPO B COMBINADA COM VACINA ADSORVIDA CONTRA DIFTERIA , TÉTANO, COQUELUCHE; VACINA CONJUGADA PROTEINA TETANICA CONTRA HAEMOPHILUS INFLUENZAE TPO B COMBINADA VACINA ADSORVIDA CONTRA DIFTERIA TETANO COQUELUCHE; NOT FOUND; CARTUCHO DE 1 FR. COM 1 DOSE LIOFILIZADA E 1 SERINGA C/0.5 ML DE DILUENTE; S_A
1160900420011; VACINA ADSORVIDA CONTRA DIFTERIA, TÉTANO, COQUELUCHE ACELULAR E POLIOMIELITE INATIVADA; VACINA ADSORVIDA CONTRA DIFTERIA TETANO COQUELUCHE ACELULAR E POLIOMIELITE INATIVADA; NOT FOUND; SUS INJ CT SER PRE-ENCH X 0.5 ML; S_A
1160900470025; VACINA ACELULAR ADSORVIDA CONTRA DIFTERIA, TÉTANO, COQUELUCHE, POLIOMIELITE INATIVADA E HAEMOPHILUS INFLUENZAE TIPO B (CONJUGADO COM PROTEÍNA TETÂNICA); VACINA ACELULAR ADSORVIDA CONTRA DIFTERIA TETANO COQUELUCHE POLIOMIELITE INATIVADA E HAEMOPHILUS INFLUENZAE TIPO B CONJUGADO PROTEINA TETANICA; NOT FOUND; SUS INJ [IM] CT FA VD INC X 0.5 ML ; S_A
SI/NC; VACINA POLIOMELITICA ORAL; VACINA POLIOMELITICA ORAL; NOT FOUND; CT C/1 FR AMP CONTENDO UMA DOSE (0.5ML); S_A
1160900300111; VACINA POLIOMELITICA ORAL; VACINA POLIOMELITICA ORAL; NOT FOUND; CT C/1 FR AMP CONTENDO UMA DOSE 0.5ML; S_A
1130011160016; VACINA CÓLERA (INATIVADA E RECOMBINANTE) E ESCHERICHIA COLI ENTEROTOXIGÊNICA; VACINA COLERA INATIVADA E RECOMBINANTE E ESCHERICHIA COLI ENTEROTOXIGENICA; NOT FOUND; SUS OR CT FR VD INC X 3 ML + SACHE GRAN EFERV X 5.6 G; S_A
1160900400019; VACINA ORAL CONTRA COLERA E DIARREIA CAUSADA POR ETEC; VACINA ORAL CONTRA COLERA E DIARREIA CAUSADA POR ETEC; NOT FOUND; SUS OR CT FR VD INC X 3 ML + SACHE GRAN EFERV X 5.6 G; S_A
